# 
Scope_Frequency	base_freq	A2	f2	scope_rms	scope_dBm	scope_pkpk	scope_thd	Pmax	lin_Pmax	base_P	base_dB	base_V	thd	lin_thd	timestamp	Delay	a	
1000.0	1000.0	1	1000.0	1.92732604103309	18.70940374475656	5.4513012526876805	0.005656528224936272	-76.8	2.089296130854041e-11	1.7378008287493762e-11	-77.6	2.947711679209295e-05	21.55331253068801	142.99842465210764	1716978761	0.5	1000.0	29-05-24 12:32:41.917494
2223111.111111111	2223111.111111111	1	2223111.111111111	3.464083845551269	23.802067861534226	9.797908711152303	0.05275692428823704	-13.599999999999994	4.3651583224016654e-05	1.5848931924611143e-08	-48.0	0.0008901946956877227	-0.31322751817085814	0.9304161671170722	1716978789	0.5	2223111.111111111	29-05-24 12:33:09.232061
4445222.222222222	4445222.222222222	1	4445222.222222222	3.453887027727964	23.776462521461184	9.76906775503477	0.044169935533003926	-13.599999999999994	4.3651583224016654e-05	4.3651583224016654e-05	-13.599999999999994	0.04671808173716931	-29.33872529424217	0.0011644677643413875	1716978798	0.5	4445222.222222222	29-05-24 12:33:18.834657
6667333.333333333	6667333.333333333	1	6667333.333333333	3.419096006566868	23.68852587158792	9.670663887085109	0.04544379028369577	-13.599999999999994	4.3651583224016654e-05	4.3651583224016654e-05	-13.599999999999994	0.04671808173716931	-31.95579326265687	0.0006374126434909038	1716978808	0.5	6667333.333333333	29-05-24 12:33:28.438237
8889444.444444444	8889444.444444444	1	8889444.444444444	3.435083365923114	23.72904558467376	9.71588296794138	0.015604370094289012	-13.599999999999994	4.3651583224016654e-05	4.3651583224016654e-05	-13.599999999999994	0.04671808173716931	-38.11695706999819	0.00015427810401182198	1716978817	0.5	8889444.444444444	29-05-24 12:33:37.972872
11111555.555555556	11111555.555555556	1	11111555.555555556	2.8987438354285056	22.254496717859226	8.198885691816791	0.021818668998869035	-15.199999999999989	3.0199517204020236e-05	3.0199517204020236e-05	-15.199999999999989	0.03885840784439079	-38.97536992386622	0.0001266085420144589	1716978827	0.5	11111555.555555556	29-05-24 12:33:47.644762
13333666.666666666	13333666.666666666	1	13333666.666666666	1.7717492386071398	17.978345052630903	5.011263604724845	0.019786538716107485	-19.999999999999986	1.0000000000000031e-05	1.0000000000000031e-05	-19.999999999999986	0.022360679774997932	-32.830555606255245	0.0005211280373315979	1716978842	0.5	13333666.666666666	29-05-24 12:34:02.360312
15555777.777777778	15555777.777777778	1	15555777.777777778	0.9414541496725016	12.486283437233483	2.6628344536385633	0.029931220801249166	-25.599999999999994	2.754228703338169e-06	2.754228703338169e-06	-25.599999999999994	0.011735051562175108	-26.088501911874957	0.0024612164482913455	1716978853	0.5	15555777.777777778	29-05-24 12:34:13.345677
17777888.888888888	17777888.888888888	1	17777888.888888888	0.5399511711337919	7.6573897062111	1.527212538473289	0.010586076785019018	-30.39999999999999	9.120108393559115e-07	9.120108393559115e-07	-30.39999999999999	0.006752817335586353	-22.840908949655283	0.005198871761953213	1716978869	0.5	17777888.888888888	29-05-24 12:34:29.720438
20000000.0	20000000.0	1	20000000.0	0.3240537076771969	3.222639853045675	0.9165622966687565	0.009741529633193788	-35.19999999999999	3.0199517204020255e-07	3.0199517204020255e-07	-35.19999999999999	0.0038858407844390803	-18.022920625236306	0.015765506846539518	1716978880	0.5	20000000.0	29-05-24 12:34:40.844605
