# 
Scope_Frequency	base_freq	A2	f2	scope_rms	scope_dBm	scope_pkpk	scope_thd	Pmax_dBm	Pmax_lin	base_P	base_dB	base_V	thd	lin_thd	timestamp	Delay	a	
1000.0	1000.0	1	1000.0	1.9328979105212236	18.734478288445857	5.467060879483464	0.0018119746748959695	None	None	1.7378008287493762e-11	-77.6	2.947711679209295e-05	21.66718406580354	146.79741451177887	1716978051	0.5	1000.0	29-05-24 12:20:51.571297
2223111.111111111	2223111.111111111	1	2223111.111111111	3.456902915680981	23.784043614736525	9.777597974326278	0.05313816890961206	None	None	1.5848931924611143e-08	-48.0	0.0008901946956877227	-0.5320926837319044	0.8846892123237711	1716978083	0.5	2223111.111111111	29-05-24 12:21:23.041715
4445222.222222222	4445222.222222222	1	4445222.222222222	3.4435927516255807	23.750535656757258	9.739951145277164	0.039692834028632974	None	None	4.3651583224016654e-05	-13.599999999999994	0.04671808173716931	-28.938168586363787	0.0012769771947468555	1716978094	0.5	4445222.222222222	29-05-24 12:21:34.655599
6667333.333333333	6667333.333333333	1	6667333.333333333	3.4534038719523528	23.775247388694154	9.767701184133553	0.02305382753125889	None	None	4.3651583224016654e-05	-13.599999999999994	0.04671808173716931	-31.85104705037872	0.0006529731069071113	1716978106	0.5	6667333.333333333	29-05-24 12:21:46.337015
8889444.444444444	8889444.444444444	1	8889444.444444444	3.4288898872970743	23.71337073151316	9.698365164998952	0.01413538035459169	None	None	4.3651583224016654e-05	-13.599999999999994	0.04671808173716931	-37.4109479070641	0.00018151194449076688	1716978121	0.5	8889444.444444444	29-05-24 12:22:01.820466
11111555.555555556	11111555.555555556	1	11111555.555555556	2.9016373962098165	22.263162752276166	8.207069917617753	0.022523012229530744	None	None	3.0199517204020236e-05	-15.199999999999989	0.03885840784439079	-38.44054292079274	0.00014320088696009265	1716978134	0.5	11111555.555555556	29-05-24 12:22:14.747018
13333666.666666666	13333666.666666666	1	13333666.666666666	1.7873601858125114	18.05454154898382	5.055418031243498	0.023319691899334093	None	None	1.0964781961431864e-05	-19.599999999999994	0.02341450614622468	-32.81157888107209	0.0005234101158248199	1716978144	0.5	13333666.666666666	29-05-24 12:22:24.493047
15555777.777777778	15555777.777777778	1	15555777.777777778	0.9492522667472186	12.557932814190885	2.6848908594946392	0.027961228219346466	None	None	3.0199517204020252e-06	-25.19999999999999	0.012288107503602874	-26.568982103284693	0.0022034428441048562	1716978175	0.5	15555777.777777778	29-05-24 12:22:55.460827
17777888.888888888	17777888.888888888	1	17777888.888888888	0.5411785299463174	7.677111128647491	1.5306840334304328	0.022561496072937087	None	None	1.0000000000000031e-06	-29.999999999999986	0.007071067811865487	-23.77729859662748	0.004190541445922157	1716978192	0.5	17777888.888888888	29-05-24 12:23:12.396882
20000000.0	20000000.0	1	20000000.0	0.32361861664173736	3.2109698985236044	0.9153316733823289	0.013345801062143711	None	None	3.3113112148259143e-07	-34.8	0.004068974818566658	-18.516109728525688	0.014073075809388972	1716978212	0.5	20000000.0	29-05-24 12:23:32.442574
