# 
Voltage 1	Current 1	ch1a avglen	ch1b avglen	ch1a	ch2a	ch3a	ch4a	ch1b	ch2b	ch3b	ch4b	VDC10	VDC1	temp_pt100	time	Delay	a	
0.121	0.0	250	250	-7430979.0	-7444742.0	-7451910.0	-7449934.0	-8388608.0	-8388608.0	-8388608.0	-8388608.0	-11.870988	9.9e+37	22.8584125	1711474270.894547	6	42.0	26-03-24 18:31:10.894613
0.6	0.002	250	250	-7153663.0	-7166343.0	-7172690.0	-7170294.0	-8388608.0	-8388608.0	-8388608.0	-8388608.0	-11.3764564	9.9e+37	22.8371393	1711474278.92229	6	42.0	26-03-24 18:31:18.922352
1.2	0.005	250	250	-6778778.0	-6790729.0	-6796724.0	-6794517.0	-8123735.0	-8114725.0	-8113776.0	-8109775.0	-10.7800908	-1.16063757	22.8052295	1711474286.7661297	6	42.0	26-03-24 18:31:26.766183
1.8	0.008	250	250	-6402853.0	-6414022.0	-6419716.0	-6417690.0	-7673599.0	-7665020.0	-7664199.0	-7660394.0	-10.1822691	-1.09631083	22.8352228	1711474294.5677319	6	42.0	26-03-24 18:31:34.567821
2.401	0.011	250	250	-6025654.0	-6036068.0	-6041479.0	-6039597.0	-7221709.0	-7213541.0	-7212771.0	-7209178.0	-9.58257435	-1.03174877	22.8538129	1711474302.6212766	6	42.0	26-03-24 18:31:42.621330
3.001	0.014	250	250	-5649038.0	-5658697.0	-5663777.0	-5662078.0	-6770056.0	-6762360.0	-6761599.0	-6758209.0	-8.98372082	-0.967216489	22.8805482	1711474310.6889467	6	42.0	26-03-24 18:31:50.689006
3.6	0.018	250	250	-5272545.0	-5281457.0	-5286256.0	-5284728.0	-6318711.0	-6311455.0	-6310825.0	-6307591.0	-8.38509869	-0.902756678	22.8922389	1711474318.7686338	6	42.0	26-03-24 18:31:58.768691
4.2	0.021	250	250	-4895634.0	-4903833.0	-4908282.0	-4906958.0	-5867306.0	-5860454.0	-5859921.0	-5856860.0	-7.78583903	-0.838271503	22.9351686	1711474326.8532755	6	42.0	26-03-24 18:32:06.853360
4.8	0.024	250	250	-4519116.0	-4526526.0	-4530644.0	-4529533.0	-5416158.0	-5409742.0	-5409243.0	-5406391.0	-7.18716931	-0.773812176	22.9553878	1711474334.6558712	6	42.0	26-03-24 18:32:14.655927
5.4	0.027	250	250	-4142062.0	-4148727.0	-4152548.0	-4151605.0	-4964386.0	-4958449.0	-4958007.0	-4955331.0	-6.58761596	-0.709266549	23.0095291	1711474342.6867769	6	42.0	26-03-24 18:32:22.686833
6.0	0.03	250	250	-3765467.0	-3771388.0	-3774880.0	-3774108.0	-4513245.0	-4507687.0	-4507345.0	-4504869.0	-5.98886733	-0.644833198	23.0617539	1711474350.7158518	6	42.0	26-03-24 18:32:30.715873
6.6	0.033	250	250	-3388416.0	-3393575.0	-3396760.0	-3396182.0	-4061520.0	-4056412.0	-4056139.0	-4053859.0	-5.38939376	-0.580294606	23.090789	1711474358.517407	6	42.0	26-03-24 18:32:38.517465
7.2	0.036	250	250	-3011872.0	-3016290.0	-3019150.0	-3018761.0	-3610236.0	-3605582.0	-3605377.0	-3603272.0	-4.79071513	-0.515819916	23.1380309	1711474366.5813212	6	42.0	26-03-24 18:32:46.581378
7.8	0.039	250	250	-2634424.0	-2638112.0	-2640623.0	-2640429.0	-3157827.0	-3153619.0	-3153487.0	-3151579.0	-4.1906093	-0.451199754	23.2356769	1711474374.5969656	6	42.0	26-03-24 18:32:54.597015
8.4	0.042	250	250	-2257947.0	-2260883.0	-2263085.0	-2263078.0	-2706709.0	-2702938.0	-2702879.0	-2701159.0	-3.59201582	-0.386756887	23.2815772	1711474382.63525	6	42.0	26-03-24 18:33:02.635305
8.999	0.045	250	250	-1881535.0	-1883718.0	-1885588.0	-1885768.0	-2255649.0	-2252321.0	-2252333.0	-2250808.0	-2.99353483	-0.322315782	23.3214405	1711474390.6580029	6	42.0	26-03-24 18:33:10.658060
