# 
VDC	Voltage 1	Current 1	ch1a	ch2a	ch3a	ch4a	ch1b	ch2b	ch3b	ch4b	Delay	a	
-11.899677	0.068	0.0	-11.82995	-7465738.0	-7472602.0	-7469946.0	-11.82443	-7443194.0	-7442106.0	-7439389.0	7.0	7.000000000000001	11-12-23 16:12:21.503384
-11.4876819	0.5	0.002	-11.46861	-7237785.0	-7244498.0	-7241805.0	-11.50313	-7241006.0	-7239881.0	-7237230.0	7.0	7.000000000000001	11-12-23 16:12:29.046629
-10.9916012	1.0	0.004	-10.97315	-6925099.0	-6931547.0	-6929002.0	-11.00616	-6928196.0	-6927130.0	-6924557.0	7.0	7.000000000000001	11-12-23 16:12:36.777024
-10.4936413	1.499	0.007	-10.4759	-6611218.0	-6617404.0	-6615007.0	-10.50766	-6614256.0	-6613279.0	-6610792.0	7.0	7.000000000000001	11-12-23 16:12:44.444102
-9.99395567	2.0	0.01	-9.977138	-6296265.0	-6302197.0	-6299933.0	-10.00728	-6299227.0	-6298294.0	-6295911.0	7.0	7.000000000000001	11-12-23 16:12:52.020044
-9.49482599	2.499	0.012	-9.478743	-5981677.0	-5987300.0	-5985250.0	-9.507507	-5984522.0	-5983643.0	-5981385.0	7.0	7.000000000000001	11-12-23 16:12:59.550123
-8.99473162	3.0	0.015	-8.979463	-5666499.0	-5671812.0	-5669920.0	-9.006714	-5669250.0	-5668447.0	-5666234.0	7.0	7.000000000000001	11-12-23 16:13:07.278071
-8.49583183	3.5	0.017	-8.481276	-5352050.0	-5357086.0	-5355376.0	-8.50701	-5354654.0	-5353920.0	-5351808.0	7.0	7.000000000000001	11-12-23 16:13:14.892896
-7.99606016	4.0	0.02	-7.982258	-5037064.0	-5041794.0	-5040270.0	-8.006551	-5039590.0	-5038913.0	-5036906.0	7.0	7.000000000000001	11-12-23 16:13:22.427491
-7.49629432	4.5	0.022	-7.483257	-4722018.0	-4726506.0	-4725126.0	-7.506036	-4724472.0	-4723880.0	-4721915.0	7.0	7.000000000000001	11-12-23 16:13:30.113846
-6.99637589	5.0	0.025	-6.984132	-4406938.0	-4411119.0	-4409914.0	-7.005539	-4409289.0	-4408782.0	-4406940.0	7.0	7.000000000000001	11-12-23 16:13:37.727050
-6.49687993	5.5	0.027	-6.485346	-4092104.0	-4096044.0	-4094982.0	-6.505298	-4094348.0	-4093911.0	-4092139.0	7.0	7.000000000000001	11-12-23 16:13:45.256943
