# 
Voltage 1	Current 1	ch1a avglen	ch1b avglen	ch1a	ch2a	ch3a	ch4a	ch1b	ch2b	ch3b	ch4b	VDC10	VDC1	temp_pt100	time	Delay	a	
0.115	0.0	250	250	-7438136.0	-7451743.0	-7459014.0	-7456881.0	-8388608.0	-8388608.0	-8388608.0	-8388608.0	-11.878825	9.9e+37	21.1208119	1713905435.7251165	6	83.0	23-04-24 22:50:35.725179
0.6	0.002	250	250	-7154243.0	-7166863.0	-7173249.0	-7170733.0	-8388608.0	-8388608.0	-8388608.0	-8388608.0	-11.3772295	9.9e+37	21.17342	1713905443.7841063	6	83.0	23-04-24 22:50:43.784167
1.201	0.005	250	250	-6779109.0	-6790947.0	-6797023.0	-6794720.0	-8124589.0	-8115726.0	-8114762.0	-8110656.0	-10.7804884	-1.16080394	21.1169789	1713905451.8037305	6	83.0	23-04-24 22:50:51.803786
1.8	0.008	250	250	-6403097.0	-6414195.0	-6419957.0	-6417856.0	-7673907.0	-7665493.0	-7664616.0	-7660683.0	-10.1826503	-1.09642041	21.0871772	1713905459.6374257	6	83.0	23-04-24 22:50:59.637480
2.401	0.011	250	250	-6025923.0	-6036288.0	-6041707.0	-6039796.0	-7221692.0	-7213662.0	-7212845.0	-7209142.0	-9.58289792	-1.03179108	21.0246032	1713905467.4625926	6	83.0	23-04-24 22:51:07.462649
3.001	0.015	250	250	-5649370.0	-5659011.0	-5664062.0	-5662369.0	-6770272.0	-6762686.0	-6761913.0	-6758438.0	-8.98416646	-0.967299674	20.9296403	1713905475.310531	6	83.0	23-04-24 22:51:15.310589
3.6	0.018	250	250	-5272873.0	-5281705.0	-5286505.0	-5284987.0	-6319119.0	-6311992.0	-6311310.0	-6308021.0	-8.38553218	-0.902856171	20.8785654	1713905483.132891	6	83.0	23-04-24 22:51:23.132946
4.2	0.021	250	250	-4895967.0	-4904097.0	-4908573.0	-4907237.0	-5867454.0	-5860751.0	-5860152.0	-5857031.0	-7.78628301	-0.838330371	20.8525009	1713905491.0076075	6	83.0	23-04-24 22:51:31.007663
4.8	0.024	250	250	-4519478.0	-4526853.0	-4530996.0	-4529828.0	-5416373.0	-5410082.0	-5409566.0	-5406654.0	-7.18756441	-0.773870856	20.8495304	1713905499.1029868	6	83.0	23-04-24 22:51:39.103042
5.4	0.027	250	250	-4142368.0	-4149014.0	-4152825.0	-4151860.0	-4964551.0	-4958675.0	-4958230.0	-4955502.0	-6.58803844	-0.709330132	20.8951432	1713905507.1824358	6	83.0	23-04-24 22:51:47.182484
6.0	0.03	250	250	-3765721.0	-3771613.0	-3775094.0	-3774333.0	-4513314.0	-4507881.0	-4507510.0	-4504979.0	-5.98921093	-0.64487098	20.9151707	1713905515.262156	6	83.0	23-04-24 22:51:55.262211
6.6	0.033	250	250	-3388656.0	-3393803.0	-3396982.0	-3396387.0	-4061500.0	-4056490.0	-4056200.0	-4053865.0	-5.38970268	-0.580323527	20.909517	1713905523.3094587	6	83.0	23-04-24 22:52:03.309508
7.2	0.036	250	250	-3012113.0	-3016515.0	-3019336.0	-3018958.0	-3610247.0	-3605677.0	-3605437.0	-3603300.0	-4.79100095	-0.515854176	20.9263823	1713905531.1288786	6	83.0	23-04-24 22:52:11.128933
7.8	0.039	250	250	-2634693.0	-2638343.0	-2640850.0	-2640663.0	-3158004.0	-3153852.0	-3153709.0	-3151769.0	-4.19100391	-0.451253319	20.9763073	1713905538.9278464	6	83.0	23-04-24 22:52:18.927902
8.4	0.042	250	250	-2258254.0	-2261168.0	-2263363.0	-2263349.0	-2707014.0	-2703285.0	-2703226.0	-2701473.0	-3.59245393	-0.386816842	20.981386	1713905546.9400175	6	83.0	23-04-24 22:52:26.940075
8.999	0.045	250	250	-1881814.0	-1883980.0	-1885849.0	-1886028.0	-2255801.0	-2252514.0	-2252503.0	-2250954.0	-2.9939346	-0.322361187	21.0001678	1713905554.804822	6	83.0	23-04-24 22:52:34.804877
9.599	0.048	250	250	-1504850.0	-1506275.0	-1507818.0	-1508192.0	-1804173.0	-1801311.0	-1801394.0	-1800012.0	-2.39457804	-0.257839196	20.9974847	1713905562.8916821	6	83.0	23-04-24 22:52:42.891735
10.199	0.051	250	250	-1127828.0	-1128509.0	-1129731.0	-1130291.0	-1352383.0	-1349969.0	-1350123.0	-1348937.0	-1.79512648	-0.193291006	20.9639458	1713905570.6910589	6	83.0	23-04-24 22:52:50.691116
10.801	0.054	250	250	-750606.2	-750543.6	-751449.1	-752187.2	-900369.2	-898357.6	-898590.9	-897603.7	-1.19540646	-0.128716662	20.9577172	1713905578.730178	6	83.0	23-04-24 22:52:58.730236
11.4	0.058	250	250	-373847.2	-373039.7	-373613.4	-374556.1	-448908.0	-447316.8	-447635.7	-446834.1	-0.596352681	-0.0642232195	20.9239866	1713905586.8012738	6	83.0	23-04-24 22:53:06.801328
12.0	0.061	250	250	3007.536	4556.42	4298.908	3178.532	2691.732	3821.532	3443.728	4028.064	0.00281755216	0.000294856762	20.881536	1713905594.6344438	6	83.0	23-04-24 22:53:14.634506
12.6	0.064	250	250	379703.4	381987.5	382058.1	380758.3	454110.6	454814.1	454352.7	454762.5	0.601816141	0.0647940344	20.8473264	1713905602.6503904	6	83.0	23-04-24 22:53:22.650448
13.2	0.067	250	250	756767.5	759787.2	760183.1	758703.8	905943.5	906228.3	905684.5	905897.4	1.20123612	0.129330102	20.7986471	1713905610.476657	6	83.0	23-04-24 22:53:30.476712
13.799	0.07	250	250	1133260.0	1137022.0	1137743.0	1136076.0	1357119.0	1356972.0	1356368.0	1356394.0	1.79987471	0.193789605	20.794335	1713905618.4932623	6	83.0	23-04-24 22:53:38.493319
14.399	0.073	250	250	1510089.0	1514592.0	1515629.0	1513780.0	1808681.0	1808098.0	1807432.0	1807260.0	2.39893759	0.258291459	20.8272989	1713905626.327211	6	83.0	23-04-24 22:53:46.327265
14.999	0.076	250	250	1886729.0	1891964.0	1893327.0	1891293.0	2260055.0	2259039.0	2258283.0	2257914.0	2.99779178	0.32277828	20.8183871	1713905634.128743	6	83.0	23-04-24 22:53:54.128830
15.599	0.079	250	250	2264100.0	2270080.0	2271773.0	2269542.0	2712342.0	2710902.0	2710069.0	2709506.0	3.59776033	0.387395584	20.8399478	1713905642.141861	6	83.0	23-04-24 22:54:02.141916
16.2	0.082	250	250	2641148.0	2647870.0	2649873.0	2647456.0	3164168.0	3162291.0	3161397.0	3160656.0	4.19715225	0.451933948	20.8512552	1713905650.195572	6	83.0	23-04-24 22:54:10.195625
16.8	0.085	250	250	3017686.0	3025144.0	3027473.0	3024877.0	3615432.0	3613119.0	3612154.0	3611217.0	4.79582099	0.516401157	20.8921726	1713905658.2108514	6	83.0	23-04-24 22:54:18.210906
17.4	0.088	250	250	3394478.0	3402683.0	3405330.0	3402556.0	4067031.0	4064288.0	4063232.0	4062098.0	5.39482052	0.580903527	20.9409477	1713905666.277617	6	83.0	23-04-24 22:54:26.277670
18.0	0.091	250	250	3771331.0	3780276.0	3783279.0	3780296.0	4518579.0	4515400.0	4514272.0	4512934.0	5.99397506	0.645396391	20.9700786	1713905674.2830763	6	83.0	23-04-24 22:54:34.283133
18.6	0.095	250	250	4148062.0	4157759.0	4161083.0	4157900.0	4969944.0	4966368.0	4965138.0	4963617.0	6.59303841	0.709896955	20.9472722	1713905682.109899	6	83.0	23-04-24 22:54:42.109954
19.199	0.098	250	250	4524384.0	4534818.0	4538465.0	4535089.0	5421019.0	5417004.0	5415704.0	5413987.0	7.19119364	0.77432116	20.9641375	1713905689.9093227	6	83.0	23-04-24 22:54:49.909373
19.8	0.101	250	250	4901361.0	4912551.0	4916511.0	4912962.0	5872867.0	5868391.0	5867048.0	5865135.0	7.79070043	0.838882717	20.9861773	1713905697.7605035	6	83.0	23-04-24 22:54:57.760559
20.4	0.104	250	250	5278135.0	5290039.0	5294343.0	5290598.0	6324435.0	6319519.0	6318123.0	6316005.0	8.38971461	0.903389914	20.9454515	1713905705.7855647	6	83.0	23-04-24 22:55:05.785616
