# 
Scope_Frequency	A2	f2	gain	gain_log	phase	Scope_Amplitude_RMS	Scope_Amplitude_pkpk	THD	Delay	a	
1000.0	16.0	1000.0	5.858114545601089e-07	-124.6448428134294	-145.08736302366364	3.1842170710709228	9.006325934896866	0.0054868413030877165	0.5	1000.0	20-05-24 17:12:23.376814
1223.9850755871992	16.0	1223.9850755871992	6.116529489801243e-07	-124.26989852096486	164.37575419524424	3.6091478204722094	10.208211592642192	0.0057861669063190655	0.5	1223.9850755871992	20-05-24 17:12:30.171808
1498.1394652602019	16.0	1498.1394652602019	2.0807186030110127e-07	-133.63573299858314	-144.0847283754479	4.075321284416029	11.52674926289778	0.006821755787854217	0.5	1498.1394652602019	20-05-24 17:12:34.604869
1833.7003466266742	16.0	1833.7003466266742	5.532400254565348e-07	-125.14172814731772	-96.42855848409162	4.431325138179558	12.533680219396722	0.014363498277512772	0.5	1833.7003466266742	20-05-24 17:12:38.982406
2244.4218573701232	16.0	2244.4218573701232	7.303622264763206e-07	-122.72923392242993	-31.833246654750376	4.599252112618783	13.008649428877185	0.0411499732181283	0.5	2244.4218573701232	20-05-24 17:12:43.342620
2747.1388567427325	16.0	2747.1388567427325	4.873058677236828e-07	-126.24396718363312	-116.98988755060886	4.759550730706782	13.462042388336613	0.0602499244406326	0.5	2747.1388567427325	20-05-24 17:12:59.854159
3362.456961218785	16.0	3362.456961218785	1.2934721140609017e-06	-117.76485859584893	157.1104039609824	4.878819403041577	13.799385136300813	0.07459255655052129	0.5	3362.456961218785	20-05-24 17:13:04.423194
4115.597137836079	16.0	4115.597137836079	1.1043480021873868e-06	-119.13788100289239	-143.53919108920718	4.897595252587042	13.852491258445356	0.07980704843445668	0.5	4115.597137836079	20-05-24 17:13:08.821781
5037.429473840753	16.0	5037.429473840753	1.0830694281961037e-06	-119.30687405648699	162.26562040205246	4.926475838944939	13.934177892278612	0.08925155458976848	0.5	5037.429473840753	20-05-24 17:13:13.236263
6165.738495304161	16.0	6165.738495304161	2.677149920610546e-07	-131.44654615212406	138.1422963786992	4.96516769233601	14.043614979916617	0.0887213802137484	0.5	6165.738495304161	20-05-24 17:13:18.243192
7546.7718982257675	16.0	7546.7718982257675	4.824050432704925e-07	-126.33176321084498	-156.63694069512536	4.990292003771294	14.114677263870746	0.10279223755446701	0.5	7546.7718982257675	20-05-24 17:13:22.701563
9237.136172289216	16.0	9237.136172289216	6.681947928708244e-07	-123.50193826136507	118.70623371711659	4.989974889280427	14.113780328643127	0.09766020681656927	0.5	9237.136172289216	20-05-24 17:13:26.989873
11306.116816048669	16.0	11306.116816048669	8.573147346916765e-06	-101.33719423956083	1.738221374521008	4.951885407355754	14.006047004799855	0.11383984677905012	0.5	11306.116816048669	20-05-24 17:13:31.950159
13838.518245689036	16.0	13838.518245689036	7.635377073116065e-06	-102.3433902088772	4.373920267609338	4.992538586522858	14.121031559463258	0.1024120029105754	0.5	13838.518245689036	20-05-24 17:13:36.452562
16938.139800964524	16.0	16938.139800964524	9.352105672481293e-06	-100.58181189168003	-4.894142917117565	4.999113614530935	14.139628547027266	0.09623928491297047	0.5	16938.139800964524	20-05-24 17:13:40.724500
20732.030324590116	16.0	20732.030324590116	9.726275167617942e-06	-100.24106895797742	8.121516318899706	5.001754069075164	14.147096880281824	0.10602003136156782	0.5	20732.030324590116	20-05-24 17:13:45.017191
25375.69570391953	16.0	25375.69570391953	8.040343271293214e-06	-101.89450818511557	-2.0823578081935037	4.921088078376424	13.918939004144983	0.11398195245130659	0.5	25375.69570391953	20-05-24 17:13:48.480584
31059.472824239718	16.0	31059.472824239718	9.193910322955693e-06	-100.72999473313126	0.8898163607857174	4.935642841384289	13.960106090630681	0.10848795865822335	0.5	31059.472824239718	20-05-24 17:13:51.935885
38016.33119247562	16.0	38016.33119247562	8.434593497930398e-06	-101.47871686460279	-3.4769893537262946	4.978020849461668	14.079969198169454	0.10728992950230126	0.5	38016.33119247562	20-05-24 17:13:55.297137
46531.42200817025	16.0	46531.42200817025	9.573698865162392e-06	-100.37840474212649	3.1477542016121367	4.972269532024742	14.063702015927829	0.10669205486228649	0.5	46531.42200817025	20-05-24 17:13:58.716623
56953.76608385015	16.0	56953.76608385015	8.654111472807072e-06	-101.25555029988664	-2.4354620262442794	4.961096235102728	14.03209915984076	0.10357926036297818	0.5	56953.76608385015	20-05-24 17:14:01.789023
69710.55968511697	16.0	69710.55968511697	8.182335840296301e-06	-101.74245398100076	0.4147244848617473	4.945428954168633	13.987785397475747	0.10846031095302304	0.5	69710.55968511697	20-05-24 17:14:04.662729
85324.68466541386	16.0	85324.68466541386	8.546894323087482e-06	-101.36383331565447	1.2733066293926543	4.938565512069166	13.968372651672489	0.1084424569778633	0.5	85324.68466541386	20-05-24 17:14:07.671224
104436.14060965055	16.0	104436.14060965055	1.0335772760723197e-05	-99.71314095030964	-1.017890233005187	4.915377875192232	13.902788110571002	0.10527265399074813	0.5	104436.14060965055	20-05-24 17:14:10.533926
127828.27745813846	16.0	127828.27745813846	7.5538156144784894e-06	-102.43667240656347	-2.254669739056409	4.943608183489285	13.982635480298336	0.09998348379026425	0.5	127828.27745813846	20-05-24 17:14:13.260926
156459.90384678112	16.0	156459.90384678112	1.095596954480457e-05	-99.20698367319851	-22.887775097062114	4.978507515933586	14.08134569881933	0.1011210617131524	0.5	156459.90384678112	20-05-24 17:14:15.987590
191504.58723626836	16.0	191504.58723626836	9.672686331061133e-06	-100.28905790874903	-2.191093743247119	4.940065003983586	13.972613855276569	0.1108414622156355	0.5	191504.58723626836	20-05-24 17:14:18.700207
234398.75668367906	16.0	234398.75668367906	9.895663102131592e-06	-100.0911019736737	3.691088392632454	4.976346401096961	14.07523314299573	0.10362651916938075	0.5	234398.75668367906	20-05-24 17:14:21.453254
286900.57991701853	16.0	286900.57991701853	8.560865994574195e-06	-101.34964602037792	-0.4341788398682662	4.976142578678125	14.074656646137663	0.10262989483629999	0.5	286900.57991701853	20-05-24 17:14:24.337772
351162.0279957433	16.0	351162.0279957433	8.970862258803985e-06	-100.94331623110665	-0.9068449200564399	4.988546015145467	14.109738862281956	0.10088047642831603	0.5	351162.0279957433	20-05-24 17:14:27.087862
429817.0813797241	16.0	429817.0813797241	9.35826673973684e-06	-100.57609160445223	-1.2436560626149211	4.996163192186995	14.131283492440211	0.10727595639807258	0.5	429817.0813797241	20-05-24 17:14:29.842126
526089.6928412311	16.0	526089.6928412311	7.897410132908826e-06	-102.05030614733911	6.292158320989618	4.906973942937792	13.879018200628014	0.12142594976871258	0.5	526089.6928412311	20-05-24 17:14:32.768659
643925.9324579202	16.0	643925.9324579202	9.255782821011417e-06	-100.67173688566996	1.3479094543416958	4.999693131975479	14.141267669886679	0.11078537816179233	0.5	643925.9324579202	20-05-24 17:14:35.408313
788155.7311120651	16.0	788155.7311120651	8.918174546809901e-06	-100.99448063754267	-0.9574049603556682	5.001458977764043	14.14626223601317	0.11951126686252782	0.5	788155.7311120651	20-05-24 17:14:38.240313
964690.8521196856	16.0	964690.8521196856	8.907647888679492e-06	-101.00473917139013	0.8344574160678375	4.999520129071634	14.140778343780783	0.12171149902075698	0.5	964690.8521196856	20-05-24 17:14:40.859826
1180767.2055499933	16.0	1180767.2055499933	8.180431404410579e-06	-101.74447585416604	-5.978789540097985	4.999522292856213	14.140784463887778	0.13519870639359238	0.5	1180767.2055499933	20-05-24 17:14:43.606000
1445241.4373359948	16.0	1445241.4373359948	8.917541390774335e-06	-100.99509732413603	0.6440435253718517	4.9189621105447845	13.912925859063636	0.14380019214717457	0.5	1445241.4373359948	20-05-24 17:14:46.291055
1768953.9499194485	16.0	1768953.9499194485	8.560783465855674e-06	-101.34972975475675	1.40668627997862	4.89362779121466	13.84126958308333	0.147762741159959	0.5	1768953.9499194485	20-05-24 17:14:49.203657
2165173.234102431	16.0	2165173.234102431	8.126961635957223e-06	-101.80143580735857	1.0310161570949077	4.900344804443247	13.860268165496345	0.13770749462396736	0.5	2165173.234102431	20-05-24 17:14:52.136142
2650139.7246022457	16.0	2650139.7246022457	8.528384079087311e-06	-101.38266498513019	-5.924179091503895	4.7765236406281035	13.510049027143952	0.1463761714868706	0.5	2650139.7246022457	20-05-24 17:14:54.752898
3243731.4711339194	16.0	3243731.4711339194	9.420308849753389e-06	-100.5186971680388	4.4910153092491925	4.483599807316677	12.681535311521282	0.1302442578396705	0.5	3243731.4711339194	20-05-24 17:14:57.520288
3970278.909880428	16.0	3970278.909880428	9.586570859842966e-06	-100.36673426528645	2.362831014022001	4.328670225395258	12.243328279589152	0.13345487688303231	0.5	3970278.909880428	20-05-24 17:15:00.291236
4859562.131612254	16.0	4859562.131612254	9.765337854011901e-06	-100.20625453427147	7.537224340963966	4.3729846799810455	12.36866848495793	0.11395285668054711	0.5	4859562.131612254	20-05-24 17:15:02.944843
5948031.522982118	16.0	5948031.522982118	9.156435974725353e-06	-100.76547073998103	1.7013798887521943	4.376598852517477	12.378890908593482	0.08683409940270306	0.5	5948031.522982118	20-05-24 17:15:05.706947
7280301.813252313	16.0	7280301.813252313	1.098349650929008e-05	-99.18518767319873	2.734757488396958	4.2203820858183585	11.937043168321548	0.0794047522776599	0.5	7280301.813252313	20-05-24 17:15:08.580289
8910980.765191257	16.0	8910980.765191257	8.833782948763308e-06	-101.07706551634186	10.677853582904563	3.962709059961113	11.20823379267149	0.06864593220695474	0.5	8910980.765191257	20-05-24 17:15:11.344460
10906907.465438703	16.0	10906907.465438703	6.66751318741319e-06	-103.52072233326382	-7.5974286840471805	3.0532336282749193	8.63584881240001	0.05592987829271511	0.5	10906907.465438703	20-05-24 17:15:14.208639
