# 
A2	f2	Scope_Frequency	gain	gain_log	phase	Scope_Amplitude_RMS	Scope_Amplitude_pkpk	THD	Delay	a	
1	100.0	100.0	0.05007015711984705	-26.008420915710452	-0.44051338184430755	0.020853841395374485	0.05898357065783213	0.0	0.5	100.0	20-05-24 15:10:44.264220
1	202119.19191919194	202119.19191919194	0.04841001820178325	-26.301295081355917	-2.760916047960617	0.3207879222786255	0.9073252606638372	0.0	0.5	202119.19191919194	20-05-24 15:11:01.741244
1	404138.3838383839	404138.3838383839	0.048676397830301116	-26.25363136163585	-3.8223410072315493	0.32060897053373916	0.90681910869458	0.0	0.5	404138.3838383839	20-05-24 15:11:04.440850
1	606157.5757575758	606157.5757575758	0.04885860016974411	-26.221179600000134	-5.322865085026129	0.3218925450894938	0.9104496057847102	0.0	0.5	606157.5757575758	20-05-24 15:11:07.380047
1	808176.7676767678	808176.7676767678	0.04896886729812871	-26.201598831157668	-6.822906168381336	0.3198407458618791	0.9046462411947918	0.0	0.5	808176.7676767678	20-05-24 15:11:10.040790
1	1010195.9595959596	1010195.9595959596	0.0491384951715236	-26.171562951709912	-8.398581391807136	0.3156673749910329	0.8928421658220647	0.0	0.5	1010195.9595959596	20-05-24 15:11:12.801423
1	1212215.1515151516	1212215.1515151516	0.04924610823192854	-26.15256169527911	-9.72853390753228	0.31869980109501983	0.9014191620683697	0.0	0.5	1212215.1515151516	20-05-24 15:11:15.462964
1	1414234.3434343433	1414234.3434343433	0.049419146336083505	-26.122095217015655	-11.00541414698418	0.31698823904786405	0.8965781335485081	0.0	0.5	1414234.3434343433	20-05-24 15:11:18.123527
1	1616253.5353535356	1616253.5353535356	0.049501131131536355	-26.107697541097558	-12.65820660797998	0.31425969953489263	0.888860658379078	0.0	0.5	1616253.5353535356	20-05-24 15:11:20.784822
1	1818272.7272727273	1818272.7272727273	0.04964666971723257	-26.082197570537136	-13.931632388568152	0.3154835885287642	0.8923223392070226	0.0	0.5	1818272.7272727273	20-05-24 15:11:23.553514
1	2020291.9191919193	2020291.9191919193	0.049840029831531976	-26.048434128074906	-15.15859665630987	0.31279329438267417	0.8847130382706758	0.0	0.5	2020291.9191919193	20-05-24 15:11:26.322088
1	2222311.111111111	2222311.111111111	0.049864267144126694	-26.04421118818458	-16.68260718648191	0.3123707327526479	0.8835178534944323	0.0	0.5	2222311.111111111	20-05-24 15:11:28.974823
1	2424330.303030303	2424330.303030303	0.05005143784548266	-26.011668837463688	-18.00674913930381	0.3105173331089276	0.8782756476691391	0.0	0.5	2424330.303030303	20-05-24 15:11:31.636789
1	2626349.4949494954	2626349.4949494954	0.05029058835590906	-25.970265669673317	-19.376778941805853	0.3073196258505824	0.8692311657226378	0.0	0.5	2626349.4949494954	20-05-24 15:11:34.298164
1	2828368.6868686867	2828368.6868686867	0.05003938630193351	-26.01376050527907	-20.43578651729257	0.3068921462701423	0.8680220708820457	0.0	0.5	2828368.6868686867	20-05-24 15:11:36.962335
1	3030387.878787879	3030387.878787879	0.050562631670610904	-25.92340660183907	-22.093666228317407	0.3020543665064745	0.8543387633749395	0.0	0.5	3030387.878787879	20-05-24 15:11:39.592788
1	3232407.070707071	3232407.070707071	0.05041462988877272	-25.94886833538147	-23.273613096311102	0.30275226109793	0.8563127073676262	0.0	0.5	3232407.070707071	20-05-24 15:11:42.183077
1	3434426.2626262624	3434426.2626262624	0.05059033741393911	-25.918648480805444	-24.400289099024263	0.30272129562285804	0.8562251237780019	0.0	0.5	3434426.2626262624	20-05-24 15:11:44.948502
1	3636445.4545454546	3636445.4545454546	0.05074291721879811	-25.89249137468318	-25.62846054097653	0.3006382905138737	0.8503334956267655	0.0	0.5	3636445.4545454546	20-05-24 15:11:47.510634
1	3838464.6464646463	3838464.6464646463	0.050896450078439785	-25.86625015487941	-27.05450626229414	0.29706954218472675	0.8402395510512138	0.0	0.5	3838464.6464646463	20-05-24 15:11:50.171153
1	4040483.8383838385	4040483.8383838385	0.05125940369729622	-25.804529005751103	-28.140108477658146	0.29509519441868765	0.8346552522760669	0.0	0.5	4040483.8383838385	20-05-24 15:11:52.834559
1	4242503.03030303	4242503.03030303	0.05111920839388483	-25.82831760123003	-29.565086971149142	0.29313075398205646	0.8290989756601508	0.0	0.5	4242503.03030303	20-05-24 15:11:55.494045
1	4444522.222222222	4444522.222222222	0.05123135816370653	-25.809282613027655	-30.393390539672666	0.29452853352304154	0.8330524932282883	0.0	0.5	4444522.222222222	20-05-24 15:11:58.157850
1	4646541.414141414	4646541.414141414	0.05137851538267456	-25.78436898248629	-31.77405139713217	0.2940269103923318	0.8316336887589888	0.0	0.5	4646541.414141414	20-05-24 15:12:00.807520
1	4848560.606060606	4848560.606060606	0.05151759403709665	-25.76088854992586	-32.93631492199132	0.29119151410227356	0.8236139769827833	0.0	0.5	4848560.606060606	20-05-24 15:12:03.584546
1	5050579.797979798	5050579.797979798	0.051482306789074526	-25.766840034373594	-34.43876940508917	0.28684767636508585	0.8113277485014254	0.0	0.5	5050579.797979798	20-05-24 15:12:06.348019
1	5252598.989898991	5252598.989898991	0.05143197573740366	-25.77533584242477	-35.81274350423399	0.2839143734001624	0.8030311148303375	0.0	0.5	5252598.989898991	20-05-24 15:12:08.993339
1	5454618.181818182	5454618.181818182	0.051659586417860295	-25.736981501449957	-37.04242028304131	0.281517906552011	0.7962528829934711	0.0	0.5	5454618.181818182	20-05-24 15:12:11.677142
