# 
Voltage 1	Current 1	ch1a avglen	ch1b avglen	ch1a	ch2a	ch3a	ch4a	ch1b	ch2b	ch3b	ch4b	VDC10	VDC1	temp	time	Delay	a	
0.093	0.0	250	250	-7447480.0	-7460831.0	-7467739.0	-7465589.0	-8388608.0	-8388608.0	-8388608.0	-8388608.0	-11.8845469	9.9e+37	24.7325162	1711451876.4502625	6	8.0	26-03-24 12:17:56.450325
0.6	0.002	250	250	-7153884.0	-7166446.0	-7172851.0	-7170498.0	-8388608.0	-8388608.0	-8388608.0	-8388608.0	-11.3767034	9.9e+37	24.6419075	1711451884.2848222	6	8.0	26-03-24 12:18:04.284885
1.201	0.005	250	250	-6778811.0	-6790640.0	-6796694.0	-6794547.0	-8124373.0	-8115329.0	-8114472.0	-8110362.0	-10.7800782	-1.16072278	24.6578726	1711451892.3256705	6	8.0	26-03-24 12:18:12.325724
1.8	0.008	250	250	-6402845.0	-6413901.0	-6419695.0	-6417686.0	-7673801.0	-7665217.0	-7664371.0	-7660494.0	-10.1822016	-1.09634996	24.6458927	1711451900.1551876	6	8.0	26-03-24 12:18:20.155242
2.401	0.011	250	250	-6025643.0	-6035958.0	-6041422.0	-6039606.0	-7222187.0	-7214054.0	-7213207.0	-7209516.0	-9.58242905	-1.03181973	24.6197908	1711451908.207415	6	8.0	26-03-24 12:18:28.207470
3.001	0.014	250	250	-5649040.0	-5658641.0	-5663761.0	-5662090.0	-6771065.0	-6763336.0	-6762616.0	-6759141.0	-8.98366238	-0.967354769	24.7444961	1711451916.0424478	6	8.0	26-03-24 12:18:36.042497
3.6	0.018	250	250	-5272506.0	-5281369.0	-5286152.0	-5284692.0	-6319016.0	-6311765.0	-6311119.0	-6307806.0	-8.38499669	-0.902783525	24.7564759	1711451924.0695875	6	8.0	26-03-24 12:18:44.069609
4.2	0.021	250	250	-4895603.0	-4903721.0	-4908192.0	-4906939.0	-5867387.0	-5860525.0	-5860002.0	-5856893.0	-7.78573207	-0.838252071	24.7386677	1711451932.1368701	6	8.0	26-03-24 12:18:52.136921
4.8	0.024	250	250	-4519114.0	-4526487.0	-4530611.0	-4529537.0	-5415961.0	-5409558.0	-5409082.0	-5406195.0	-7.18706696	-0.773775069	24.8781174	1711451939.9662323	6	8.0	26-03-24 12:18:59.966291
5.4	0.027	250	250	-4141996.0	-4148642.0	-4152451.0	-4151557.0	-4963906.0	-4957975.0	-4957555.0	-4954862.0	-6.58750374	-0.709204342	24.9306444	1711451947.7652826	6	8.0	26-03-24 12:19:07.765339
6.0	0.03	250	250	-3765355.0	-3771261.0	-3774730.0	-3774013.0	-4512668.0	-4507139.0	-4506805.0	-4504277.0	-5.98869767	-0.644755249	24.9463103	1711451955.838876	6	8.0	26-03-24 12:19:15.838926
6.6	0.033	250	250	-3388321.0	-3393472.0	-3396631.0	-3396088.0	-4060942.0	-4055863.0	-4055588.0	-4053273.0	-5.38920537	-0.580211068	24.952761	1711451963.6920505	6	8.0	26-03-24 12:19:23.692107
7.2	0.036	250	250	-3011792.0	-3016206.0	-3019040.0	-3018678.0	-3609841.0	-3605181.0	-3604982.0	-3602860.0	-4.79055242	-0.515775866	24.8815043	1711451971.516882	6	8.0	26-03-24 12:19:31.516939
7.8	0.039	250	250	-2634391.0	-2638062.0	-2640560.0	-2640392.0	-3157802.0	-3153592.0	-3153468.0	-3151537.0	-4.19048436	-0.451191815	24.8686029	1711451979.5504925	6	8.0	26-03-24 12:19:39.550548
