# 
VDC	Voltage 1	Current 1	ch1a	ch2a	ch3a	ch4a	ch1b	ch2b	ch3b	ch4b	Delay	a	
-11.8954755	0.066	0.0	-11.82987	-7465806.0	-7472631.0	-7469958.0	-11.82446	-7443268.0	-7442129.0	-7439418.0	7.0	4.0	11-12-23 15:53:36.732568
-11.487863	0.5	0.002	-11.46872	-7237906.0	-7244614.0	-7241893.0	-11.50343	-7241208.0	-7240047.0	-7237365.0	7.0	4.0	11-12-23 15:53:44.310016
-10.9919089	1.0	0.004	-10.97346	-6925330.0	-6931788.0	-6929211.0	-11.00668	-6928522.0	-6927430.0	-6924821.0	7.0	4.0	11-12-23 15:53:51.993901
-10.4939889	1.499	0.007	-10.47626	-6611441.0	-6617644.0	-6615217.0	-10.508	-6614472.0	-6613471.0	-6610986.0	7.0	4.0	11-12-23 15:53:59.567465
-9.99424909	2.0	0.009	-9.977348	-6296484.0	-6302412.0	-6300143.0	-10.00762	-6299408.0	-6298477.0	-6296091.0	7.0	4.0	11-12-23 15:54:07.245351
-9.49521051	2.499	0.012	-9.479019	-5981923.0	-5987572.0	-5985473.0	-9.507799	-5984770.0	-5983858.0	-5981563.0	7.0	4.0	11-12-23 15:54:14.823768
-8.99499032	3.0	0.014	-8.979683	-5666674.0	-5672002.0	-5670108.0	-9.006876	-5669368.0	-5668587.0	-5666394.0	7.0	4.0	11-12-23 15:54:22.504807
-8.49615423	3.5	0.017	-8.481462	-5352270.0	-5357314.0	-5355586.0	-8.507449	-5354886.0	-5354182.0	-5352052.0	7.0	4.0	11-12-23 15:54:30.185585
-7.99630199	4.0	0.02	-7.982563	-5037214.0	-5041966.0	-5040419.0	-8.006796	-5039720.0	-5039067.0	-5037030.0	7.0	4.0	11-12-23 15:54:37.797778
-7.49662759	4.5	0.022	-7.48354	-4722236.0	-4726705.0	-4725319.0	-7.50638	-4724670.0	-4724067.0	-4722154.0	7.0	4.0	11-12-23 15:54:45.444575
-6.9966716	5.0	0.025	-6.984447	-4407150.0	-4411340.0	-4410130.0	-7.005823	-4409483.0	-4408949.0	-4407107.0	7.0	4.0	11-12-23 15:54:53.121402
-6.49713506	5.5	0.027	-6.485607	-4092252.0	-4096156.0	-4095146.0	-6.505573	-4094522.0	-4094069.0	-4092342.0	7.0	4.0	11-12-23 15:55:00.700342
-5.99806666	6.0	0.03	-5.987321	-3777708.0	-3781339.0	-3780446.0	-6.005783	-3779867.0	-3779462.0	-3777796.0	7.0	4.0	11-12-23 15:55:08.315019
