# 
Voltage 1	Current 1	ch1a avglen	ch1b avglen	ch1a	ch2a	ch3a	ch4a	ch1b	ch2b	ch3b	ch4b	VDC	Delay	a	
0.001	0.0	250	250	-7452882.0	-7465999.0	-7472745.0	-7470199.0	-7448193.0	-7442110.0	-7441056.0	-7438389.0	-11.9886694	6	0.0	13-12-23 16:52:24.003564
0.5	0.002	250	250	-7227899.0	-7240665.0	-7247346.0	-7244731.0	-7249491.0	-7243607.0	-7242545.0	-7239922.0	-11.492389	6	0.0	13-12-23 16:52:31.378002
1.0	0.004	250	250	-6914042.0	-6926175.0	-6932631.0	-6930127.0	-6934747.0	-6929072.0	-6928070.0	-6925499.0	-10.9933745	6	0.0	13-12-23 16:52:38.647647
1.499	0.007	250	250	-6600329.0	-6611845.0	-6618002.0	-6615684.0	-6620121.0	-6614650.0	-6613709.0	-6611251.0	-10.4946111	6	0.0	13-12-23 16:52:45.919368
1.999	0.009	250	250	-6285722.0	-6296624.0	-6302461.0	-6300312.0	-6304577.0	-6299318.0	-6298442.0	-6296060.0	-9.99447565	6	0.0	13-12-23 16:52:53.186606
2.499	0.012	250	250	-5971652.0	-5981922.0	-5987469.0	-5985510.0	-5989596.0	-5984518.0	-5983712.0	-5981436.0	-9.49512733	6	0.0	13-12-23 16:53:00.556629
3.0	0.014	250	250	-5656889.0	-5666566.0	-5671860.0	-5670019.0	-5673940.0	-5669075.0	-5668321.0	-5666156.0	-8.99475715	6	0.0	13-12-23 16:53:08.031979
3.499	0.017	250	250	-5343003.0	-5352065.0	-5357065.0	-5355397.0	-5359112.0	-5354484.0	-5353799.0	-5351695.0	-8.49579332	6	0.0	13-12-23 16:53:15.309145
3.999	0.019	250	250	-5028568.0	-5036981.0	-5041717.0	-5040211.0	-5043736.0	-5039302.0	-5038694.0	-5036675.0	-7.99586805	6	0.0	13-12-23 16:53:22.579528
4.499	0.022	250	250	-4714148.0	-4721944.0	-4726386.0	-4725052.0	-4728443.0	-4724186.0	-4723641.0	-4721720.0	-7.49604732	6	0.0	13-12-23 16:53:29.749059
4.999	0.025	250	250	-4399656.0	-4406840.0	-4410972.0	-4409808.0	-4413012.0	-4408979.0	-4408514.0	-4406686.0	-6.99612355	6	0.0	13-12-23 16:53:37.017848
5.5	0.027	250	250	-4085314.0	-4091872.0	-4095752.0	-4094735.0	-4097746.0	-4093932.0	-4093527.0	-4091782.0	-6.49642757	6	0.0	13-12-23 16:53:44.186440
5.999	0.03	250	250	-3771411.0	-3777335.0	-3780937.0	-3780092.0	-3782911.0	-3779308.0	-3778960.0	-3777290.0	-5.99737053	6	0.0	13-12-23 16:53:51.353558
6.499	0.032	250	250	-3457032.0	-3462347.0	-3465662.0	-3464968.0	-3467625.0	-3464217.0	-3463924.0	-3462374.0	-5.49758229	6	0.0	13-12-23 16:53:58.607624
6.999	0.035	250	250	-3142950.0	-3147628.0	-3150680.0	-3150145.0	-3152630.0	-3149438.0	-3149208.0	-3147755.0	-4.99829293	6	0.0	13-12-23 16:54:05.746596
7.499	0.037	250	250	-2828091.0	-2832143.0	-2834915.0	-2834545.0	-2836862.0	-2833859.0	-2833705.0	-2832337.0	-4.49776413	6	0.0	13-12-23 16:54:12.999106
7.999	0.04	250	250	-2514121.0	-2517548.0	-2520037.0	-2519835.0	-2521975.0	-2519180.0	-2519103.0	-2517825.0	-3.99870535	6	0.0	13-12-23 16:54:20.159704
8.499	0.042	250	250	-2199780.0	-2202596.0	-2204806.0	-2204765.0	-2206716.0	-2204123.0	-2204101.0	-2202912.0	-3.49895967	6	0.0	13-12-23 16:54:27.702616
8.999	0.045	250	250	-1885866.0	-1888050.0	-1889982.0	-1890117.0	-1891888.0	-1889491.0	-1889540.0	-1888457.0	-2.99997787	6	0.0	13-12-23 16:54:34.865321
9.499	0.048	250	250	-1571237.0	-1572794.0	-1574447.0	-1574749.0	-1576336.0	-1574142.0	-1574254.0	-1573257.0	-2.49982564	6	0.0	13-12-23 16:54:42.043939
