# 
Scope_Frequency	base_freq	A2r	f2	scope_rms	scope_dBm	scope_pkpk	scope_thd	Pmax	lin_Pmax	base_P	base_dB	base_V	thd	lin_thd	Delay	a	b	
6000000.0	6000000.0	25500.0	6000000.0	0.0862211694947203	-8.277421857725827	0.24387029452620568	0.0860546953434848	-7.0	0.00019952623149688798	0.00019952623149688798	-7.0	0.09988148764833452	-22.042283187634098	0.07904708161930736	0.5	6000000.0	0	04-06-24 13:15:13.047070
6000000.0	6000000.0	25505.0	6000000.0	0.0850280674368625	-8.398453877104862	0.24049569230317022	0.08994729872768437	-7.0	0.00019952623149688798	0.00019952623149688798	-7.0	0.09988148764833452	-22.072505872404484	0.07877251405759424	0.5	6000000.0	0	04-06-24 13:15:23.783777
6000000.0	6000000.0	25510.0	6000000.0	0.0838017725615169	-8.52463594628113	0.23702720661480545	0.09606800025941149	-7.3999999999999915	0.00018197008586099872	0.00018197008586099872	-7.3999999999999915	0.09538608018495119	-22.093000979991153	0.0785868626164211	0.5	6000000.0	0	04-06-24 13:15:33.394067
6000000.0	6000000.0	25515.0	6000000.0	0.08318821498924749	-8.588463932848349	0.23529180373480515	0.07173611181185822	-7.3999999999999915	0.00018197008586099872	0.00018197008586099872	-7.3999999999999915	0.09538608018495119	-22.054619586250396	0.07893489228937557	0.5	6000000.0	0	04-06-24 13:15:42.935337
6000000.0	6000000.0	25520.0	6000000.0	0.0817753764905018	-8.73724899784572	0.2312956930020672	0.08424025921848702	-7.3999999999999915	0.00018197008586099872	0.00018197008586099872	-7.3999999999999915	0.09538608018495119	-22.022538022683808	0.07922697948978291	0.5	6000000.0	0	04-06-24 13:15:52.476696
6000000.0	6000000.0	25525.0	6000000.0	0.08166751107556056	-8.748713641427553	0.2309906035366254	0.07905554517637785	-7.799999999999997	0.00016595869074375618	0.00016595869074375618	-7.799999999999997	0.09109299938627452	-21.681969876354668	0.08239512295958663	0.5	6000000.0	0	04-06-24 13:16:02.086807
6000000.0	6000000.0	25530.0	6000000.0	0.0798645391460177	-8.942620244739704	0.22589102882595039	0.07578647787395214	-7.799999999999997	0.00016595869074375618	0.00016595869074375618	-7.799999999999997	0.09109299938627452	-21.611031828761817	0.0830708029979441	0.5	6000000.0	0	04-06-24 13:16:11.697246
6000000.0	6000000.0	25535.0	6000000.0	0.0783883839276723	-9.10466582280389	0.22171583136604664	0.07602208501837103	-7.799999999999997	0.00016595869074375618	0.00016595869074375618	-7.799999999999997	0.09109299938627452	-21.93608465562333	0.08001948781109262	0.5	6000000.0	0	04-06-24 13:16:21.238976
6000000.0	6000000.0	25540.0	6000000.0	0.07769613217950992	-9.181712052131052	0.2197578477443912	0.08761634165570083	-8.199999999999989	0.0001513561248436212	0.0001513561248436212	-8.199999999999989	0.08699313905234746	-21.507647568959957	0.08406546538247209	0.5	6000000.0	0	04-06-24 13:16:30.849309
6000000.0	6000000.0	25545.0	6000000.0	0.07711431901857312	-9.246999487955048	0.21811223161846321	0.08198774335812604	-8.199999999999989	0.0001513561248436212	0.0001513561248436212	-8.199999999999989	0.08699313905234746	-21.480599238684896	0.08432765781879394	0.5	6000000.0	0	04-06-24 13:16:40.389889
6000000.0	6000000.0	25550.0	6000000.0	0.07544224303208058	-9.437408197986365	0.21338288654363097	0.07388961633563758	-8.599999999999994	0.00013803842646028865	0.00013803842646028865	-8.599999999999994	0.08307780282972362	-21.242920785062033	0.08666703934001566	0.5	6000000.0	0	04-06-24 13:16:49.930883
6000000.0	6000000.0	25555.0	6000000.0	0.07390677077783049	-9.616015503676886	0.20903991517041484	0.07409375825358631	-8.599999999999994	0.00013803842646028865	0.00013803842646028865	-8.599999999999994	0.08307780282972362	-21.45094069162349	0.08461609236643634	0.5	6000000.0	0	04-06-24 13:16:59.541434
6000000.0	6000000.0	25560.0	6000000.0	0.07320223285418828	-9.699213476437349	0.20704718099677286	0.08110362323388468	-8.599999999999994	0.00013803842646028865	0.00013803842646028865	-8.599999999999994	0.08307780282972362	-21.441058624767344	0.08471241614736243	0.5	6000000.0	0	04-06-24 13:17:09.151621
6000000.0	6000000.0	25565.0	6000000.0	0.07202090071221647	-9.840529073968572	0.20370586912308528	0.0789724836187534	-9.0	0.00012589254117941674	0.00012589254117941674	-9.0	0.07933868576533669	-21.080126643737277	0.08830670248550619	0.5	6000000.0	0	04-06-24 13:17:18.693159
6000000.0	6000000.0	25570.0	6000000.0	0.07078308055837232	-9.991110849528889	0.20020478502439498	0.07848456736540045	-9.0	0.00012589254117941674	0.00012589254117941674	-9.0	0.07933868576533669	-21.077973825046055	0.0883285922272532	0.5	6000000.0	0	04-06-24 13:17:28.235375
6000000.0	6000000.0	25575.0	6000000.0	0.06909762248402616	-10.200437955451259	0.1954375896892918	0.09674080672503696	-9.0	0.00012589254117941674	0.00012589254117941674	-9.0	0.07933868576533669	-21.123887209574114	0.08786292145435644	0.5	6000000.0	0	04-06-24 13:17:37.775024
6000000.0	6000000.0	25580.0	6000000.0	0.06905349825910305	-10.205986345634674	0.1953127875346609	0.08489948077662812	-9.799999999999997	0.00010471285480509002	0.00010471285480509002	-9.799999999999997	0.07235774139823949	-20.57294955457187	0.09361652628933119	0.5	6000000.0	0	04-06-24 13:17:48.628104
6000000.0	6000000.0	25585.0	6000000.0	0.06814479267070228	-10.32104655257578	0.19274258000001973	0.07980722079627772	-9.799999999999997	0.00010471285480509002	0.00010471285480509002	-9.799999999999997	0.07235774139823949	-20.588994961313247	0.09344374851607272	0.5	6000000.0	0	04-06-24 13:17:58.143864
