# 
Voltage 1	Current 1	ch1a avglen	ch1b avglen	hvpsu1	hvpsu2	hvpsu3	hvpsu4	VDChvpsu1	VDChvpsu2	VDChvpsu3	VDChvpsu4	temp_pt100	time	VDC10	ch1a	ch2a	ch3a	ch4a	VDC1	ch1b	ch2b	ch3b	ch4b	Delay	a	b	
0.023	0.0	250	250	0	0	0	0	215.416291	220.27732	215.293958	215.373615	19.8574127	1714536266.9979985	-11.960814	-7454065.0	-7467016.0	-7473496.0	-7471125.0	9.9e+37	-8388608.0	-8388608.0	-8388608.0	-8388608.0	20	2601.0257402574025	0.0	01-05-24 06:04:33.434579
0.6	0.002	250	250	1638	1638	1638	1638	215.338535	220.235554	215.221477	215.324008	19.473765	1714536306.2809145	-11.3808622	-7156517.0	-7169046.0	-7175369.0	-7172967.0	9.9e+37	-8388608.0	-8388608.0	-8388608.0	-8388608.0	20	2601.0257402574025	0.025	01-05-24 06:05:12.716374
1.2	0.006	250	250	3276	3276	3276	3276	215.098527	220.030673	215.028182	215.140227	19.4516021	1714536345.5137124	-10.7817557	-6779716.0	-6791513.0	-6797517.0	-6795320.0	-1.16106746	-8125814.0	-8116993.0	-8115931.0	-8111796.0	20	2601.0257402574025	0.05	01-05-24 06:05:51.961350
1.799	0.009	250	250	4915	4915	4915	4915	212.608148	212.43909	212.42989	212.424926	19.8981084	1714536384.7684386	-10.1831527	-6403218.0	-6414315.0	-6419946.0	-6417976.0	-1.09669283	-7675182.0	-7666814.0	-7665873.0	-7661905.0	20	2601.0257402574025	0.075	01-05-24 06:06:31.216959
2.4	0.012	250	250	6553	6553	6553	6553	200.104885	199.943785	199.93687	199.931991	20.4198496	1714536424.0533755	-9.58298726	-6025761.0	-6036120.0	-6041473.0	-6039637.0	-1.03222353	-7223852.0	-7215931.0	-7215072.0	-7211281.0	20	2601.0257402574025	0.1	01-05-24 06:07:10.500556
3.0	0.015	250	250	8191	8191	8191	8191	187.599386	187.447349	187.442472	187.438085	20.857388	1714536463.3488557	-8.98393872	-5649032.0	-5658636.0	-5663655.0	-5662061.0	-0.967831656	-6773110.0	-6765613.0	-6764838.0	-6761307.0	20	2601.0257402574025	0.125	01-05-24 06:07:49.798848
3.6	0.018	250	250	9830	9830	9830	9830	175.090189	174.947526	174.945683	174.9413	21.2337899	1714536502.6064954	-8.38517507	-5272422.0	-5281316.0	-5286018.0	-5284578.0	-0.90339923	-6322215.0	-6315095.0	-6314378.0	-6311008.0	20	2601.0257402574025	0.15	01-05-24 06:08:29.056035
4.2	0.021	250	250	11468	11468	11468	11468	162.58791	162.453028	162.454028	162.449976	21.5412934	1714536541.8569968	-7.78575302	-4895464.0	-4903567.0	-4907958.0	-4906689.0	-0.838886665	-5870633.0	-5863937.0	-5863338.0	-5860199.0	20	2601.0257402574025	0.175	01-05-24 06:09:08.294527
4.799	0.024	250	250	13107	13107	13107	13107	150.076624	149.949902	149.952856	149.948428	21.4290819	1714536581.1189513	-7.18702574	-4518901.0	-4526280.0	-4530351.0	-4529256.0	-0.774420002	-5419471.0	-5413136.0	-5412592.0	-5409693.0	20	2601.0257402574025	0.2	01-05-24 06:09:47.573570
5.399	0.027	250	250	14745	14745	14745	14745	137.573585	137.456248	137.459262	137.455523	20.9289696	1714536620.378134	-6.58733306	-4141732.0	-4148359.0	-4152117.0	-4151219.0	-0.709816413	-4967249.0	-4961350.0	-4960891.0	-4958142.0	20	2601.0257402574025	0.225	01-05-24 06:10:26.826107
5.999	0.03	250	250	16383	16383	16383	16383	125.068169	124.959386	124.963558	124.960123	20.433361	1714536659.6283333	-5.98848359	-3765117.0	-3771002.0	-3774421.0	-3773691.0	-0.645314253	-4515777.0	-4510306.0	-4509920.0	-4507346.0	20	2601.0257402574025	0.25	01-05-24 06:11:06.076556
6.599	0.033	250	250	18022	18022	18022	18022	112.559106	112.460051	112.466209	112.462812	19.9862824	1714536698.898135	-5.3888547	-3388009.0	-3393146.0	-3396245.0	-3395706.0	-0.580683857	-4063373.0	-4058316.0	-4058040.0	-4055656.0	20	2601.0257402574025	0.275	01-05-24 06:11:45.346994
7.199	0.036	250	250	19660	19660	19660	19660	100.055522	99.9661135	99.9743982	99.9703312	19.6418975	1714536738.1557777	-4.79012228	-3011431.0	-3015833.0	-3018621.0	-3018266.0	-0.516162816	-3611779.0	-3607142.0	-3606927.0	-3604768.0	20	2601.0257402574025	0.3	01-05-24 06:12:24.610552
7.8	0.039	250	250	21298	21298	21298	21298	87.5523567	87.4716685	87.4830862	87.4794717	19.6880384	1714536777.4221153	-4.1900564	-2634009.0	-2637677.0	-2640133.0	-2639971.0	-0.45151457	-3159230.0	-3155092.0	-3154923.0	-3152959.0	20	2601.0257402574025	0.325	01-05-24 06:13:03.868353
8.399	0.042	250	250	22937	22937	22937	22937	75.0415582	74.9706179	74.9849839	74.9803733	20.04546	1714536816.6761785	-3.59136762	-2257478.0	-2260376.0	-2262539.0	-2262556.0	-0.387008351	-2707701.0	-2704014.0	-2703891.0	-2702131.0	20	2601.0257402574025	0.35	01-05-24 06:13:43.114462
8.998	0.045	250	250	24575	24575	24575	24575	62.5352752	62.4739813	62.4914391	62.4874405	20.542506	1714536855.9336922	-2.99283408	-1881038.0	-1883210.0	-1885050.0	-1885242.0	-0.322497934	-2256072.0	-2252809.0	-2252814.0	-2251266.0	20	2601.0257402574025	0.375	01-05-24 06:14:22.379311
9.598	0.048	250	250	26214	26214	26214	26214	50.0271567	49.9743058	49.9948277	49.9918055	20.9878063	1714536895.1813097	-2.39359428	-1504135.0	-1505571.0	-1507093.0	-1507473.0	-0.257916316	-1804009.0	-1801167.0	-1801264.0	-1799900.0	20	2601.0257402574025	0.4	01-05-24 06:15:01.629023
10.199	0.051	250	250	27852	27852	27852	27852	37.5250227	37.4808357	37.5040327	37.5003963	21.3311485	1714536934.4320564	-1.79396609	-1126997.0	-1127684.0	-1128887.0	-1129449.0	-0.193307577	-1351743.0	-1349325.0	-1349508.0	-1348341.0	20	2601.0257402574025	0.425	01-05-24 06:15:40.880563
10.799	0.055	250	250	29490	29490	29490	29490	25.0230243	24.987197	25.0144885	25.0113653	21.4571588	1714536973.6828542	-1.19419777	-749789.3	-749724.3	-750607.7	-751363.8	-0.12865819	-899262.5	-897246.5	-897502.2	-896524.4	20	2601.0257402574025	0.45	01-05-24 06:16:20.130859
11.399	0.058	250	250	31129	31129	31129	31129	12.5136309	12.48724	12.5155968	12.513544	21.1310652	1714537012.9296947	-0.595195147	-373075.3	-372265.5	-372837.0	-373769.4	-0.0641217703	-447570.8	-445980.8	-446299.0	-445494.1	20	2601.0257402574025	0.475	01-05-24 06:16:59.378393
11.999	0.061	250	250	32767	32767	32767	32767	0.00908993569	-0.00732079297	0.0236038885	0.0207966087	20.8063131	1714537052.17676	0.00406066983	3801.136	5352.944	5100.976	3989.692	0.000452909966	4397.284	5581.3	5170.076	5781.276	20	2601.0257402574025	0.5	01-05-24 06:17:38.624631
12.599	0.064	250	250	34405	34405	34405	34405	-12.4915683	-12.498237	-12.4651645	-12.4677517	20.5782489	1714537091.4324954	0.603058326	380516.7	382804.7	382866.0	381585.7	0.0649861249	456040.4	456809.7	456328.8	456738.4	20	2601.0257402574025	0.525	01-05-24 06:18:17.881549
13.199	0.067	250	250	36044	36044	36044	36044	-25.0017548	-24.9991128	-24.9633565	-24.96599	20.0713329	1714537130.6847281	1.20258331	757565.2	760591.5	760977.0	759514.2	0.129568431	908147.4	908460.2	907894.8	908106.1	20	2601.0257402574025	0.55	01-05-24 06:18:57.133675
