# 
Voltage 1	Current 1	ch1a avglen	ch1b avglen	ch1a	ch2a	ch3a	ch4a	ch1b	ch2b	ch3b	ch4b	VDC10	VDC1	temp_pt100	time	Delay	a	
0.092	0.0	250	250	-7443569.0	-7457041.0	-7463934.0	-7462059.0	-8388608.0	-8388608.0	-8388608.0	-8388608.0	-11.8816955	9.9e+37	20.7811111	1712675116.693407	6	8.0	09-04-24 17:05:16.693473
0.6	0.002	250	250	-7153245.0	-7165726.0	-7172028.0	-7169882.0	-8388608.0	-8388608.0	-8388608.0	-8388608.0	-11.3766337	9.9e+37	20.7692287	1712675124.4966197	6	8.0	09-04-24 17:05:24.496682
1.201	0.005	250	250	-6778311.0	-6790075.0	-6796037.0	-6794059.0	-8127297.0	-8118398.0	-8117345.0	-8113501.0	-10.7801394	-1.16125935	20.7633834	1712675132.2978566	6	8.0	09-04-24 17:05:32.297912
1.8	0.008	250	250	-6402385.0	-6413396.0	-6419086.0	-6417228.0	-7676240.0	-7667747.0	-7666789.0	-7663129.0	-10.1822928	-1.09680098	20.7698995	1712675140.1450784	6	8.0	09-04-24 17:05:40.145135
2.401	0.012	250	250	-6025190.0	-6035465.0	-6040803.0	-6039180.0	-7223416.0	-7215389.0	-7214501.0	-7211052.0	-9.58255294	-1.03209439	20.7600295	1712675148.1767132	6	8.0	09-04-24 17:05:48.176768
3.001	0.015	250	250	-5648576.0	-5658127.0	-5663175.0	-5661676.0	-6771742.0	-6764121.0	-6763316.0	-6760018.0	-8.98366526	-0.96757718	20.7187288	1712675156.0110674	6	8.0	09-04-24 17:05:56.011125
3.6	0.018	250	250	-5272121.0	-5280931.0	-5285643.0	-5284324.0	-6320519.0	-6313337.0	-6312594.0	-6309515.0	-8.38509277	-0.903107007	20.7523635	1712675163.8140948	6	8.0	09-04-24 17:06:03.814151
4.2	0.021	250	250	-4895309.0	-4903377.0	-4907785.0	-4906611.0	-5868580.0	-5861818.0	-5861166.0	-5858241.0	-7.78584202	-0.838546014	20.7796737	1712675171.825861	6	8.0	09-04-24 17:06:11.825917
4.8	0.024	250	250	-4518834.0	-4526154.0	-4530221.0	-4529250.0	-5417651.0	-5411298.0	-5410741.0	-5407988.0	-7.18721745	-0.774104932	20.7852316	1712675179.8636434	6	8.0	09-04-24 17:06:19.863698
5.4	0.027	250	250	-4141705.0	-4148272.0	-4152044.0	-4151233.0	-4965712.0	-4959780.0	-4959299.0	-4956738.0	-6.58762304	-0.709540644	20.841481	1712675187.878345	6	8.0	09-04-24 17:06:27.878400
6.0	0.03	250	250	-3765125.0	-3770972.0	-3774396.0	-3773782.0	-4514335.0	-4508895.0	-4508470.0	-4506097.0	-5.98880572	-0.645060222	20.8219327	1712675195.7119129	6	8.0	09-04-24 17:06:35.711970
6.6	0.033	250	250	-3388113.0	-3393221.0	-3396344.0	-3395887.0	-4062441.0	-4057381.0	-4057054.0	-4054875.0	-5.38933458	-0.580483692	20.8061215	1712675203.5804036	6	8.0	09-04-24 17:06:43.580458
7.2	0.036	250	250	-3011559.0	-3015918.0	-3018729.0	-3018448.0	-3611080.0	-3606477.0	-3606213.0	-3604198.0	-4.79061341	-0.516010264	20.8279697	1712675211.4107316	6	8.0	09-04-24 17:06:51.410791
7.8	0.039	250	250	-2634203.0	-2637815.0	-2640293.0	-2640211.0	-3158821.0	-3154641.0	-3154467.0	-3152633.0	-4.19055601	-0.451390587	20.7712411	1712675219.479786	6	8.0	09-04-24 17:06:59.479838
8.4	0.042	250	250	-2257789.0	-2260652.0	-2262815.0	-2262904.0	-2707628.0	-2703869.0	-2703777.0	-2702117.0	-3.59196281	-0.386913206	20.7634792	1712675227.3142543	6	8.0	09-04-24 17:07:07.314311
8.999	0.045	250	250	-1881358.0	-1883500.0	-1885354.0	-1885603.0	-2256268.0	-2252946.0	-2252929.0	-2251453.0	-2.99346559	-0.322441082	20.7567714	1712675235.1185122	6	8.0	09-04-24 17:07:15.118571
9.599	0.048	250	250	-1504426.0	-1505820.0	-1507344.0	-1507784.0	-1804478.0	-1801588.0	-1801648.0	-1800371.0	-2.3941377	-0.257886548	20.7848483	1712675242.9219904	6	8.0	09-04-24 17:07:22.922048
10.2	0.051	250	250	-1127395.0	-1128054.0	-1129263.0	-1129875.0	-1352495.0	-1350028.0	-1350187.0	-1349064.0	-1.7946994	-0.193325339	20.8152249	1712675250.7262332	6	8.0	09-04-24 17:07:30.726291
10.8	0.055	250	250	-750229.1	-750141.1	-751026.3	-751823.7	-900333.4	-898293.8	-898516.3	-897584.2	-1.19496542	-0.128719842	20.8272031	1712675258.570024	6	8.0	09-04-24 17:07:38.570085
11.4	0.058	250	250	-373521.0	-372699.2	-373264.8	-374243.1	-448712.3	-447112.4	-447432.4	-446640.5	-0.595924001	-0.064195373	20.8626584	1712675266.372621	6	8.0	09-04-24 17:07:46.372682
12.0	0.061	250	250	3344.776	4906.884	4659.856	3516.624	3070.06	4242.888	3847.916	4443.632	0.00335690989	0.000353102153	20.8581546	1712675274.4035087	6	8.0	09-04-24 17:07:54.403571
12.599	0.064	250	250	380003.2	382308.1	382373.3	381065.0	454642.8	455378.5	454909.8	455318.0	0.602280221	0.0648692709	20.9065464	1712675282.2214074	6	8.0	09-04-24 17:08:02.221468
13.2	0.067	250	250	756923.8	759961.8	760346.1	758870.3	906528.6	906824.8	906280.2	906491.8	1.20164976	0.129428814	20.9304069	1712675290.0228047	6	8.0	09-04-24 17:08:10.022867
13.799	0.07	250	250	1133373.0	1137157.0	1137854.0	1136206.0	1357761.0	1357634.0	1357014.0	1357059.0	1.8001923	0.193897301	20.9365398	1712675297.8231661	6	8.0	09-04-24 17:08:17.823221
14.399	0.073	250	250	1510296.0	1514805.0	1515834.0	1513995.0	1809659.0	1809102.0	1808386.0	1808256.0	2.39949419	0.258454825	20.9184288	1712675305.6651282	6	8.0	09-04-24 17:08:25.665180
14.999	0.076	250	250	1886805.0	1892054.0	1893397.0	1891391.0	2261081.0	2260092.0	2259287.0	2258995.0	2.99814009	0.322949615	20.9443016	1712675313.4645839	6	8.0	09-04-24 17:08:33.464641
15.599	0.079	250	250	2264102.0	2270090.0	2271764.0	2269571.0	2713440.0	2712016.0	2711133.0	2710646.0	3.59808254	0.387583029	20.8725284	1712675321.2644339	6	8.0	09-04-24 17:08:41.264492
16.2	0.082	250	250	2641029.0	2647760.0	2649741.0	2647381.0	3165399.0	3163552.0	3162610.0	3161924.0	4.19739329	0.452146869	20.8733909	1712675329.3291287	6	8.0	09-04-24 17:08:49.329185
16.8	0.085	250	250	3017436.0	3024905.0	3027221.0	3024677.0	3616645.0	3614357.0	3613350.0	3612474.0	4.7958647	0.516622392	20.8315152	1712675337.1749833	6	8.0	09-04-24 17:08:57.175040
17.4	0.089	250	250	3394201.0	3402402.0	3405048.0	3402324.0	4068461.0	4065747.0	4064669.0	4063630.0	5.39494326	0.581171784	20.8285446	1712675344.979784	6	8.0	09-04-24 17:09:04.979840
18.0	0.092	250	250	3771023.0	3779973.0	3782925.0	3780035.0	4520323.0	4517199.0	4516019.0	4514813.0	5.99411617	0.645726522	20.7719118	1712675352.7803054	6	8.0	09-04-24 17:09:12.780358
18.6	0.095	250	250	4147799.0	4157508.0	4160778.0	4157694.0	4972045.0	4968491.0	4967237.0	4965834.0	6.59312935	0.710250411	20.7670248	1712675360.8476772	6	8.0	09-04-24 17:09:20.847735
19.199	0.098	250	250	4524144.0	4534591.0	4538196.0	4534918.0	5423238.0	5419262.0	5417913.0	5416302.0	7.19159453	0.774710446	20.7393312	1712675368.6471748	6	8.0	09-04-24 17:09:28.647226
19.8	0.101	250	250	4901184.0	4912376.0	4916294.0	4912849.0	5875154.0	5870760.0	5869315.0	5867560.0	7.79103017	0.839289273	20.7265865	1712675376.6772156	6	8.0	09-04-24 17:09:36.677270
20.4	0.104	250	250	5277916.0	5289835.0	5294080.0	5290466.0	6326939.0	6322078.0	6320588.0	6318666.0	8.39000834	0.903804722	20.7569631	1712675384.4949157	6	8.0	09-04-24 17:09:44.494971
20.999	0.107	250	250	5654249.0	5666922.0	5671494.0	5667695.0	6778150.0	6772853.0	6771257.0	6769142.0	8.98840624	0.968277883	20.7840817	1712675392.5290132	6	8.0	09-04-24 17:09:52.529101
21.599	0.11	250	250	6030691.0	6044083.0	6048999.0	6045004.0	7229518.0	7223801.0	7222160.0	7219860.0	9.58684853	1.03275181	20.7823568	1712675400.361154	6	8.0	09-04-24 17:10:00.361208
22.199	0.113	250	250	6406513.0	6420647.0	6425876.0	6421698.0	7680176.0	7674029.0	7672299.0	7669841.0	10.1845063	1.09712692	20.7642458	1712675408.161598	6	8.0	09-04-24 17:10:08.161654
22.799	0.117	250	250	6782640.0	6797566.0	6803071.0	6798731.0	8131101.0	8124515.0	8122716.0	8120042.0	10.7824723	1.16154339	20.6968806	1712675415.9626524	6	8.0	09-04-24 17:10:15.962703
23.399	0.12	250	250	6855555.0	7487156.0	6876808.0	7488847.0	8388607.0	8388607.0	8388607.0	8388607.0	11.3791984	9.9e+37	20.737798	1712675424.0085492	6	8.0	09-04-24 17:10:24.008613
