# 
VDC	Amplitude	Frequency	Offset	ch1a	ch2a	ch3a	ch4a	ch1b	ch2b	ch3b	ch4b	Delay	
5.02521464	0.0	1000000.0	5.0	5.022347	3170890.0	3173191.0	3170133.0	5.033477	3169412.0	3168300.0	3167830.0	0.1	08-12-23 17:24:24.243039
5.0230171	0.0	1000000.0	5.0	5.012829	3167662.0	3169926.0	3166928.0	5.02525	3165506.0	3164320.0	3163720.0	0.1	08-12-23 17:24:24.551292
5.02024403	0.0	1000000.0	5.0	5.01792	3170124.0	3172590.0	3169934.0	5.033425	3169492.0	3168257.0	3167876.0	0.1	08-12-23 17:24:24.858086
5.01898829	0.0	1000000.0	5.0	5.025414	3171325.0	3173855.0	3170785.0	5.029595	3169462.0	3167988.0	3167477.0	0.1	08-12-23 17:24:25.162703
5.02131663	0.0	1000000.0	5.0	5.016108	3170959.0	3173156.0	3170194.0	5.029923	3168288.0	3167150.0	3166900.0	0.1	08-12-23 17:24:25.371667
5.02319276	0.0	1000000.0	5.0	5.022506	3171470.0	3174024.0	3171448.0	5.037934	3171072.0	3169981.0	3169743.0	0.1	08-12-23 17:24:25.676642
5.02498666	0.0	1000000.0	5.0	5.026965	3173468.0	3175790.0	3172577.0	5.034759	3171535.0	3170588.0	3169740.0	0.1	08-12-23 17:24:25.983120
5.02482222	0.0	1000000.0	5.0	5.024835	3169266.0	3171930.0	3169212.0	5.027146	3168455.0	3167426.0	3166829.0	0.1	08-12-23 17:24:26.291096
5.0225163	0.0	1000000.0	5.0	5.018847	3170324.0	3172686.0	3169597.0	5.026736	3167982.0	3167017.0	3166966.0	0.1	08-12-23 17:24:26.598048
5.02038604	0.0	1000000.0	5.0	5.020536	3169508.0	3172209.0	3169718.0	5.030279	3168886.0	3168138.0	3167776.0	0.1	08-12-23 17:24:28.448488
5.02176511	0.0	1000000.0	5.0	5.024608	3172529.0	3175987.0	3173307.0	5.033068	3171668.0	3170235.0	3169334.0	0.1	08-12-23 17:24:31.643255
5.02319649	0.0	1000000.0	5.0	5.01837	3170286.0	3172957.0	3170089.0	5.036215	3169602.0	3168024.0	3167426.0	0.1	08-12-23 17:24:32.124779
