# 
Voltage 1	Current 1	ch1a avglen	ch1b avglen	ch1a	ch2a	ch3a	ch4a	ch1b	ch2b	ch3b	ch4b	VDC10	VDC1	temp_pt100	time	Delay	a	
0.022	0.0	250	250	-7453954.0	-7466955.0	-7473536.0	-7471115.0	-8388608.0	-8388608.0	-8388608.0	-8388608.0	9.9e+37	9.9e+37	21.4624292	1714431778.6661725	20.0	4101.0405904059035	30-04-24 01:02:58.666241
0.6	0.003	250	250	-7156306.0	-7168860.0	-7175249.0	-7172781.0	-8388608.0	-8388608.0	-8388608.0	-8388608.0	9.9e+37	9.9e+37	21.6308901	1714431805.1216567	20.0	4101.0405904059035	30-04-24 01:03:25.121724
1.2	0.006	250	250	-6779763.0	-6791673.0	-6797731.0	-6795391.0	-8124519.0	-8115628.0	-8114637.0	-8110576.0	9.9e+37	9.9e+37	21.7924516	1714431831.6160023	20.0	4101.0405904059035	30-04-24 01:03:51.616069
1.799	0.009	250	250	-6403332.0	-6414442.0	-6420240.0	-6418085.0	-7673912.0	-7665441.0	-7664528.0	-7660719.0	9.9e+37	9.9e+37	21.9816108	1714431858.0698278	20.0	4101.0405904059035	30-04-24 01:04:18.069896
2.4	0.012	250	250	-6025896.0	-6036259.0	-6041709.0	-6039788.0	-7222413.0	-7214419.0	-7213550.0	-7209953.0	9.9e+37	9.9e+37	22.1970261	1714431884.5275853	20.0	4101.0405904059035	30-04-24 01:04:44.527654
3.0	0.015	250	250	-5649116.0	-5658782.0	-5663859.0	-5662113.0	-6771431.0	-6763860.0	-6763066.0	-6759678.0	9.9e+37	9.9e+37	22.3088543	1714431910.9818215	20.0	4101.0405904059035	30-04-24 01:05:10.981890
3.6	0.018	250	250	-5272606.0	-5281485.0	-5286264.0	-5284715.0	-6320826.0	-6313625.0	-6312999.0	-6309755.0	9.9e+37	9.9e+37	22.5159328	1714431937.4384322	20.0	4101.0405904059035	30-04-24 01:05:37.438754
4.2	0.021	250	250	-4895655.0	-4903758.0	-4908258.0	-4906908.0	-5869253.0	-5862555.0	-5861889.0	-5858911.0	9.9e+37	9.9e+37	22.5844479	1714431963.8952858	20.0	4101.0405904059035	30-04-24 01:06:03.895354
4.799	0.024	250	250	-4519080.0	-4526447.0	-4530590.0	-4529432.0	-5418046.0	-5411711.0	-5411204.0	-5408312.0	9.9e+37	9.9e+37	22.6511424	1714431990.3507197	20.0	4101.0405904059035	30-04-24 01:06:30.350791
5.4	0.027	250	250	-4141947.0	-4148580.0	-4152396.0	-4151427.0	-4966403.0	-4960417.0	-4959981.0	-4957371.0	9.9e+37	9.9e+37	22.5359603	1714432016.8060293	20.0	4101.0405904059035	30-04-24 01:06:56.806097
