# 
Voltage 1	Current 1	ch1a avglen	ch1b avglen	ch1a	ch2a	ch3a	ch4a	ch1b	ch2b	ch3b	ch4b	VDC1	temp_pt100	time	Delay	a	
0.082	0.0	250	250	-7448759.0	-7462055.0	-7468832.0	-7466689.0	-8388608.0	-8388608.0	-8388608.0	-8388608.0	9.9e+37	21.2047549	1713962812.7037983	6	54.0	24-04-24 14:46:52.703867
0.6	0.002	250	250	-7153897.0	-7166430.0	-7172791.0	-7170353.0	-8388608.0	-8388608.0	-8388608.0	-8388608.0	9.9e+37	21.1835775	1713962819.5022016	6	54.0	24-04-24 14:46:59.502257
1.2	0.005	250	250	-6778896.0	-6790694.0	-6796752.0	-6794504.0	-8125536.0	-8116867.0	-8115903.0	-8111832.0	-1.16101978	21.108642	1713962826.2838182	6	54.0	24-04-24 14:47:06.283874
1.8	0.008	250	250	-6402956.0	-6414032.0	-6419761.0	-6417709.0	-7674852.0	-7666551.0	-7665653.0	-7661786.0	-1.09661705	21.1375813	1713962833.066953	6	54.0	24-04-24 14:47:13.067005
2.401	0.012	250	250	-6025793.0	-6036113.0	-6041480.0	-6039649.0	-7222621.0	-7214772.0	-7213941.0	-7210283.0	-1.03200552	21.1456306	1713962839.8489652	6	54.0	24-04-24 14:47:19.849021
3.0	0.015	250	250	-5649297.0	-5658866.0	-5663947.0	-5662269.0	-6771354.0	-6763906.0	-6763137.0	-6759639.0	-0.967525111	21.0784571	1713962846.6326814	6	54.0	24-04-24 14:47:26.632732
3.6	0.018	250	250	-5272803.0	-5281641.0	-5286415.0	-5284889.0	-6320271.0	-6313224.0	-6312533.0	-6309228.0	-0.903077039	21.0566089	1713962853.413993	6	54.0	24-04-24 14:47:33.414045
4.2	0.021	250	250	-4895917.0	-4904015.0	-4908464.0	-4907143.0	-5868640.0	-5861970.0	-5861359.0	-5858258.0	-0.838546323	21.013775	1713962860.1941671	6	54.0	24-04-24 14:47:40.194222
4.8	0.024	250	250	-4519387.0	-4526744.0	-4530859.0	-4529739.0	-5417274.0	-5411086.0	-5410570.0	-5407658.0	-0.774068889	21.0092712	1713962866.9749272	6	54.0	24-04-24 14:47:46.974984
5.4	0.027	250	250	-4142363.0	-4148956.0	-4152779.0	-4151811.0	-4965603.0	-4959775.0	-4959311.0	-4956587.0	-0.709527519	20.8926518	1713962873.7581613	6	54.0	24-04-24 14:47:53.758220
6.0	0.03	250	250	-3765761.0	-3771622.0	-3775096.0	-3774335.0	-4514169.0	-4508783.0	-4508386.0	-4505863.0	-0.645031743	20.9272447	1713962880.581425	6	54.0	24-04-24 14:48:00.581476
