# 
hvpsu1	hvpsu2	hvpsu3	hvpsu4	VDC	IDC	Delay	a	b	
-100.0	-102.7	-100.0	-102.7	-100.04398	0.0004909219914025792	2.0	-100.0	-2.700000000000001	18-06-24 15:41:54.389459
-100.0	-102.4	-100.0	-102.4	-100.043969	0.00043674354493651905	2.0	-100.0	-2.4000000000000004	18-06-24 15:41:58.778445
-100.0	-102.1	-100.0	-102.1	-100.043933	0.00038253808257522745	2.0	-100.0	-2.0999999999999996	18-06-24 15:42:02.978707
-100.0	-101.8	-100.0	-101.8	-100.044081	0.00032700289713086077	2.0	-100.0	-1.8000000000000007	18-06-24 15:42:07.313185
-100.0	-101.5	-100.0	-101.5	-100.043761	0.0002733294131760472	2.0	-100.0	-1.5	18-06-24 15:42:11.514189
-100.0	-101.2	-100.0	-101.2	-100.044195	0.0002191185724282715	2.0	-100.0	-1.1999999999999993	18-06-24 15:42:15.783064
-100.0	-100.9	-100.0	-100.9	-100.044026	0.00016358114825552333	2.0	-100.0	-0.9000000000000004	18-06-24 15:42:20.275900
-100.0	-100.6	-100.0	-100.6	-100.044147	0.00010940765530340898	2.0	-100.0	-0.6000000000000014	18-06-24 15:42:24.660064
-100.0	-100.3	-100.0	-100.3	-100.044001	5.523864400679796e-05	2.0	-100.0	-0.3000000000000007	18-06-24 15:42:29.697571
-100.0	-100.0	-100.0	-100.0	-100.044009	-2.9280530040987706e-07	2.0	-100.0	0.0	18-06-24 15:42:33.899748
-100.0	-99.7	-100.0	-99.7	-100.043855	-5.4464356293112065e-05	2.0	-100.0	0.3000000000000007	18-06-24 15:42:38.118370
-100.0	-99.4	-100.0	-99.4	-100.044095	-0.0001095828911326602	2.0	-100.0	0.6000000000000014	18-06-24 15:42:44.439499
-100.0	-99.1	-100.0	-99.1	-100.044121	-0.0001637587743676897	2.0	-100.0	0.9000000000000004	18-06-24 15:42:48.652716
-100.0	-98.8	-100.0	-98.8	-100.043996	-0.0002178881975407378	2.0	-100.0	1.2000000000000028	18-06-24 15:42:53.057204
-100.0	-98.5	-100.0	-98.5	-100.043936	-0.00027343428771368585	2.0	-100.0	1.5	18-06-24 15:42:57.263450
-100.0	-98.2	-100.0	-98.2	-100.04382	-0.0003275759592122363	2.0	-100.0	1.8000000000000007	18-06-24 15:43:01.451477
-100.0	-97.9	-100.0	-97.9	-100.043613	-0.0003817346636009197	2.0	-100.0	2.099999999999998	18-06-24 15:43:05.846894
-100.0	-97.6	-100.0	-97.6	-100.043591	-0.00043683691492552235	2.0	-100.0	2.3999999999999986	18-06-24 15:43:10.081634
