# 
Kithley V	Keysight V	hvpsu1	hvpsu2	hvpsu3	hvpsu4	Delay	a	
30.018218	29.9798793	30.0	30.0	30.0	30.0	4.0	30.0	18-12-23 15:21:02.323938
35.0283787	34.9858339	35.0	35.0	35.0	35.0	4.0	35.0	18-12-23 15:21:07.546409
40.034331	39.9878675	40.0	40.0	40.0	40.0	4.0	40.0	18-12-23 15:21:12.769088
45.0320212	44.982294	45.0	45.0	45.0	45.0	4.0	45.0	18-12-23 15:21:17.991620
50.0403338	49.9860618	50.0	50.0	50.0	50.0	4.0	50.0	18-12-23 15:21:23.214221
55.0456645	54.9876382	55.0	55.0	55.0	55.0	4.0	55.0	18-12-23 15:21:28.436911
60.0463407	59.9844705	60.0	60.0	60.0	60.0	4.0	60.0	18-12-23 15:21:33.659349
65.054978	64.988751	65.0	65.0	65.0	65.0	4.0	65.0	18-12-23 15:21:38.882225
70.0630978	69.9931076	70.0	70.0	70.0	70.0	4.0	70.0	18-12-23 15:21:44.104836
75.0625848	74.988136	75.0	75.0	75.0	75.0	4.0	75.0	18-12-23 15:21:49.327419
80.0705297	79.9925899	80.0	80.0	80.0	80.0	4.0	80.0	18-12-23 15:21:54.730585
85.0765017	84.9938238	85.0	85.0	85.0	85.0	4.0	85.0	18-12-23 15:21:59.852469
90.0757476	89.9887133	90.0	90.0	90.0	90.0	4.0	90.0	18-12-23 15:22:05.097384
95.0850296	94.9941481	95.0	95.0	95.0	95.0	4.0	95.0	18-12-23 15:22:10.245851
100.091711	99.9966286	100.0	100.0	100.0	100.0	4.0	100.0	18-12-23 15:22:15.355914
105.091565	104.992664	105.0	105.0	105.0	105.0	4.0	105.0	18-12-23 15:22:20.665855
110.098426	109.994772	110.0	110.0	110.0	110.0	4.0	110.0	18-12-23 15:22:25.889095
115.10642	114.99876	115.0	115.0	115.0	115.0	4.0	115.0	18-12-23 15:22:31.112224
120.105093	119.993127	120.0	120.0	120.0	120.0	4.0	120.0	18-12-23 15:22:36.274734
125.111327	124.995353	125.0	125.0	125.0	125.0	4.0	125.0	18-12-23 15:22:41.553449
130.121894	130.00155	130.0	130.0	130.0	130.0	4.0	130.0	18-12-23 15:22:46.775907
135.120678	134.9968	135.0	135.0	135.0	135.0	4.0	135.0	18-12-23 15:22:51.998310
140.128146	140.000677	140.0	140.0	140.0	140.0	4.0	140.0	18-12-23 15:22:57.190528
145.134861	145.002898	145.0	145.0	145.0	145.0	4.0	145.0	18-12-23 15:23:02.443696
150.134834	149.999011	150.0	150.0	150.0	150.0	4.0	150.0	18-12-23 15:23:07.871180
155.141194	155.001904	155.0	155.0	155.0	155.0	4.0	155.0	18-12-23 15:23:13.093787
160.151588	160.008549	160.0	160.0	160.0	160.0	4.0	160.0	18-12-23 15:23:18.316457
165.151634	165.003702	165.0	165.0	165.0	165.0	4.0	165.0	18-12-23 15:23:23.538824
170.157118	170.005832	170.0	170.0	170.0	170.0	4.0	170.0	18-12-23 15:23:28.654022
175.165	175.010392	175.0	175.0	175.0	175.0	4.0	175.0	18-12-23 15:23:33.881673
180.163614	180.004741	180.0	180.0	180.0	180.0	4.0	180.0	18-12-23 15:23:39.104202
185.171258	185.00862	185.0	185.0	185.0	185.0	4.0	185.0	18-12-23 15:23:44.326634
190.1809	190.013424	190.0	190.0	190.0	190.0	4.0	190.0	18-12-23 15:23:49.445901
195.180612	195.009499	195.0	195.0	195.0	195.0	4.0	195.0	18-12-23 15:23:54.669528
200.187809	200.012066	200.0	200.0	200.0	200.0	4.0	200.0	18-12-23 15:23:59.891976
205.194911	205.015833	205.0	205.0	205.0	205.0	4.0	205.0	18-12-23 15:24:05.115049
210.194924	210.011818	210.0	210.0	210.0	210.0	4.0	210.0	18-12-23 15:24:10.337177
215.201669	215.014367	215.0	215.0	215.0	215.0	4.0	215.0	18-12-23 15:24:15.559752
220.21138	220.019366	220.0	220.0	220.0	220.0	4.0	220.0	18-12-23 15:24:20.781268
225.210895	225.015501	225.0	225.0	225.0	225.0	4.0	225.0	18-12-23 15:24:26.004987
230.219005	230.019727	230.0	230.0	230.0	230.0	4.0	230.0	18-12-23 15:24:31.227922
235.225507	235.021956	235.0	235.0	235.0	235.0	4.0	235.0	18-12-23 15:24:36.381653
240.224448	240.018152	240.0	240.0	240.0	240.0	4.0	240.0	18-12-23 15:24:41.673043
245.229183	245.019282	245.0	245.0	245.0	245.0	4.0	245.0	18-12-23 15:24:46.895328
-248.83016	-248.656594	250.0	250.0	250.0	250.0	4.0	250.0	18-12-23 15:24:52.117713
