# 
VDC	Amplitude	Frequency	Offset	ch1a	ch2a	ch3a	ch4a	ch1b	ch2b	ch3b	ch4b	Delay	
3.1766665e-05	0.0	1000000.0	5.0	0.001617071	2878.4	2614.7	1493.35	0.0007456648	1925.1	1488.55	2049.55	0.1	08-12-23 17:29:08.102686
1.68174596e-05	0.0	1000000.0	5.0	0.001655165	2875.0	2618.35	1488.3	0.0007774099	1930.9	1486.15	2055.75	0.1	08-12-23 17:29:08.311285
2.0554761e-05	0.0	1000000.0	5.0	0.001625007	2877.25	2615.25	1497.95	0.0007504265	1932.65	1490.9	2053.3	0.1	08-12-23 17:29:08.605251
1.68174596e-05	0.0	1000000.0	5.0	0.001653577	2884.55	2617.75	1492.15	0.0007789973	1927.05	1490.95	2046.4	0.1	08-12-23 17:29:08.910117
2.42920623e-05	0.0	1000000.0	5.0	0.001621832	2881.1	2612.7	1490.55	0.0008028062	1925.5	1490.6	2055.05	0.1	08-12-23 17:29:09.126273
9.34285693e-06	0.0	1000000.0	5.0	0.001648816	2878.1	2614.85	1482.85	0.000783759	1927.9	1495.9	2058.25	0.1	08-12-23 17:29:09.733346
2.0554761e-05	0.0	1000000.0	5.0	0.001620245	2873.05	2619.65	1498.3	0.0007821718	1926.4	1492.2	2056.5	0.1	08-12-23 17:29:10.040632
2.42920623e-05	0.0	1000000.0	5.0	0.001612309	2884.05	2618.45	1490.35	0.000783759	1935.6	1496.45	2053.5	0.1	08-12-23 17:29:10.469061
2.80293637e-05	0.0	1000000.0	5.0	0.001632943	2882.95	2612.4	1496.6	0.0007821718	1935.9	1484.65	2051.5	0.1	08-12-23 17:29:10.965609
1.30801583e-05	0.0	1000000.0	5.0	0.001663101	2884.4	2608.6	1484.75	0.0007551883	1933.1	1486.6	2054.45	0.1	08-12-23 17:29:11.269097
1.30801583e-05	0.0	1000000.0	5.0	0.001583738	2880.6	2623.65	1490.9	0.0007567756	1933.4	1485.3	2056.2	0.1	08-12-23 17:29:11.576506
2.80293637e-05	0.0	1000000.0	5.0	0.001593261	2871.4	2618.25	1485.1	0.000753601	1925.85	1483.8	2053.7	0.1	08-12-23 17:29:11.884949
2.80293637e-05	0.0	1000000.0	5.0	0.00165199	2883.75	2611.65	1485.5	0.0007901081	1925.3	1484.2	2058.8	0.1	08-12-23 17:29:12.190417
2.0554761e-05	0.0	1000000.0	5.0	0.001621832	2878.7	2616.15	1490.45	0.0007551883	1930.4	1486.9	2061.1	0.1	08-12-23 17:29:12.497205
2.0554761e-05	0.0	1000000.0	5.0	0.001617071	2881.7	2614.15	1485.1	0.0007631246	1926.65	1488.05	2055.5	0.1	08-12-23 17:29:12.805598
1.30801583e-05	0.0	1000000.0	5.0	0.001590087	2879.85	2611.75	1486.1	0.0007805845	1932.05	1488.1	2059.35	0.1	08-12-23 17:29:13.112281
9.34285693e-06	0.0	1000000.0	5.0	0.001591674	2879.1	2608.95	1489.35	0.0007218558	1930.9	1482.95	2055.25	0.1	08-12-23 17:29:13.419086
3.1766665e-05	0.0	1000000.0	5.0	0.001599611	2879.9	2618.3	1489.0	0.0007948698	1934.0	1493.9	2052.65	0.1	08-12-23 17:29:14.506320
2.80293637e-05	0.0	1000000.0	5.0	0.001639292	2882.25	2621.25	1488.85	0.0007662991	1934.35	1487.4	2046.3	0.1	08-12-23 17:29:14.854345
9.34285693e-06	0.0	1000000.0	5.0	0.001612309	2886.1	2614.75	1485.15	0.0007789973	1931.55	1489.2	2058.8	0.1	08-12-23 17:29:15.181733
1.68174596e-05	0.0	1000000.0	5.0	0.001617071	2882.15	2618.75	1491.7	0.0008012188	1927.45	1486.45	2052.65	0.1	08-12-23 17:29:15.871252
5.60555558e-06	0.0	1000000.0	5.0	0.001617071	2882.2	2614.35	1488.6	0.0007615374	1929.4	1493.25	2056.35	0.1	08-12-23 17:29:16.187708
2.0554761e-05	0.0	1000000.0	5.0	0.001599611	2887.2	2609.25	1486.55	0.0007932826	1929.15	1492.2	2053.0	0.1	08-12-23 17:29:16.490153
