# 
Voltage 1	Current 1	Voltmeter 1	Delay	
1.0	0.0	-0.0001756603	0.1	04-12-23 12:17:00.465242
1.0	0.0	-0.0001751841	0.1	04-12-23 12:17:00.669649
1.0	0.0	-0.0001947868	0.1	04-12-23 12:17:00.873854
1.0	0.0	-0.000167724	0.1	04-12-23 12:17:01.080549
1.0	0.0	-0.0001872473	0.1	04-12-23 12:17:01.284527
1.0	0.0	-0.0001725652	0.1	04-12-23 12:17:01.488530
1.0	0.0	-0.0001762159	0.1	04-12-23 12:17:01.796256
1.0	0.0	-0.0002032787	0.1	04-12-23 12:17:02.103534
1.0	0.0	-0.0001806602	0.1	04-12-23 12:17:02.308827
1.0	0.0	-0.0001849458	0.1	04-12-23 12:17:02.512844
1.0	0.0	-0.0001821681	0.1	04-12-23 12:17:02.718070
1.0	0.0	-0.0001908187	0.1	04-12-23 12:17:02.921908
1.0	0.0	-0.0001840728	0.1	04-12-23 12:17:03.127508
1.0	0.0	-0.000198993	0.1	04-12-23 12:17:03.331803
1.0	0.0	-0.0001851045	0.1	04-12-23 12:17:03.535898
1.0	0.0	-0.0001835172	0.1	04-12-23 12:17:03.741632
1.0	0.0	-0.0001915329	0.1	04-12-23 12:17:03.968417
1.0	0.0	-0.0001716128	0.1	04-12-23 12:17:04.151715
1.0	0.0	-0.0001793904	0.1	04-12-23 12:17:04.355113
1.0	0.0	-0.0001862156	0.1	04-12-23 12:17:04.560931
1.0	0.0	-0.0001734382	0.1	04-12-23 12:17:04.766029
1.0	0.0	-0.0001866124	0.1	04-12-23 12:17:04.970385
1.0	0.0	-0.000193517	0.1	04-12-23 12:17:05.176326
1.0	0.0	-0.0001779618	0.1	04-12-23 12:17:05.380220
1.0	0.0	-0.0001959772	0.1	04-12-23 12:17:05.585567
1.0	0.0	-0.0001920091	0.1	04-12-23 12:17:05.793653
1.0	0.0	-0.000209707	0.1	04-12-23 12:17:05.993674
1.0	0.0	-0.0001866124	0.1	04-12-23 12:17:06.198884
1.0	0.0	-0.0001639146	0.1	04-12-23 12:17:06.404300
1.0	0.0	-0.0001666923	0.1	04-12-23 12:17:06.608676
1.0	0.0	-0.0001863743	0.1	04-12-23 12:17:06.814079
1.0	0.0	-0.0002021676	0.1	04-12-23 12:17:07.018862
1.0	0.0	-0.0001831204	0.1	04-12-23 12:17:07.315241
1.0	0.0	-0.000203358	0.1	04-12-23 12:17:07.531035
1.0	0.0	-0.0001830411	0.1	04-12-23 12:17:07.736747
1.0	0.0	-0.0001908187	0.1	04-12-23 12:17:07.948157
1.0	0.0	-0.0001948661	0.1	04-12-23 12:17:08.144981
1.0	0.0	-0.0001831204	0.1	04-12-23 12:17:08.350280
1.0	0.0	-0.000164867	0.1	04-12-23 12:17:08.554921
1.0	0.0	-0.0002170878	0.1	04-12-23 12:17:08.760201
1.0	0.0	-0.000190898	0.1	04-12-23 12:17:08.964245
1.0	0.0	-0.0001868505	0.1	04-12-23 12:17:09.168779
1.0	0.0	-0.000183676	0.1	04-12-23 12:17:09.375158
1.0	0.0	-0.0001982788	0.1	04-12-23 12:17:09.578668
1.0	0.0	-0.0001924853	0.1	04-12-23 12:17:09.783374
1.0	0.0	-0.0001874061	0.1	04-12-23 12:17:09.988002
1.0	0.0	-0.0001944694	0.1	04-12-23 12:17:10.294655
1.0	0.0	-0.0001823269	0.1	04-12-23 12:17:10.499554
1.0	0.0	-0.0001851839	0.1	04-12-23 12:17:10.807474
1.0	0.0	-0.0002106594	0.1	04-12-23 12:17:11.012293
1.0	0.0	-0.0001979613	0.1	04-12-23 12:17:11.216882
1.0	0.0	-0.0001988343	0.1	04-12-23 12:17:11.421256
1.0	0.0	-0.0001751048	0.1	04-12-23 12:17:11.631739
1.0	0.0	-0.0001822474	0.1	04-12-23 12:17:11.831122
1.0	0.0	-0.0001890727	0.1	04-12-23 12:17:12.036191
1.0	0.0	-0.0001863743	0.1	04-12-23 12:17:12.240787
1.0	0.0	-0.0001901837	0.1	04-12-23 12:17:12.443011
1.0	0.0	-0.000193517	0.1	04-12-23 12:17:12.650126
1.0	0.0	-0.0001797079	0.1	04-12-23 12:17:12.855254
1.0	0.0	-0.0001951836	0.1	04-12-23 12:17:13.060837
1.0	0.0	-0.0001682796	0.1	04-12-23 12:17:13.269623
1.0	0.0	-0.0001976439	0.1	04-12-23 12:17:13.571652
1.0	0.0	-0.0001953423	0.1	04-12-23 12:17:13.776696
1.0	0.0	-0.0001820888	0.1	04-12-23 12:17:13.982687
1.0	0.0	-0.0001877235	0.1	04-12-23 12:17:14.186712
1.0	0.0	-0.0001855807	0.1	04-12-23 12:17:14.392791
1.0	0.0	-0.0001843109	0.1	04-12-23 12:17:14.596168
1.0	0.0	-0.0001960566	0.1	04-12-23 12:17:14.802226
1.0	0.0	-0.0001862156	0.1	04-12-23 12:17:15.006917
1.0	0.0	-0.0001804221	0.1	04-12-23 12:17:15.211410
1.0	0.0	-0.000178438	0.1	04-12-23 12:17:15.417245
1.0	0.0	-0.0001923265	0.1	04-12-23 12:17:15.619924
1.0	0.0	-0.0001841522	0.1	04-12-23 12:17:15.824581
1.0	0.0	-0.000196136	0.1	04-12-23 12:17:15.965148
1.0	0.0	-0.0001872473	0.1	04-12-23 12:17:16.247174
1.0	0.0	-0.0001812951	0.1	04-12-23 12:17:16.439271
1.0	0.0	-0.0001737556	0.1	04-12-23 12:17:16.648260
1.0	0.0	-0.0001978026	0.1	04-12-23 12:17:16.848675
1.0	0.0	-0.0001947868	0.1	04-12-23 12:17:17.057467
1.0	0.0	-0.0001968502	0.1	04-12-23 12:17:17.259465
1.0	0.0	-0.0001879616	0.1	04-12-23 12:17:17.463150
1.0	0.0	-0.0002089134	0.1	04-12-23 12:17:17.667825
1.0	0.0	-0.0001803427	0.1	04-12-23 12:17:17.977017
1.0	0.0	-0.0001879616	0.1	04-12-23 12:17:18.179741
1.0	0.0	-0.000180184	0.1	04-12-23 12:17:18.384981
1.0	0.0	-0.000189152	0.1	04-12-23 12:17:18.589643
1.0	0.0	-0.0002113737	0.1	04-12-23 12:17:18.795205
1.0	0.0	-0.0001820887	0.1	04-12-23 12:17:19.101529
1.0	0.0	-0.0001643908	0.1	04-12-23 12:17:19.395923
1.0	0.0	-0.0001866124	0.1	04-12-23 12:17:19.613582
1.0	0.0	-0.0001985962	0.1	04-12-23 12:17:19.818533
1.0	0.0	-0.0001872473	0.1	04-12-23 12:17:20.021095
1.0	0.0	-0.0001864537	0.1	04-12-23 12:17:20.228092
