# 
Voltage 1	Current 1	ch1a avglen	ch1b avglen	ch1a	ch2a	ch3a	ch4a	ch1b	ch2b	ch3b	ch4b	VDC10	VDC1	temp_pt100	time	Delay	a	
0.013	0.0	250	250	-7453387.0	-7466478.0	-7472958.0	-7470578.0	-8388608.0	-8388608.0	-8388608.0	-8388608.0	-11.9664466	9.9e+37	21.5379395	1714339831.9417968	60.0	7101.070290702906	28-04-24 23:30:31.941866
0.6	0.002	250	250	-7156953.0	-7169585.0	-7175908.0	-7173491.0	-8388608.0	-8388608.0	-8388608.0	-8388608.0	-11.3818233	9.9e+37	21.1901894	1714339898.4082248	60.0	7101.070290702906	28-04-24 23:31:38.408479
1.2	0.005	250	250	-6780150.0	-6792095.0	-6798089.0	-6795842.0	-8127186.0	-8118338.0	-8117280.0	-8113241.0	-10.7825869	-1.16122619	21.514079	1714339964.8837583	60.0	7101.070290702906	28-04-24 23:32:44.883821
1.8	0.008	250	250	-6403683.0	-6414804.0	-6420514.0	-6418430.0	-7676982.0	-7668562.0	-7667625.0	-7663802.0	-10.1838515	-1.09688588	21.9403101	1714340031.36609	60.0	7101.070290702906	28-04-24 23:33:51.366151
2.4	0.012	250	250	-6026173.0	-6036540.0	-6041881.0	-6040045.0	-7225612.0	-7217617.0	-7216735.0	-7213142.0	-9.58367311	-1.03238879	22.282119	1714340097.8393369	60.0	7101.070290702906	28-04-24 23:34:57.839400
3.0	0.015	250	250	-5649262.0	-5658926.0	-5663998.0	-5662292.0	-6774463.0	-6766863.0	-6766053.0	-6762647.0	-8.98444553	-0.967919381	22.7121831	1714340164.3178916	60.0	7101.070290702906	28-04-24 23:36:04.317952
3.6	0.018	250	250	-5272702.0	-5281581.0	-5286286.0	-5284800.0	-6323207.0	-6316064.0	-6315386.0	-6312172.0	-8.38559406	-0.903461263	22.6991508	1714340230.8038692	60.0	7101.070290702906	28-04-24 23:37:10.803929
4.2	0.021	250	250	-4895654.0	-4903795.0	-4908230.0	-4906877.0	-5871244.0	-5864532.0	-5863877.0	-5860853.0	-7.78620361	-0.838902457	22.3375061	1714340297.2795448	60.0	7101.070290702906	28-04-24 23:38:17.279606
4.8	0.024	250	250	-4518992.0	-4526395.0	-4530496.0	-4529359.0	-5420093.0	-5413749.0	-5413237.0	-5410340.0	-7.18729389	-0.774414246	21.9897559	1714340363.7605062	60.0	7101.070290702906	28-04-24 23:39:23.760566
5.4	0.027	250	250	-4141877.0	-4148535.0	-4152291.0	-4151354.0	-4967665.0	-4961834.0	-4961351.0	-4958632.0	-6.58759868	-0.709778268	21.5350648	1714340430.2354615	60.0	7101.070290702906	28-04-24 23:40:30.235693
5.999	0.03	250	250	-3765221.0	-3771141.0	-3774587.0	-3773839.0	-4515950.0	-4510531.0	-4510091.0	-4507566.0	-5.9887811	-0.645244709	21.1961306	1714340496.7213442	60.0	7101.070290702906	28-04-24 23:41:36.721404
6.6	0.033	250	250	-3388088.0	-3393262.0	-3396399.0	-3395841.0	-4063478.0	-4058429.0	-4058138.0	-4055826.0	-5.38913698	-0.580614988	21.6471804	1714340563.1949403	60.0	7101.070290702906	28-04-24 23:42:43.195001
7.199	0.036	250	250	-3011483.0	-3015937.0	-3018742.0	-3018370.0	-3611676.0	-3607093.0	-3606840.0	-3604759.0	-4.79035105	-0.516074836	22.1277444	1714340629.6763895	60.0	7101.070290702906	28-04-24 23:43:49.676636
7.8	0.039	250	250	-2634152.0	-2637835.0	-2640339.0	-2640147.0	-3159002.0	-3154818.0	-3154674.0	-3152775.0	-4.1903883	-0.451408097	22.5665286	1714340696.1540544	60.0	7101.070290702906	28-04-24 23:44:56.154115
8.399	0.042	250	250	-2257666.0	-2260581.0	-2262776.0	-2262779.0	-2707668.0	-2703923.0	-2703843.0	-2702124.0	-3.59175771	-0.386904716	22.4046796	1714340762.636173	60.0	7101.070290702906	28-04-24 23:46:02.636236
8.999	0.045	250	250	-1881128.0	-1883299.0	-1885138.0	-1885349.0	-2256150.0	-2252783.0	-2252814.0	-2251292.0	-2.99311136	-0.322407168	21.8475512	1714340829.1104083	60.0	7101.070290702906	28-04-24 23:47:09.110469
9.599	0.048	250	250	-1504130.0	-1505572.0	-1507100.0	-1507486.0	-1804165.0	-1801294.0	-1801347.0	-1800025.0	-2.39374996	-0.25783879	21.3094919	1714340895.5837038	60.0	7101.070290702906	28-04-24 23:48:15.583766
10.199	0.051	250	250	-1127025.0	-1127719.0	-1128933.0	-1129512.0	-1351897.0	-1349466.0	-1349634.0	-1348440.0	-1.79415273	-0.193236751	21.5864271	1714340962.0650144	60.0	7101.070290702906	28-04-24 23:49:22.065076
10.799	0.055	250	250	-749776.8	-749714.5	-750611.8	-751379.8	-899611.1	-897627.9	-897858.1	-896878.2	-1.19419865	-0.128625896	21.8450597	1714341028.5415645	60.0	7101.070290702906	28-04-24 23:50:28.541632
11.399	0.058	250	250	-373102.9	-372292.5	-372875.6	-373824.6	-448054.9	-446499.9	-446827.4	-446007.3	-0.595341365	-0.064109176	22.3244738	1714341095.0212295	60.0	7101.070290702906	28-04-24 23:51:35.021295
11.999	0.061	250	250	3782.444	5335.728	5076.6	3941.308	3649.48	4811.084	4424.584	5006.444	0.00394220862	0.000433905892	22.6692533	1714341161.49889	60.0	7101.070290702906	28-04-24 23:52:41.498955
12.599	0.064	250	250	380561.7	382848.7	382907.7	381598.5	455237.6	455922.0	455473.8	455876.2	0.602951535	0.0649425364	22.5404641	1714341227.9768128	60.0	7101.070290702906	28-04-24 23:53:47.976880
13.199	0.067	250	250	757609.1	760642.0	761025.3	759538.6	907088.5	907331.2	906805.2	907026.4	1.2025405	0.12950016	22.2478136	1714341294.4513361	60.0	7101.070290702906	28-04-24 23:54:54.451404
13.799	0.07	250	250	1134136.0	1137904.0	1138612.0	1136942.0	1358297.0	1358138.0	1357574.0	1357550.0	1.80117057	0.193975427	21.5566255	1714341360.9313962	60.0	7101.070290702906	28-04-24 23:56:00.931457
14.399	0.073	250	250	1511098.0	1515591.0	1516626.0	1514775.0	1810063.0	1809506.0	1808773.0	1808671.0	2.40041994	0.258487758	21.2126125	1714341427.4139638	60.0	7101.070290702906	28-04-24 23:57:07.414025
14.998	0.076	250	250	1887629.0	1892874.0	1894225.0	1892174.0	2261174.0	2260164.0	2259392.0	2259037.0	2.99920748	0.322946534	21.3921892	1714341493.89498	60.0	7101.070290702906	28-04-24 23:58:13.895043
15.599	0.079	250	250	2264996.0	2270985.0	2272652.0	2270424.0	2713301.0	2711871.0	2710999.0	2710484.0	3.59914498	0.387537193	21.8024174	1714341560.3763866	60.0	7101.070290702906	28-04-24 23:59:20.376461
16.199	0.083	250	250	2641995.0	2648750.0	2650717.0	2648313.0	3164952.0	3163075.0	3162086.0	3161450.0	4.19848393	0.452056093	22.1946305	1714341626.8605232	60.0	7101.070290702906	29-04-24 00:00:26.860586
16.799	0.086	250	250	3018636.0	3026117.0	3028440.0	3025814.0	3616116.0	3613773.0	3612826.0	3611898.0	4.79732425	0.516497547	22.5232155	1714341693.3435023	60.0	7101.070290702906	29-04-24 00:01:33.343564
17.399	0.089	250	250	3395510.0	3403764.0	3406404.0	3403595.0	4067765.0	4064992.0	4063941.0	4062815.0	5.39659765	0.581039073	22.6687742	1714341759.818745	60.0	7101.070290702906	29-04-24 00:02:39.819025
17.999	0.092	250	250	3772469.0	3781453.0	3784427.0	3781446.0	4519454.0	4516306.0	4515064.0	4513896.0	5.99589724	0.645566731	22.4042963	1714341826.2923605	60.0	7101.070290702906	29-04-24 00:03:46.292422
18.599	0.095	250	250	4149393.0	4159139.0	4162432.0	4159247.0	4970939.0	4967308.0	4966100.0	4964617.0	6.5952409	0.71004112	21.805963	1714341892.7681775	60.0	7101.070290702906	29-04-24 00:04:52.768238
19.198	0.098	250	250	4525950.0	4536416.0	4540043.0	4536655.0	5422228.0	5418177.0	5416890.0	5415277.0	7.19381731	0.77451049	21.2756656	1714341959.2452397	60.0	7101.070290702906	29-04-24 00:05:59.245302
19.799	0.102	250	250	4903078.0	4914281.0	4918178.0	4914649.0	5873917.0	5869412.0	5868052.0	5866158.0	7.79349556	0.839052053	21.2770072	1714342025.7229872	60.0	7101.070290702906	29-04-24 00:07:05.723048
20.399	0.105	250	250	5280010.0	5291960.0	5296205.0	5292464.0	6325085.0	6320247.0	6318717.0	6316728.0	8.39272026	0.903482832	21.7339023	1714342092.2019987	60.0	7101.070290702906	29-04-24 00:08:12.202061
20.999	0.108	250	250	5656575.0	5669232.0	5673805.0	5669890.0	6775970.0	6770624.0	6769117.0	6766845.0	8.99140637	0.967869847	22.1730698	1714342158.6773577	60.0	7101.070290702906	29-04-24 00:09:18.677420
21.598	0.111	250	250	6032960.0	6046379.0	6051293.0	6047178.0	7226848.0	7221083.0	7219422.0	7217071.0	9.5899197	1.03231403	22.593743	1714342225.155861	60.0	7101.070290702906	29-04-24 00:10:25.155923
22.198	0.114	250	250	6409036.0	6423242.0	6428496.0	6424166.0	7677325.0	7671079.0	7669476.0	7666859.0	10.187724	1.09666181	22.6883226	1714342291.6371996	60.0	7101.070290702906	29-04-24 00:11:31.637261
22.799	0.118	250	250	6785538.0	6800539.0	6806078.0	6801576.0	8128674.0	8121964.0	8120288.0	8117516.0	10.7864344	1.16107418	22.3617499	1714342358.1134918	60.0	7101.070290702906	29-04-24 00:12:38.113553
23.399	0.121	250	250	6856560.0	7485660.0	6877741.0	7487212.0	8388607.0	8388607.0	8388607.0	8388607.0	11.384234	9.9e+37	21.7668662	1714342424.5760236	60.0	7101.070290702906	29-04-24 00:13:44.576094
23.999	0.124	250	250	6847265.0	7485963.0	6868429.0	7487546.0	8388607.0	8388607.0	8388607.0	8388607.0	11.970429	9.9e+37	21.1529134	1714342491.039643	60.0	7101.070290702906	29-04-24 00:14:51.039713
