# 
Scope_Frequency	base_freq	A2	f2	scope_rms	scope_dBm	scope_pkpk	scope_thd	Pmax	lin_Pmax	base_P	base_dB	base_V	thd	lin_thd	Delay	a	
100.0	100.0	0.1	100.0	0.0013756489624651839	-44.21954754435564	0.0038909228395654803	0.010012701613958877	-58.19999999999999	1.5135612484362133e-09	1.258925411794166e-09	-59.0	0.00025089095358284304	21.773352771211215	12.265002429256725	0.5	100.0	03-06-24 09:36:50.510877
114.81536214968828	114.81536214968828	0.1	114.81536214968828	0.0015668456794408273	-43.089175555821875	0.00443170882002181	0.011932105457847156	-57.8	1.6595869074375631e-09	1.258925411794166e-09	-59.0	0.00025089095358284304	21.781810084142002	12.276950483397732	0.5	114.81536214968828	03-06-24 09:37:04.404269
131.8256738556407	131.8256738556407	0.1	131.8256738556407	0.0018688559972891586	-41.558183271985754	0.005285922994977249	0.024429315750481028	-57.8	1.6595869074375631e-09	1.258925411794166e-09	-59.0	0.00025089095358284304	21.97696022775071	12.555904719248222	0.5	131.8256738556407	03-06-24 09:37:18.574908
151.35612484362082	151.35612484362082	0.1	151.35612484362082	0.0021511423123304865	-40.33631718739735	0.006084349265384789	0.02277087513746413	-57.8	1.6595869074375631e-09	1.3803842646028865e-09	-58.599999999999994	0.00026271507994430834	21.45179933251824	11.819251298458774	0.5	151.35612484362082	03-06-24 09:37:32.191365
173.78008287493756	173.78008287493756	0.1	173.78008287493756	0.0024266999079210682	-39.2893785702195	0.0068637438431830315	0.015413804694279663	-57.39999999999999	1.8197008586099862e-09	1.258925411794166e-09	-59.0	0.00025089095358284304	21.825256410369537	12.338512929415806	0.5	173.78008287493756	03-06-24 09:37:45.740782
199.526231496888	199.526231496888	0.1	199.526231496888	0.002791778996648239	-38.072079331207824	0.007896343440416584	0.011104688647004368	-58.19999999999999	1.5135612484362133e-09	1.258925411794166e-09	-59.0	0.00025089095358284304	22.057917120677608	12.673479189491948	0.5	199.526231496888	03-06-24 09:37:59.287822
229.08676527677733	229.08676527677733	0.1	229.08676527677733	0.003194287173153492	-36.90222089241077	0.009034808484776167	0.010351635841128842	-58.19999999999999	1.5135612484362133e-09	1.148153621496884e-09	-59.39999999999999	0.00023959900057146357	22.377839243023825	13.148976892170317	0.5	229.08676527677733	03-06-24 09:38:13.251903
263.0267991895382	263.0267991895382	0.1	263.0267991895382	0.0036270196295248793	-35.79870192336293	0.010258760702135047	0.014725686496104737	-58.19999999999999	1.5135612484362133e-09	1.258925411794166e-09	-59.0	0.00025089095358284304	21.63213716403329	12.067209654890652	0.5	263.0267991895382	03-06-24 09:38:26.870609
301.9951720402016	301.9951720402016	0.1	301.9951720402016	0.004135873525916915	-34.65835505013476	0.011698016865223069	0.011656171933134084	-58.19999999999999	1.5135612484362133e-09	1.148153621496884e-09	-59.39999999999999	0.00023959900057146357	22.261303348054003	12.973739318651381	0.5	301.9951720402016	03-06-24 09:38:40.486130
346.7368504525316	346.7368504525316	0.1	346.7368504525316	0.004781227133596945	-33.398912533908984	0.013523352514238076	0.016554420127501704	-58.19999999999999	1.5135612484362133e-09	1.3803842646028865e-09	-58.599999999999994	0.00026271507994430834	21.358548752687405	11.693040061900819	0.5	346.7368504525316	03-06-24 09:38:54.242300
398.10717055349727	398.10717055349727	0.1	398.10717055349727	0.005457928867214647	-32.24914261850554	0.015437354052965155	0.009137825528979992	-58.19999999999999	1.5135612484362133e-09	1.258925411794166e-09	-59.0	0.00025089095358284304	22.126839200804397	12.77444262425224	0.5	398.10717055349727	03-06-24 09:39:09.795336
457.0881896148751	457.0881896148751	0.1	457.0881896148751	0.0060651901332979445	-31.33281164731219	0.01715494828976287	0.0037218545567296387	-57.8	1.6595869074375631e-09	1.148153621496884e-09	-59.39999999999999	0.00023959900057146357	22.23660350783942	12.936898637226403	0.5	457.0881896148751	03-06-24 09:39:23.550925
524.8074602497726	524.8074602497726	0.1	524.8074602497726	0.0068283730062557385	-30.303355306709108	0.01931355542877842	0.021077912937720576	-58.19999999999999	1.5135612484362133e-09	1.148153621496884e-09	-59.39999999999999	0.00023959900057146357	22.406284308917755	13.192108527042771	0.5	524.8074602497726	03-06-24 09:39:37.720264
602.5595860743578	602.5595860743578	0.1	602.5595860743578	0.007771585698582112	-29.179507235210668	0.021981363792159217	0.018928141262622093	-58.19999999999999	1.5135612484362133e-09	1.3803842646028865e-09	-58.599999999999994	0.00026271507994430834	21.107444370978175	11.359840105691907	0.5	602.5595860743578	03-06-24 09:39:51.683336
691.8309709189366	691.8309709189366	0.1	691.8309709189366	0.009021821965178653	-27.883814992035457	0.025517565960942287	0.02259721770638436	-58.19999999999999	1.5135612484362133e-09	1.148153621496884e-09	-59.39999999999999	0.00023959900057146357	22.023759837667708	12.62373856713054	0.5	691.8309709189366	03-06-24 09:40:05.507653
794.3282347242814	794.3282347242814	0.1	794.3282347242814	0.010138657473712785	-26.87009102301839	0.028676453807159927	0.016704906064003277	-58.599999999999994	1.3803842646028865e-09	1.0471285480509007e-09	-59.8	0.0002288152691638935	22.11254357701314	12.75343517021087	0.5	794.3282347242814	03-06-24 09:40:18.916695
912.0108393559099	912.0108393559099	0.1	912.0108393559099	0.011089324705809086	-26.091598039169163	0.031365346793028485	0.019003675524468414	-59.0	1.258925411794166e-09	1.148153621496884e-09	-59.39999999999999	0.00023959900057146357	21.26215958405077	11.563997236212309	0.5	912.0108393559099	03-06-24 09:40:34.469158
1047.1285480508998	1047.1285480508998	0.1	1047.1285480508998	0.012284366334749957	-25.20264486028053	0.03474543495152571	0.026195970133317835	-59.0	1.258925411794166e-09	1.0471285480509007e-09	-59.8	0.0002288152691638935	22.087258206892933	12.71636281257599	0.5	1047.1285480508998	03-06-24 09:40:48.570872
1202.2644346174127	1202.2644346174127	0.1	1202.2644346174127	0.012950005907256234	-24.74430071287084	0.036628147973706934	0.018242810456427106	-58.599999999999994	1.3803842646028865e-09	1.0471285480509007e-09	-59.8	0.0002288152691638935	21.62250330775478	12.053832865477615	0.5	1202.2644346174127	03-06-24 09:41:01.980069
1380.384264602885	1380.384264602885	0.1	1380.384264602885	0.014064421754997778	-24.02726241788757	0.039780191985706134	0.016838942380892397	-58.599999999999994	1.3803842646028865e-09	1.0471285480509007e-09	-59.8	0.0002288152691638935	22.08139018106251	12.70777477515994	0.5	1380.384264602885	03-06-24 09:41:15.667344
1584.8931924611136	1584.8931924611136	0.1	1584.8931924611136	0.015468985417458772	-23.200463442351193	0.04375289794704366	0.017183239723817315	-58.599999999999994	1.3803842646028865e-09	1.0471285480509007e-09	-59.8	0.0002288152691638935	22.051832643872274	12.664604509828731	0.5	1584.8931924611136	03-06-24 09:41:29.284577
1819.7008586099835	1819.7008586099835	0.1	1819.7008586099835	0.01627496069358144	-22.759301076228464	0.04603254027990381	0.014162222408947645	-58.599999999999994	1.3803842646028865e-09	1.148153621496884e-09	-59.39999999999999	0.00023959900057146357	21.907593701090864	12.45603113310598	0.5	1819.7008586099835	03-06-24 09:41:42.487693
2089.29613085404	2089.29613085404	0.1	2089.29613085404	0.017054434816138782	-22.352953414049598	0.04823722603118274	0.02274090485479656	-58.19999999999999	1.5135612484362133e-09	1.258925411794166e-09	-59.0	0.00025089095358284304	21.20241460142235	11.48472842539403	0.5	2089.29613085404	03-06-24 09:41:56.036311
2398.832919019491	2398.832919019491	0.1	2398.832919019491	0.017700077154947393	-22.03019685409595	0.050063378335153584	0.019865294714346882	-58.19999999999999	1.5135612484362133e-09	1.0471285480509007e-09	-59.8	0.0002288152691638935	22.373475340897684	13.142372337129427	0.5	2398.832919019491	03-06-24 09:42:14.354642
2754.2287033381663	2754.2287033381663	0.1	2754.2287033381663	0.018198512045862075	-21.788982433865904	0.05147316510053657	0.01768780489030687	-58.19999999999999	1.5135612484362133e-09	1.3803842646028865e-09	-58.599999999999994	0.00026271507994430834	21.253824352244468	11.552905411686766	0.5	2754.2287033381663	03-06-24 09:42:33.984960
