# 
Voltage 1	Current 1	ch1a avglen	ch1b avglen	ch1a	ch2a	ch3a	ch4a	ch1b	ch2b	ch3b	ch4b	VDC1	temp_pt100	time	Delay	a	
0.076	0.0	250	250	-7452665.0	-7465797.0	-7472456.0	-7470050.0	-8388608.0	-8388608.0	-8388608.0	-8388608.0	9.9e+37	22.3492926	1714123486.9347377	6	279.0	26-04-24 11:24:46.934791
0.6	0.002	250	250	-7153872.0	-7166442.0	-7172849.0	-7170355.0	-8388608.0	-8388608.0	-8388608.0	-8388608.0	9.9e+37	22.3514966	1714123493.725963	6	279.0	26-04-24 11:24:53.726024
1.2	0.005	250	250	-6778725.0	-6790552.0	-6796643.0	-6794317.0	-8125276.0	-8116390.0	-8115307.0	-8111333.0	-1.16092726	22.2333439	1714123500.5069466	6	279.0	26-04-24 11:25:00.507000
1.8	0.008	250	250	-6402777.0	-6413865.0	-6419640.0	-6417510.0	-7674406.0	-7665982.0	-7664995.0	-7661210.0	-1.09651623	22.1737406	1714123507.2924945	6	279.0	26-04-24 11:25:07.292549
2.4	0.011	250	250	-6025646.0	-6035976.0	-6041428.0	-6039509.0	-7222226.0	-7214180.0	-7213318.0	-7209717.0	-1.03190394	22.1177786	1714123514.0751915	6	279.0	26-04-24 11:25:14.075244
3.0	0.015	250	250	-5649071.0	-5658656.0	-5663760.0	-5662019.0	-6770885.0	-6763298.0	-6762476.0	-6759064.0	-0.967421359	22.1124124	1714123520.8567636	6	279.0	26-04-24 11:25:20.856817
3.6	0.018	250	250	-5272575.0	-5281415.0	-5286197.0	-5284664.0	-6319897.0	-6312740.0	-6312015.0	-6308748.0	-0.902996748	21.901405	1714123527.6396337	6	279.0	26-04-24 11:25:27.639685
4.2	0.021	250	250	-4895715.0	-4903802.0	-4908261.0	-4906903.0	-5868319.0	-5861572.0	-5860915.0	-5857821.0	-0.838476097	21.9319733	1714123534.425502	6	279.0	26-04-24 11:25:34.425556
4.8	0.024	250	250	-4519131.0	-4526487.0	-4530601.0	-4529469.0	-5416977.0	-5410663.0	-5410065.0	-5407187.0	-0.773997377	21.844868	1714123541.2245336	6	279.0	26-04-24 11:25:41.224588
5.4	0.027	250	250	-4142087.0	-4148691.0	-4152510.0	-4151549.0	-4965064.0	-4959176.0	-4958677.0	-4956004.0	-0.709429577	21.7074545	1714123548.0080926	6	279.0	26-04-24 11:25:48.008145
5.999	0.03	250	250	-3765476.0	-3771342.0	-3774853.0	-3774065.0	-4513642.0	-4508191.0	-4507779.0	-4505284.0	-0.644930005	21.5603626	1714123554.790593	6	279.0	26-04-24 11:25:54.790645
6.6	0.033	250	250	-3388421.0	-3393521.0	-3396691.0	-3396120.0	-4061274.0	-4056278.0	-4055921.0	-4053652.0	-0.580308909	21.5251948	1714123561.5732908	6	279.0	26-04-24 11:26:01.573343
7.199	0.036	250	250	-3011897.0	-3016286.0	-3019124.0	-3018727.0	-3609918.0	-3605301.0	-3605051.0	-3602934.0	-0.515817114	21.4537091	1714123568.3567529	6	279.0	26-04-24 11:26:08.356807
7.8	0.039	250	250	-2634489.0	-2638132.0	-2640647.0	-2640441.0	-3157696.0	-3153516.0	-3153315.0	-3151397.0	-0.451218635	21.3153373	1714123575.1398735	6	279.0	26-04-24 11:26:15.139924
8.399	0.042	250	250	-2257983.0	-2260904.0	-2263089.0	-2263070.0	-2706667.0	-2702928.0	-2702817.0	-2701064.0	-0.386774967	21.2937766	1714123581.923609	6	279.0	26-04-24 11:26:21.923662
8.999	0.045	250	250	-1881532.0	-1883705.0	-1885568.0	-1885736.0	-2255415.0	-2252118.0	-2252104.0	-2250548.0	-0.322313918	21.2796903	1714123588.729334	6	279.0	26-04-24 11:26:28.729387
9.599	0.048	250	250	-1504679.0	-1506104.0	-1507646.0	-1508008.0	-1803802.0	-1800926.0	-1800994.0	-1799621.0	-0.257798703	21.2661789	1714123595.5129867	6	279.0	26-04-24 11:26:35.513040
10.199	0.051	250	250	-1127629.0	-1128317.0	-1129531.0	-1130079.0	-1352127.0	-1349669.0	-1349825.0	-1348641.0	-0.193266495	21.1244532	1714123602.2967217	6	279.0	26-04-24 11:26:42.296773
10.8	0.055	250	250	-750383.1	-750329.8	-751216.8	-751969.7	-900118.8	-898108.6	-898324.3	-897350.0	-0.128703549	21.2019759	1714123609.0776408	6	279.0	26-04-24 11:26:49.077701
11.399	0.058	250	250	-373737.6	-372929.5	-373504.4	-374440.2	-448795.7	-447222.6	-447531.4	-446716.9	-0.0642240492	21.2289028	1714123615.8609884	6	279.0	26-04-24 11:26:55.861047
11.999	0.061	250	250	3127.272	4673.384	4425.9	3304.284	2828.656	3977.084	3582.248	4203.436	0.000299165421	21.1624959	1714123622.642835	6	279.0	26-04-24 11:27:02.642892
12.599	0.064	250	250	379820.7	382103.5	382177.4	380874.6	454276.4	455011.2	454530.3	454931.2	0.0648020944	21.176678	1714123629.42644	6	279.0	26-04-24 11:27:09.426497
13.199	0.067	250	250	756845.7	759871.4	760267.8	758782.1	906163.5	906455.1	905902.4	906133.2	0.129355332	21.1443849	1714123636.2064807	6	279.0	26-04-24 11:27:16.206537
13.799	0.07	250	250	1133357.0	1137122.0	1137845.0	1136165.0	1357414.0	1357270.0	1356655.0	1356683.0	0.193826401	21.2449057	1714123642.9905536	6	279.0	26-04-24 11:27:22.990607
14.399	0.073	250	250	1510191.0	1514698.0	1515735.0	1513867.0	1809093.0	1808515.0	1807787.0	1807649.0	0.258348239	21.2506552	1714123649.7752779	6	279.0	26-04-24 11:27:29.775324
14.998	0.076	250	250	1886831.0	1892084.0	1893441.0	1891386.0	2260529.0	2259548.0	2258744.0	2258397.0	0.322843872	21.3151456	1714123656.560075	6	279.0	26-04-24 11:27:36.560122
15.599	0.079	250	250	2264212.0	2270201.0	2271896.0	2269651.0	2712896.0	2711474.0	2710597.0	2710067.0	0.387462993	21.3393894	1714123663.3437352	6	279.0	26-04-24 11:27:43.343790
16.2	0.082	250	250	2641226.0	2647945.0	2649954.0	2647533.0	3164807.0	3162927.0	3161977.0	3161259.0	0.452014713	21.4470013	1714123670.1239617	6	279.0	26-04-24 11:27:50.124014
16.799	0.085	250	250	3017761.0	3025221.0	3027553.0	3024945.0	3616028.0	3613740.0	3612716.0	3611800.0	0.516479087	21.4241949	1714123676.9058657	6	279.0	26-04-24 11:27:56.905920
