# 
Voltage 1	Current 1	ch1a avglen	ch1b avglen	ch1a	ch2a	ch3a	ch4a	ch1b	ch2b	ch3b	ch4b	VDC10	VDC1	temp	Delay	a	
0.009	0.0	250	250	-7450596.0	-7463610.0	-7470208.0	-7467848.0	-8388608.0	-8388608.0	-8388608.0	-8388608.0	-11.9748788	9.9e+37	21.9529274	6	1.0	19-03-24 14:38:56.768496
0.601	0.002	250	250	-7158902.0	-7171487.0	-7177917.0	-7175504.0	-8388608.0	-8388608.0	-8388608.0	-8388608.0	-11.3847325	9.9e+37	21.5023011	6	1.0	19-03-24 14:39:05.267710
1.201	0.005	250	250	-6781847.0	-6793649.0	-6799780.0	-6797557.0	-8127913.0	-8118848.0	-8117905.0	-8114064.0	-10.785192	-1.16121182	21.4744915	6	1.0	19-03-24 14:39:13.152402
1.801	0.008	250	250	-6405189.0	-6416270.0	-6422027.0	-6420024.0	-7676583.0	-7668006.0	-7667110.0	-7663414.0	-10.1863186	-1.0967419	21.3427132	6	1.0	19-03-24 14:39:21.140004
2.401	0.011	250	250	-6027564.0	-6037910.0	-6043353.0	-6041529.0	-7224169.0	-7215980.0	-7215175.0	-7211658.0	-9.58586815	-1.03211259	21.3307334	6	1.0	19-03-24 14:39:29.123457
3.001	0.014	250	250	-5650625.0	-5660197.0	-5665321.0	-5663699.0	-6772523.0	-6764774.0	-6764019.0	-6760708.0	-8.98651038	-0.967594191	21.3980048	6	1.0	19-03-24 14:39:37.470462
3.601	0.017	250	250	-5273893.0	-5282747.0	-5287568.0	-5286096.0	-6321100.0	-6313797.0	-6313160.0	-6309991.0	-8.38751046	-0.903101265	21.5572651	6	1.0	19-03-24 14:39:45.818610
4.202	0.02	250	250	-4896848.0	-4904973.0	-4909441.0	-4908147.0	-5869198.0	-5862334.0	-5861761.0	-5858765.0	-7.78804971	-0.838555417	21.7719807	6	1.0	19-03-24 14:39:54.007668
4.801	0.023	250	250	-4520197.0	-4527591.0	-4531695.0	-4530611.0	-5417887.0	-5411458.0	-5410956.0	-5408148.0	-7.189142	-0.774075688	21.9763957	6	1.0	19-03-24 14:40:01.891795
5.401	0.026	250	250	-4143048.0	-4149695.0	-4153488.0	-4152603.0	-4966017.0	-4960047.0	-4959576.0	-4956958.0	-6.58940008	-0.709503754	21.5515721	6	1.0	19-03-24 14:40:09.880814
6.001	0.029	250	250	-3766308.0	-3772197.0	-3775669.0	-3774968.0	-4514496.0	-4508936.0	-4508554.0	-4506129.0	-5.99039317	-0.645009344	21.8850008	6	1.0	19-03-24 14:40:17.870174
6.601	0.032	250	250	-3389245.0	-3394382.0	-3397535.0	-3397004.0	-4062673.0	-4057562.0	-4057260.0	-4055034.0	-5.39082898	-0.580460021	22.3973695	6	1.0	19-03-24 14:40:25.755094
7.201	0.035	250	250	-3012581.0	-3016964.0	-3019818.0	-3019459.0	-3611388.0	-3606721.0	-3606468.0	-3604448.0	-4.79196922	-0.515971026	23.0534962	6	1.0	19-03-24 14:40:33.947672
7.802	0.038	250	250	-2635071.0	-2638722.0	-2641219.0	-2641061.0	-3158933.0	-3154674.0	-3154527.0	-3152658.0	-4.19173835	-0.451373261	23.8331075	6	1.0	19-03-24 14:40:42.443085
8.401	0.042	250	250	-2258533.0	-2261441.0	-2263628.0	-2263642.0	-2707580.0	-2703788.0	-2703708.0	-2702015.0	-3.59304038	-0.386900659	24.6164049	6	1.0	19-03-24 14:40:50.374753
9.0	0.045	250	250	-1881982.0	-1884138.0	-1886013.0	-1886223.0	-2256406.0	-2253038.0	-2253040.0	-2251532.0	-2.99433348	-0.322449081	25.4596015	6	1.0	19-03-24 14:40:58.625959
