# 
T	Delay	
51.0050219	0.1	06-03-24 14:31:49.828853
51.0041203	0.1	06-03-24 14:31:50.045283
51.0293651	0.1	06-03-24 14:31:50.238872
51.050102	0.1	06-03-24 14:31:50.542838
51.0879693	0.1	06-03-24 14:31:50.750651
51.0987885	0.1	06-03-24 14:31:50.955448
51.0870677	0.1	06-03-24 14:31:51.160198
51.0528068	0.1	06-03-24 14:31:51.363065
51.0176443	0.1	06-03-24 14:31:51.567509
51.0158411	0.1	06-03-24 14:31:51.773520
51.091408	0.1	06-03-24 14:31:51.979419
51.0941128	0.1	06-03-24 14:31:52.181799
51.0679664	0.1	06-03-24 14:31:52.389350
51.059852	0.1	06-03-24 14:31:52.591941
51.0490327	0.1	06-03-24 14:31:52.798957
51.0526391	0.1	06-03-24 14:31:53.003473
51.0149395	0.1	06-03-24 14:31:53.208853
51.0329715	0.1	06-03-24 14:31:53.413288
51.1139481	0.1	06-03-24 14:31:53.617834
51.1337833	0.1	06-03-24 14:31:53.820396
51.1509138	0.1	06-03-24 14:31:54.034578
51.170749	0.1	06-03-24 14:31:54.232262
51.1330494	0.1	06-03-24 14:31:54.437211
51.147475	0.1	06-03-24 14:31:54.641873
51.2482868	0.1	06-03-24 14:31:54.847018
51.2600076	0.1	06-03-24 14:31:55.048205
51.2105871	0.1	06-03-24 14:31:55.254674
51.226816	0.1	06-03-24 14:31:55.461080
51.2978749	0.1	06-03-24 14:31:55.666134
51.3086941	0.1	06-03-24 14:31:55.870292
51.2996781	0.1	06-03-24 14:31:56.075694
51.2879573	0.1	06-03-24 14:31:56.277393
51.2196031	0.1	06-03-24 14:31:56.483118
51.2087839	0.1	06-03-24 14:31:56.689828
51.2654172	0.1	06-03-24 14:31:56.894695
51.2690236	0.1	06-03-24 14:31:57.099101
51.2816461	0.1	06-03-24 14:31:57.304402
51.2807445	0.1	06-03-24 14:31:57.506567
51.1979647	0.1	06-03-24 14:31:57.812588
51.2446804	0.1	06-03-24 14:31:58.024336
51.2428772	0.1	06-03-24 14:31:58.225834
51.2141935	0.1	06-03-24 14:31:58.430711
51.2286192	0.1	06-03-24 14:31:58.635935
51.2987765	0.1	06-03-24 14:31:58.857711
51.3023829	0.1	06-03-24 14:31:59.048446
51.3068909	0.1	06-03-24 14:31:59.249651
51.3123005	0.1	06-03-24 14:31:59.454186
51.3267262	0.1	06-03-24 14:31:59.659797
51.3366438	0.1	06-03-24 14:31:59.861897
51.2818137	0.1	06-03-24 14:32:00.077727
51.2791089	0.1	06-03-24 14:32:00.287687
51.2682897	0.1	06-03-24 14:32:00.478150
51.258372	0.1	06-03-24 14:32:00.678255
51.3159069	0.1	06-03-24 14:32:00.883979
51.3258246	0.1	06-03-24 14:32:01.094832
51.324923	0.1	06-03-24 14:32:01.298675
51.3159069	0.1	06-03-24 14:32:01.498935
51.3222181	0.1	06-03-24 14:32:01.707400
51.3204149	0.1	06-03-24 14:32:01.909386
51.3150053	0.1	06-03-24 14:32:02.118161
51.3141037	0.1	06-03-24 14:32:02.322075
51.3123005	0.1	06-03-24 14:32:02.526914
51.3177101	0.1	06-03-24 14:32:02.728389
51.3303326	0.1	06-03-24 14:32:02.937075
51.3447582	0.1	06-03-24 14:32:03.141406
51.2890265	0.1	06-03-24 14:32:03.346443
51.2890265	0.1	06-03-24 14:32:03.547699
51.2935345	0.1	06-03-24 14:32:03.775008
51.2998457	0.1	06-03-24 14:32:03.963523
51.351971	0.1	06-03-24 14:32:04.165796
51.3330374	0.1	06-03-24 14:32:04.369896
51.3204149	0.1	06-03-24 14:32:04.572254
51.3123005	0.1	06-03-24 14:32:04.773728
51.3059893	0.1	06-03-24 14:32:04.984473
51.3086941	0.1	06-03-24 14:32:05.189687
51.3132021	0.1	06-03-24 14:32:05.393714
51.3041861	0.1	06-03-24 14:32:05.599159
51.2259144	0.1	06-03-24 14:32:05.803862
51.2096855	0.1	06-03-24 14:32:06.008576
51.1880471	0.1	06-03-24 14:32:06.210895
51.1709166	0.1	06-03-24 14:32:06.415408
51.1646054	0.1	06-03-24 14:32:06.721274
51.2275499	0.1	06-03-24 14:32:06.930115
51.2284515	0.1	06-03-24 14:32:07.136792
51.1582942	0.1	06-03-24 14:32:07.358234
51.1528846	0.1	06-03-24 14:32:07.542033
51.142967	0.1	06-03-24 14:32:07.749185
51.138459	0.1	06-03-24 14:32:07.950160
51.1312462	0.1	06-03-24 14:32:08.159071
51.1231317	0.1	06-03-24 14:32:08.363348
51.1141157	0.1	06-03-24 14:32:08.667213
51.1689458	0.1	06-03-24 14:32:08.875132
51.166241	0.1	06-03-24 14:32:09.084190
51.1132141	0.1	06-03-24 14:32:09.286237
51.1195253	0.1	06-03-24 14:32:09.493198
51.1132141	0.1	06-03-24 14:32:09.694762
51.1023949	0.1	06-03-24 14:32:09.899631
51.157225	0.1	06-03-24 14:32:10.104929
51.1554218	0.1	06-03-24 14:32:10.309355
51.1581266	0.1	06-03-24 14:32:10.512865
51.1599298	0.1	06-03-24 14:32:10.725848
51.1096077	0.1	06-03-24 14:32:10.923885
51.1186237	0.1	06-03-24 14:32:11.125788
51.1833714	0.1	06-03-24 14:32:11.333765
51.1824698	0.1	06-03-24 14:32:11.537564
51.1698474	0.1	06-03-24 14:32:11.739367
51.1590282	0.1	06-03-24 14:32:12.045708
51.1193577	0.1	06-03-24 14:32:12.255447
51.095916	0.1	06-03-24 14:32:12.456095
51.0221523	0.1	06-03-24 14:32:12.679081
51.0140379	0.1	06-03-24 14:32:12.869242
51.0679664	0.1	06-03-24 14:32:13.081320
51.0724744	0.1	06-03-24 14:32:13.279106
51.0670648	0.1	06-03-24 14:32:13.481840
51.0616552	0.1	06-03-24 14:32:13.688303
51.0032187	0.1	06-03-24 14:32:13.893556
50.9996123	0.1	06-03-24 14:32:14.095704
51.055344	0.1	06-03-24 14:32:14.402858
51.059852	0.1	06-03-24 14:32:14.526727
51.0616552	0.1	06-03-24 14:32:14.809250
51.059852	0.1	06-03-24 14:32:15.019685
51.0544424	0.1	06-03-24 14:32:15.224099
51.0490327	0.1	06-03-24 14:32:15.433201
51.0409183	0.1	06-03-24 14:32:15.633238
50.9599418	0.1	06-03-24 14:32:15.839100
50.9482209	0.1	06-03-24 14:32:16.039851
50.9419097	0.1	06-03-24 14:32:16.246037
50.9310905	0.1	06-03-24 14:32:16.454253
50.985019	0.1	06-03-24 14:32:16.756484
50.9103537	0.1	06-03-24 14:32:16.965780
50.9013376	0.1	06-03-24 14:32:17.166141
50.9363325	0.1	06-03-24 14:32:17.473160
50.887646	0.1	06-03-24 14:32:17.682179
50.8461723	0.1	06-03-24 14:32:17.887009
50.7471637	0.1	06-03-24 14:32:18.190723
50.7830601	0.1	06-03-24 14:32:18.314004
50.7767489	0.1	06-03-24 14:32:18.518720
50.7632249	0.1	06-03-24 14:32:18.803758
50.7497009	0.1	06-03-24 14:32:19.017182
50.7442913	0.1	06-03-24 14:32:19.221181
50.6696259	0.1	06-03-24 14:32:19.430272
50.6344634	0.1	06-03-24 14:32:19.628223
50.6604423	0.1	06-03-24 14:32:19.833029
50.6478198	0.1	06-03-24 14:32:20.040393
50.5884817	0.1	06-03-24 14:32:20.248875
50.5848753	0.1	06-03-24 14:32:20.446775
50.640607	0.1	06-03-24 14:32:20.644020
50.627083	0.1	06-03-24 14:32:20.852890
50.5452048	0.1	06-03-24 14:32:21.057529
50.5488113	0.1	06-03-24 14:32:21.265999
50.5452048	0.1	06-03-24 14:32:21.568369
50.6018381	0.1	06-03-24 14:32:21.689425
50.6009365	0.1	06-03-24 14:32:21.891593
50.6018381	0.1	06-03-24 14:32:22.091213
