# 
Voltage 1	Current 1	ch1a avglen	ch1b avglen	ch1a	ch2a	ch3a	ch4a	ch1b	ch2b	ch3b	ch4b	VDC1	temp_pt100	time	Delay	a	
0.103	0.0	250	250	-7446807.0	-7460157.0	-7467074.0	-7464846.0	-8388608.0	-8388608.0	-8388608.0	-8388608.0	9.9e+37	22.598151	1714058961.6358974	6	47.0	25-04-24 17:29:21.635961
0.6	0.002	250	250	-7153877.0	-7166444.0	-7172870.0	-7170423.0	-8388608.0	-8388608.0	-8388608.0	-8388608.0	9.9e+37	22.5396975	1714058968.4081533	6	47.0	25-04-24 17:29:28.408208
1.2	0.005	250	250	-6778866.0	-6790678.0	-6796770.0	-6794522.0	-8124327.0	-8115391.0	-8114382.0	-8110389.0	-1.16078857	22.4662953	1714058975.1891737	6	47.0	25-04-24 17:29:35.189226
1.8	0.008	250	250	-6402973.0	-6414045.0	-6419806.0	-6417744.0	-7673732.0	-7665259.0	-7664311.0	-7660522.0	-1.09640695	22.4594917	1714058981.9692104	6	47.0	25-04-24 17:29:41.969264
2.4	0.011	250	250	-6025760.0	-6036103.0	-6041528.0	-6039654.0	-7221780.0	-7213758.0	-7212899.0	-7209332.0	-1.03184707	22.4025715	1714058988.7500224	6	47.0	25-04-24 17:29:48.750074
3.0	0.015	250	250	-5649158.0	-5658741.0	-5663879.0	-5662193.0	-6770508.0	-6762861.0	-6762118.0	-6758703.0	-0.967382161	22.4156995	1714058995.5894766	6	47.0	25-04-24 17:29:55.589530
3.6	0.018	250	250	-5272756.0	-5281615.0	-5286402.0	-5284911.0	-6319231.0	-6312039.0	-6311326.0	-6308094.0	-0.902886811	22.3754529	1714059002.3737304	6	47.0	25-04-24 17:30:02.373781
4.2	0.021	250	250	-4895861.0	-4903998.0	-4908454.0	-4907150.0	-5867440.0	-5860680.0	-5860065.0	-5857040.0	-0.838336952	22.3608874	1714059009.1586125	6	47.0	25-04-24 17:30:09.158664
4.8	0.024	250	250	-4519335.0	-4526709.0	-4530852.0	-4529734.0	-5416216.0	-5409882.0	-5409341.0	-5406509.0	-0.773887895	22.3115374	1714059015.9452224	6	47.0	25-04-24 17:30:15.945274
5.4	0.027	250	250	-4142222.0	-4148856.0	-4152676.0	-4151747.0	-4964343.0	-4958444.0	-4957954.0	-4955296.0	-0.709320611	22.3153704	1714059022.7274802	6	47.0	25-04-24 17:30:22.727534
5.999	0.03	250	250	-3765653.0	-3771538.0	-3775040.0	-3774293.0	-4513166.0	-4507732.0	-4507304.0	-4504823.0	-0.644873111	22.3112499	1714059029.510044	6	47.0	25-04-24 17:30:29.510099
6.6	0.033	250	250	-3388535.0	-3393669.0	-3396860.0	-3396292.0	-4061341.0	-4056301.0	-4055958.0	-4053684.0	-0.580320264	22.2186827	1714059036.2926357	6	47.0	25-04-24 17:30:36.292688
7.199	0.036	250	250	-3012085.0	-3016498.0	-3019336.0	-3018963.0	-3610246.0	-3605655.0	-3605410.0	-3603300.0	-0.515872834	22.2633373	1714059043.0909731	6	47.0	25-04-24 17:30:43.091027
7.8	0.039	250	250	-2634700.0	-2638351.0	-2640868.0	-2640681.0	-3158030.0	-3153859.0	-3153698.0	-3151779.0	-0.451268351	22.1601334	1714059049.875686	6	47.0	25-04-24 17:30:49.875739
8.399	0.042	250	250	-2258193.0	-2261099.0	-2263305.0	-2263304.0	-2706940.0	-2703210.0	-2703134.0	-2701396.0	-0.386824012	22.1132748	1714059056.657605	6	47.0	25-04-24 17:30:56.657660
8.999	0.045	250	250	-1881749.0	-1883920.0	-1885789.0	-1885973.0	-2255862.0	-2252577.0	-2252539.0	-2251027.0	-0.32238128	22.1194076	1714059063.4846945	6	47.0	25-04-24 17:31:03.484746
9.599	0.048	250	250	-1504897.0	-1506331.0	-1507873.0	-1508247.0	-1804329.0	-1801467.0	-1801509.0	-1800169.0	-0.257873555	22.1035964	1714059070.2681608	6	47.0	25-04-24 17:31:10.268214
10.199	0.051	250	250	-1127864.0	-1128543.0	-1129767.0	-1130322.0	-1352497.0	-1350058.0	-1350206.0	-1349034.0	-0.193321815	21.9806525	1714059077.048081	6	47.0	25-04-24 17:31:17.048135
10.799	0.055	250	250	-750570.1	-750505.6	-751405.2	-752152.0	-900392.1	-898379.6	-898619.0	-897605.8	-0.128736171	21.9877436	1714059083.8319204	6	47.0	25-04-24 17:31:23.831980
11.399	0.058	250	250	-373865.7	-373059.3	-373636.4	-374574.8	-448981.0	-447395.4	-447701.4	-446897.1	-0.0642432585	21.9399268	1714059090.6144128	6	47.0	25-04-24 17:31:30.614471
11.999	0.061	250	250	2976.9	4521.028	4271.536	3149.992	2631.992	3773.824	3396.312	3999.76	0.000279420782	21.9197076	1714059097.3948054	6	47.0	25-04-24 17:31:37.394870
12.599	0.064	250	250	379621.7	381900.7	381971.7	380674.7	453994.1	454700.1	454250.2	454647.5	0.0647642567	21.8417058	1714059104.1754682	6	47.0	25-04-24 17:31:44.175562
13.199	0.067	250	250	756635.8	759651.0	760046.3	758570.9	905832.1	906105.8	905558.8	905804.6	0.129308279	21.7544089	1714059110.9566317	6	47.0	25-04-24 17:31:50.956690
13.799	0.07	250	250	1133128.0	1136884.0	1137601.0	1135941.0	1357021.0	1356861.0	1356214.0	1356252.0	0.193773404	21.6807193	1714059117.7411923	6	47.0	25-04-24 17:31:57.741244
14.399	0.073	250	250	1509964.0	1514470.0	1515500.0	1513660.0	1808677.0	1808071.0	1807330.0	1807208.0	0.258293163	21.6558047	1714059124.5253017	6	47.0	25-04-24 17:32:04.525357
14.998	0.076	250	250	1886629.0	1891867.0	1893227.0	1891197.0	2260131.0	2259081.0	2258315.0	2257986.0	0.322781028	21.59256	1714059131.3076994	6	47.0	25-04-24 17:32:11.307750
15.599	0.079	250	250	2264013.0	2270003.0	2271684.0	2269469.0	2712410.0	2710951.0	2710094.0	2709563.0	0.387393445	21.6236074	1714059138.0888486	6	47.0	25-04-24 17:32:18.088901
16.2	0.082	250	250	2640962.0	2647688.0	2649680.0	2647291.0	3164152.0	3162282.0	3161354.0	3160625.0	0.451929115	21.5033466	1714059144.8731287	6	47.0	25-04-24 17:32:24.873182
16.799	0.085	250	250	3017542.0	3024992.0	3027333.0	3024744.0	3615517.0	3613218.0	3612190.0	3611280.0	0.516409863	21.4481512	1714059151.656585	6	47.0	25-04-24 17:32:31.656635
17.399	0.088	250	250	3394436.0	3402644.0	3405298.0	3402522.0	4067309.0	4064601.0	4063492.0	4062369.0	0.580942114	21.3765697	1714059158.4390259	6	47.0	25-04-24 17:32:38.439080
17.999	0.092	250	250	3771288.0	3780232.0	3783209.0	3780238.0	4518910.0	4515734.0	4514564.0	4513315.0	0.645466282	21.358267	1714059165.2198455	6	47.0	25-04-24 17:32:45.219897
18.599	0.095	250	250	4148143.0	4157827.0	4161119.0	4157993.0	4970609.0	4967012.0	4965751.0	4964279.0	0.709991213	21.4080962	1714059172.0029354	6	47.0	25-04-24 17:32:52.002986
