# 
ch2a	ch2a avglen	Delay	a	
0.0	250.0	0.0	0	13-12-23 15:35:58.050165
0.0	250.0	0.0	0	13-12-23 15:35:58.072316
0.0	250.0	0.0	0	13-12-23 15:35:58.100705
0.0	250.0	0.0	0	13-12-23 15:35:58.127909
0.0	250.0	0.0	0	13-12-23 15:35:58.150517
0.0	250.0	0.0	0	13-12-23 15:35:58.172544
0.0	250.0	0.0	0	13-12-23 15:35:58.194763
0.0	250.0	0.0	0	13-12-23 15:35:58.216816
0.0	250.0	0.0	0	13-12-23 15:35:58.238903
0.0	250.0	0.0	0	13-12-23 15:35:58.260871
0.0	250.0	0.0	0	13-12-23 15:35:58.283044
0.0	250.0	0.0	0	13-12-23 15:35:58.305362
0.0	250.0	0.0	0	13-12-23 15:35:58.327307
0.0	250.0	0.0	0	13-12-23 15:35:58.349243
0.0	250.0	0.0	0	13-12-23 15:35:58.371545
0.0	250.0	0.0	0	13-12-23 15:35:58.393748
0.0	250.0	0.0	0	13-12-23 15:35:58.415585
0.0	250.0	0.0	0	13-12-23 15:35:58.438030
0.0	250.0	0.0	0	13-12-23 15:35:58.459847
0.0	250.0	0.0	0	13-12-23 15:35:58.482383
0.0	250.0	0.0	0	13-12-23 15:35:58.504675
0.0	250.0	0.0	0	13-12-23 15:35:58.527048
0.0	250.0	0.0	0	13-12-23 15:35:58.549467
0.0	250.0	0.0	0	13-12-23 15:35:58.571453
0.0	250.0	0.0	0	13-12-23 15:35:58.593742
0.0	250.0	0.0	0	13-12-23 15:35:58.615638
0.0	250.0	0.0	0	13-12-23 15:35:58.637488
0.0	250.0	0.0	0	13-12-23 15:35:58.659792
0.0	250.0	0.0	0	13-12-23 15:35:58.681650
0.0	250.0	0.0	0	13-12-23 15:35:58.703453
0.0	250.0	0.0	0	13-12-23 15:35:58.725691
0.0	250.0	0.0	0	13-12-23 15:35:58.747620
0.0	250.0	0.0	0	13-12-23 15:35:58.769453
0.0	250.0	0.0	0	13-12-23 15:35:58.792323
0.0	250.0	0.0	0	13-12-23 15:35:58.814218
0.0	250.0	0.0	0	13-12-23 15:35:58.836099
0.0	250.0	0.0	0	13-12-23 15:35:58.858696
0.0	250.0	0.0	0	13-12-23 15:35:58.881046
0.0	250.0	0.0	0	13-12-23 15:35:58.903288
0.0	250.0	0.0	0	13-12-23 15:35:58.925877
0.0	250.0	0.0	0	13-12-23 15:35:58.948216
0.0	250.0	0.0	0	13-12-23 15:35:58.970675
0.0	250.0	0.0	0	13-12-23 15:35:58.992834
0.0	250.0	0.0	0	13-12-23 15:35:59.014863
0.0	250.0	0.0	0	13-12-23 15:35:59.036671
0.0	250.0	0.0	0	13-12-23 15:35:59.059259
0.0	250.0	0.0	0	13-12-23 15:35:59.081753
0.0	250.0	0.0	0	13-12-23 15:35:59.104032
0.0	250.0	0.0	0	13-12-23 15:35:59.126253
0.0	250.0	0.0	0	13-12-23 15:35:59.148628
0.0	250.0	0.0	0	13-12-23 15:35:59.171246
0.0	250.0	0.0	0	13-12-23 15:35:59.194439
0.0	250.0	0.0	0	13-12-23 15:35:59.217078
0.0	250.0	0.0	0	13-12-23 15:35:59.239440
0.0	250.0	0.0	0	13-12-23 15:35:59.261832
0.0	250.0	0.0	0	13-12-23 15:35:59.283946
0.0	250.0	0.0	0	13-12-23 15:35:59.306118
0.0	250.0	0.0	0	13-12-23 15:35:59.328243
0.0	250.0	0.0	0	13-12-23 15:35:59.350136
0.0	250.0	0.0	0	13-12-23 15:35:59.372655
0.0	250.0	0.0	0	13-12-23 15:35:59.394953
0.0	250.0	0.0	0	13-12-23 15:35:59.417166
0.0	250.0	0.0	0	13-12-23 15:35:59.439414
0.0	250.0	0.0	0	13-12-23 15:35:59.462003
0.0	250.0	0.0	0	13-12-23 15:35:59.484796
0.0	250.0	0.0	0	13-12-23 15:35:59.507355
0.0	250.0	0.0	0	13-12-23 15:35:59.532640
0.0	250.0	0.0	0	13-12-23 15:35:59.555089
0.0	250.0	0.0	0	13-12-23 15:35:59.577740
0.0	250.0	0.0	0	13-12-23 15:35:59.600498
0.0	250.0	0.0	0	13-12-23 15:35:59.623015
