# 
Keysight V	Delay	
4.20208739e-07	0.0	18-12-23 13:38:54.598068
-3.38743628e-07	0.0	18-12-23 13:38:55.255167
2.86275911e-07	0.0	18-12-23 13:38:55.912734
-1.09769592e-06	0.0	18-12-23 13:38:56.570310
-5.17320639e-07	0.0	18-12-23 13:38:57.227684
6.43429932e-07	0.0	18-12-23 13:38:57.884934
7.77362618e-07	0.0	18-12-23 13:38:58.543383
-1.72271552e-06	0.0	18-12-23 13:38:59.201565
3.75564346e-07	0.0	18-12-23 13:38:59.859752
2.41631589e-07	0.0	18-12-23 13:39:00.517484
4.20208599e-07	0.0	18-12-23 13:39:01.174946
-5.61964955e-07	0.0	18-12-23 13:39:01.832450
-3.8338801e-07	0.0	18-12-23 13:39:02.490911
-3.38743758e-07	0.0	18-12-23 13:39:03.147905
6.43429789e-07	0.0	18-12-23 13:39:03.805401
-4.72676515e-07	0.0	18-12-23 13:39:04.463214
-1.6016675e-07	0.0	18-12-23 13:39:05.120699
-2.048112e-07	0.0	18-12-23 13:39:05.778349
-1.23162898e-06	0.0	18-12-23 13:39:06.435508
-1.54413874e-06	0.0	18-12-23 13:39:07.093655
-2.0352255e-06	0.0	18-12-23 13:39:07.751767
-5.1732096e-07	0.0	18-12-23 13:39:08.409220
-5.1732096e-07	0.0	18-12-23 13:39:09.066144
-6.5125365e-07	0.0	18-12-23 13:39:09.723784
-1.09769617e-06	0.0	18-12-23 13:39:10.380130
6.30543753e-08	0.0	18-12-23 13:39:11.037923
-4.28032392e-07	0.0	18-12-23 13:39:11.696053
-5.61965147e-07	0.0	18-12-23 13:39:12.354496
-1.27627317e-06	0.0	18-12-23 13:39:13.011918
-1.36556168e-06	0.0	18-12-23 13:39:13.669116
-9.63763411e-07	0.0	18-12-23 13:39:14.327098
-2.62341279e-08	0.0	18-12-23 13:39:14.983221
-7.85186405e-07	0.0	18-12-23 13:39:15.641916
-1.05305191e-06	0.0	18-12-23 13:39:16.298862
2.41631313e-07	0.0	18-12-23 13:39:16.957382
-2.49455452e-07	0.0	18-12-23 13:39:17.615829
-5.61965211e-07	0.0	18-12-23 13:39:18.273729
-9.19119221e-07	0.0	18-12-23 13:39:18.930776
-6.95897965e-07	0.0	18-12-23 13:39:19.588410
-1.09769635e-06	0.0	18-12-23 13:39:20.246280
-1.60167082e-07	0.0	18-12-23 13:39:20.904307
-6.06609589e-07	0.0	18-12-23 13:39:21.562349
-1.0530521e-06	0.0	18-12-23 13:39:22.220232
-4.72676837e-07	0.0	18-12-23 13:39:22.879181
-1.99058136e-06	0.0	18-12-23 13:39:23.537262
-1.27627347e-06	0.0	18-12-23 13:39:24.194508
-1.05305222e-06	0.0	18-12-23 13:39:24.852490
-7.40542467e-07	0.0	18-12-23 13:39:25.510593
-1.27627347e-06	0.0	18-12-23 13:39:26.168789
-1.58878322e-06	0.0	18-12-23 13:39:26.826650
-1.09769653e-06	0.0	18-12-23 13:39:27.483726
-1.36556203e-06	0.0	18-12-23 13:39:28.141081
-9.63763779e-07	0.0	18-12-23 13:39:28.798990
-1.14234078e-06	0.0	18-12-23 13:39:29.456720
-1.23162928e-06	0.0	18-12-23 13:39:30.114730
-7.8518678e-07	0.0	18-12-23 13:39:30.772335
-8.29831092e-07	0.0	18-12-23 13:39:31.429971
-5.61965594e-07	0.0	18-12-23 13:39:32.087626
-8.74475341e-07	0.0	18-12-23 13:39:32.745492
-4.72677095e-07	0.0	18-12-23 13:39:33.402939
-1.23162934e-06	0.0	18-12-23 13:39:34.060293
-4.72677224e-07	0.0	18-12-23 13:39:34.718508
3.30919258e-07	0.0	18-12-23 13:39:35.376678
-7.40542718e-07	0.0	18-12-23 13:39:36.035146
-6.06609971e-07	0.0	18-12-23 13:39:36.692969
6.30537641e-08	0.0	18-12-23 13:39:37.351455
-6.5125422e-07	0.0	18-12-23 13:39:38.008712
-4.2803304e-07	0.0	18-12-23 13:39:38.666453
-9.19119776e-07	0.0	18-12-23 13:39:39.324970
-2.49456045e-07	0.0	18-12-23 13:39:39.983167
-1.14234102e-06	0.0	18-12-23 13:39:40.640860
-9.63764024e-07	0.0	18-12-23 13:39:41.299222
5.09496042e-07	0.0	18-12-23 13:39:41.957192
1.84093123e-08	0.0	18-12-23 13:39:42.614422
-3.38744673e-07	0.0	18-12-23 13:39:43.272774
-1.49949512e-06	0.0	18-12-23 13:39:43.930400
-2.49456177e-07	0.0	18-12-23 13:39:44.588361
-1.14234114e-06	0.0	18-12-23 13:39:45.246094
-1.54413949e-06	0.0	18-12-23 13:39:45.903305
-1.09769701e-06	0.0	18-12-23 13:39:46.560399
-1.09769701e-06	0.0	18-12-23 13:39:47.219006
-1.60167813e-07	0.0	18-12-23 13:39:47.877422
-1.276274e-06	0.0	18-12-23 13:39:48.534408
3.30918701e-07	0.0	18-12-23 13:39:49.192815
-1.05305295e-06	0.0	18-12-23 13:39:49.850496
-1.36556267e-06	0.0	18-12-23 13:39:50.508768
3.30918701e-07	0.0	18-12-23 13:39:51.166803
9.55938155e-07	0.0	18-12-23 13:39:51.824809
-1.18698569e-06	0.0	18-12-23 13:39:52.482412
-8.29831838e-07	0.0	18-12-23 13:39:53.140123
-7.40543345e-07	0.0	18-12-23 13:39:53.797680
-1.09769731e-06	0.0	18-12-23 13:39:54.454978
3.75562808e-07	0.0	18-12-23 13:39:55.112583
-1.60168146e-07	0.0	18-12-23 13:39:55.769916
-7.40543471e-07	0.0	18-12-23 13:39:56.427771
6.43428142e-07	0.0	18-12-23 13:39:57.084557
1.26844758e-06	0.0	18-12-23 13:39:57.742689
1.5234144e-07	0.0	18-12-23 13:39:58.399735
-5.17322243e-07	0.0	18-12-23 13:39:59.057232
7.32716633e-07	0.0	18-12-23 13:39:59.714544
-1.27627448e-06	0.0	18-12-23 13:40:00.371727
-0.315269701	0.0	18-12-23 13:40:01.028146
-0.285867795	0.0	18-12-23 13:40:01.685324
-0.880933558	0.0	18-12-23 13:40:02.342249
-1.46079771	0.0	18-12-23 13:40:02.998405
-1.76260167	0.0	18-12-23 13:40:03.655041
-2.04579	0.0	18-12-23 13:40:04.310825
-2.25886831	0.0	18-12-23 13:40:04.967601
-2.49667274	0.0	18-12-23 13:40:05.624259
-3.24892505	0.0	18-12-23 13:40:06.280631
-3.51113656	0.0	18-12-23 13:40:06.937009
-2.91700266	0.0	18-12-23 13:40:07.593522
-2.68440601	0.0	18-12-23 13:40:08.251053
-2.68439677	0.0	18-12-23 13:40:08.908493
-2.68439578	0.0	18-12-23 13:40:09.565749
-2.68438418	0.0	18-12-23 13:40:10.223097
-2.68438593	0.0	18-12-23 13:40:10.880217
-2.68439053	0.0	18-12-23 13:40:11.536266
-2.68438999	0.0	18-12-23 13:40:12.193630
-2.68437606	0.0	18-12-23 13:40:12.849372
-2.68437986	0.0	18-12-23 13:40:13.506989
-2.68438486	0.0	18-12-23 13:40:14.163134
-2.68437937	0.0	18-12-23 13:40:14.819240
-2.68437464	0.0	18-12-23 13:40:15.476125
-2.68437719	0.0	18-12-23 13:40:16.132941
-2.68437045	0.0	18-12-23 13:40:16.790768
-2.68438138	0.0	18-12-23 13:40:17.447289
-2.68437692	0.0	18-12-23 13:40:18.104280
-2.68436509	0.0	18-12-23 13:40:18.761735
-2.68435808	0.0	18-12-23 13:40:19.418100
-2.68436308	0.0	18-12-23 13:40:20.074725
-2.68437018	0.0	18-12-23 13:40:20.732133
-2.6843629	0.0	18-12-23 13:40:21.389613
-2.6843611	0.0	18-12-23 13:40:22.045919
0.00128903165	0.0	18-12-23 13:40:22.703088
0.00179659206	0.0	18-12-23 13:40:23.360151
0.00109277556	0.0	18-12-23 13:40:24.018321
0.00134354227	0.0	18-12-23 13:40:24.675105
0.00184275418	0.0	18-12-23 13:40:25.332918
0.00136059636	0.0	18-12-23 13:40:25.990934
0.000909466282	0.0	18-12-23 13:40:26.648334
0.000859062932	0.0	18-12-23 13:40:27.305177
0.00176824294	0.0	18-12-23 13:40:27.962306
0.00168020449	0.0	18-12-23 13:40:28.619253
0.00187190684	0.0	18-12-23 13:40:29.276298
0.00116684032	0.0	18-12-23 13:40:29.934070
0.00159381785	0.0	18-12-23 13:40:30.591919
0.00154345915	0.0	18-12-23 13:40:31.248902
0.000860759396	0.0	18-12-23 13:40:31.905701
0.000903662507	0.0	18-12-23 13:40:32.562564
0.000882143982	0.0	18-12-23 13:40:33.219287
0.000956298068	0.0	18-12-23 13:40:33.876647
0.000677316201	0.0	18-12-23 13:40:34.534151
0.000542535235	0.0	18-12-23 13:40:35.191991
0.000731782176	0.0	18-12-23 13:40:35.848523
0.000262437258	0.0	18-12-23 13:40:36.505319
0.000293465006	0.0	18-12-23 13:40:37.162220
0.000216185824	0.0	18-12-23 13:40:37.819381
0.000207256976	0.0	18-12-23 13:40:38.476060
0.000248151101	0.0	18-12-23 13:40:39.133039
0.000448559094	0.0	18-12-23 13:40:39.789902
0.000729505301	0.0	18-12-23 13:40:40.446609
0.000234088162	0.0	18-12-23 13:40:41.103707
0.000953976543	0.0	18-12-23 13:40:41.761109
0.00088741198	0.0	18-12-23 13:40:42.419163
0.00056432161	0.0	18-12-23 13:40:43.076140
0.00127117385	0.0	18-12-23 13:40:43.733618
0.00127679902	0.0	18-12-23 13:40:44.391022
0.000935984896	0.0	18-12-23 13:40:45.048069
0.000672360659	0.0	18-12-23 13:40:45.705248
0.00149104673	0.0	18-12-23 13:40:46.362090
0.001391624	0.0	18-12-23 13:40:47.019281
0.00143135737	0.0	18-12-23 13:40:47.676548
0.00134202425	0.0	18-12-23 13:40:48.333695
0.00200941099	0.0	18-12-23 13:40:48.990972
0.00144300952	0.0	18-12-23 13:40:49.648177
0.00123769066	0.0	18-12-23 13:40:50.305553
0.000965628658	0.0	18-12-23 13:40:50.962192
0.000812856072	0.0	18-12-23 13:40:51.619280
0.000899555184	0.0	18-12-23 13:40:52.276359
0.000700397233	0.0	18-12-23 13:40:52.933383
0.000803927224	0.0	18-12-23 13:40:53.591400
0.00111112422	0.0	18-12-23 13:40:54.248279
0.001279433	0.0	18-12-23 13:40:54.905482
0.00204843001	0.0	18-12-23 13:40:55.562661
0.00136720357	0.0	18-12-23 13:40:56.219703
0.00157979944	0.0	18-12-23 13:40:56.877654
0.00135778364	0.0	18-12-23 13:40:57.534685
0.00154319113	0.0	18-12-23 13:40:58.191396
0.00233151908	0.0	18-12-23 13:40:58.848141
0.00239036019	0.0	18-12-23 13:40:59.505958
0.00175426909	0.0	18-12-23 13:41:00.163297
0.00164582823	0.0	18-12-23 13:41:00.820731
0.00146702804	0.0	18-12-23 13:41:01.477820
0.000880045612	0.0	18-12-23 13:41:02.134720
0.00100777277	0.0	18-12-23 13:41:02.792758
0.00115585771	0.0	18-12-23 13:41:03.450246
0.00104179168	0.0	18-12-23 13:41:04.107577
0.00103259497	0.0	18-12-23 13:41:04.764682
0.00120429669	0.0	18-12-23 13:41:05.421398
0.00147930519	0.0	18-12-23 13:41:06.078596
0.00161422007	0.0	18-12-23 13:41:06.735792
0.0011852336	0.0	18-12-23 13:41:07.392769
0.00123099394	0.0	18-12-23 13:41:08.049649
0.00175949241	0.0	18-12-23 13:41:08.707225
0.00163685469	0.0	18-12-23 13:41:09.364084
0.00130113003	0.0	18-12-23 13:41:10.021594
0.00176226035	0.0	18-12-23 13:41:10.679222
0.00143091083	0.0	18-12-23 13:41:11.337818
0.00153658373	0.0	18-12-23 13:41:11.994848
0.0014956896	0.0	18-12-23 13:41:12.651936
0.00155457535	0.0	18-12-23 13:41:13.308950
0.000920136113	0.0	18-12-23 13:41:13.965521
0.000878304464	0.0	18-12-23 13:41:14.623017
0.00130465692	0.0	18-12-23 13:41:15.280610
0.00108299827	0.0	18-12-23 13:41:15.938309
0.0016748469	0.0	18-12-23 13:41:16.595751
0.00149555565	0.0	18-12-23 13:41:17.253382
0.0020009284	0.0	18-12-23 13:41:17.911122
0.00137340902	0.0	18-12-23 13:41:18.568805
0.00152586909	0.0	18-12-23 13:41:19.226898
0.00187931747	0.0	18-12-23 13:41:19.884133
0.00217088896	0.0	18-12-23 13:41:20.542188
0.00218343399	0.0	18-12-23 13:41:21.199782
0.00189668407	0.0	18-12-23 13:41:21.857169
0.00161207708	0.0	18-12-23 13:41:22.514203
0.00172998247	0.0	18-12-23 13:41:23.171456
0.00175337605	0.0	18-12-23 13:41:23.829196
0.00161350566	0.0	18-12-23 13:41:24.487476
0.00222147084	0.0	18-12-23 13:41:25.148311
