# keith - ch2, keys - ch1
Keithley V	Keysight V	hvpsu1	hvpsu2	hvpsu3	hvpsu4	Delay	a	b	
249.792892	249.973876	0.0	-1000.0	0.0	-1000.0	2.0	0.0	-1000.0	19-12-23 18:42:06.894341
245.234673	237.810205	1613.4	613.4000000000001	1613.4	613.4000000000001	2.0	1613.4	-1000.0	19-12-23 18:42:10.171006
232.934101	225.498758	3226.8	2226.8	3226.8	2226.8	2.0	3226.8	-1000.0	19-12-23 18:42:13.330980
220.624139	213.176518	4840.2	3840.2	4840.2	3840.2	2.0	4840.2	-1000.0	19-12-23 18:42:16.523285
208.320121	200.865172	6453.6	5453.6	6453.6	5453.6	2.0	6453.6	-1000.0	19-12-23 18:42:19.694740
196.008859	188.54439	8067.0	7067.0	8067.0	7067.0	2.0	8067.0	-1000.0	19-12-23 18:42:22.970696
183.704598	176.230826	9680.4	8680.4	9680.4	8680.4	2.0	9680.4	-1000.0	19-12-23 18:42:26.153628
171.402911	163.920674	11293.8	10293.8	11293.8	10293.8	2.0	11293.8	-1000.0	19-12-23 18:42:29.422247
159.092857	151.598273	12907.2	11907.2	12907.2	11907.2	2.0	12907.2	-1000.0	19-12-23 18:42:32.698948
146.787686	139.286844	14520.6	13520.6	14520.6	13520.6	2.0	14520.6	-1000.0	19-12-23 18:42:35.975770
134.479172	126.969234	16134.0	15134.0	16134.0	15134.0	2.0	16134.0	-1000.0	19-12-23 18:42:39.252521
122.174253	114.654842	17747.4	16747.4	17747.4	16747.4	2.0	17747.4	-1000.0	19-12-23 18:42:42.529578
109.872251	102.343206	19360.8	18360.8	19360.8	18360.8	2.0	19360.8	-1000.0	19-12-23 18:42:45.805852
97.564761	90.021456	20974.2	19974.2	20974.2	19974.2	2.0	20974.2	-1000.0	19-12-23 18:42:49.082918
85.2605578	77.7107625	22587.6	21587.6	22587.6	21587.6	2.0	22587.6	-1000.0	19-12-23 18:42:52.359658
72.9507852	65.3908961	24201.0	23201.0	24201.0	23201.0	2.0	24201.0	-1000.0	19-12-23 18:42:55.636553
60.6462296	53.076892	25814.4	24814.4	25814.4	24814.4	2.0	25814.4	-1000.0	19-12-23 18:42:58.810919
48.3464184	40.7676709	27427.8	26427.8	27427.8	26427.8	2.0	27427.8	-1000.0	19-12-23 18:43:02.087614
36.036731	28.4468128	29041.2	28041.2	29041.2	28041.2	2.0	29041.2	-1000.0	19-12-23 18:43:05.364495
23.7328233	16.13645	30654.6	29654.6	30654.6	29654.6	2.0	30654.6	-1000.0	19-12-23 18:43:08.641275
11.4265675	3.8202345	32268.0	31268.0	32268.0	31268.0	2.0	32268.0	-1000.0	19-12-23 18:43:11.918070
-0.875993413	-8.49312741	33881.4	32881.4	33881.4	32881.4	2.0	33881.4	-1000.0	19-12-23 18:43:15.194718
-13.1776218	-20.8049638	35494.8	34494.8	35494.8	34494.8	2.0	35494.8	-1000.0	19-12-23 18:43:18.471693
-25.4839678	-33.1261098	37108.2	36108.2	37108.2	36108.2	2.0	37108.2	-1000.0	19-12-23 18:43:21.644954
-37.7871135	-45.4352463	38721.6	37721.6	38721.6	37721.6	2.0	38721.6	-1000.0	19-12-23 18:43:24.820216
-50.0967088	-57.7541389	40335.0	39335.0	40335.0	39335.0	2.0	40335.0	-1000.0	19-12-23 18:43:28.097326
-62.4008459	-70.0682022	41948.4	40948.4	41948.4	40948.4	2.0	41948.4	-1000.0	19-12-23 18:43:31.271690
-74.7008637	-82.3783622	43561.8	42561.8	43561.8	42561.8	2.0	43561.8	-1000.0	19-12-23 18:43:34.406004
-87.0112267	-94.7002669	45175.2	44175.2	45175.2	44175.2	2.0	45175.2	-1000.0	19-12-23 18:43:37.723083
-99.3159336	-107.011669	46788.6	45788.6	46788.6	45788.6	2.0	46788.6	-1000.0	19-12-23 18:43:40.920158
-111.623421	-119.328877	48402.0	47402.0	48402.0	47402.0	2.0	48402.0	-1000.0	19-12-23 18:43:44.071670
-123.926583	-131.642768	50015.4	49015.4	50015.4	49015.4	2.0	50015.4	-1000.0	19-12-23 18:43:47.348867
-136.230873	-143.957082	51628.8	50628.8	51628.8	50628.8	2.0	51628.8	-1000.0	19-12-23 18:43:50.625273
-148.538479	-156.280193	53242.2	52242.2	53242.2	52242.2	2.0	53242.2	-1000.0	19-12-23 18:43:53.823440
-160.843931	-168.589952	54855.6	53855.6	54855.6	53855.6	2.0	54855.6	-1000.0	19-12-23 18:43:56.941427
-173.155327	-180.911544	56469.0	55469.0	56469.0	55469.0	2.0	56469.0	-1000.0	19-12-23 18:44:00.250798
-185.458194	-193.226986	58082.4	57082.4	58082.4	57082.4	2.0	58082.4	-1000.0	19-12-23 18:44:03.527615
-197.761743	-205.537856	59695.8	58695.8	59695.8	58695.8	2.0	59695.8	-1000.0	19-12-23 18:44:06.702025
-210.073123	-217.859236	61309.2	60309.2	61309.2	60309.2	2.0	61309.2	-1000.0	19-12-23 18:44:09.978823
-222.379161	-230.172337	62922.6	61922.6	62922.6	61922.6	2.0	62922.6	-1000.0	19-12-23 18:44:13.255405
-234.686044	-242.487982	64536.0	63536.0	64536.0	63536.0	2.0	64536.0	-1000.0	19-12-23 18:44:16.429297
