# 
Voltage 1	Current 1	ch1a avglen	ch1b avglen	ch1a	ch2a	ch3a	ch4a	ch1b	ch2b	ch3b	ch4b	VDC1	temp_pt100	time	Delay	a	
0.081	0.0	250	250	-7450718.0	-7463835.0	-7470724.0	-7468399.0	-8388608.0	-8388608.0	-8388608.0	-8388608.0	9.9e+37	21.4534216	1713957247.667519	6	34.0	24-04-24 13:14:07.667580
0.6	0.002	250	250	-7153864.0	-7166351.0	-7172862.0	-7170373.0	-8388608.0	-8388608.0	-8388608.0	-8388608.0	9.9e+37	21.3280821	1713957254.4389691	6	34.0	24-04-24 13:14:14.439029
1.2	0.005	250	250	-6778860.0	-6790611.0	-6796742.0	-6794490.0	-8124517.0	-8115629.0	-8114614.0	-8110598.0	-1.16082558	21.3339274	1713957261.2198539	6	34.0	24-04-24 13:14:21.219905
1.8	0.008	250	250	-6402961.0	-6413972.0	-6419796.0	-6417710.0	-7674057.0	-7665598.0	-7664655.0	-7660831.0	-1.09644868	21.2676163	1713957268.0251658	6	34.0	24-04-24 13:14:28.025223
2.401	0.011	250	250	-6025795.0	-6036044.0	-6041558.0	-6039670.0	-7221682.0	-7213649.0	-7212764.0	-7209142.0	-1.03181455	21.2309152	1713957274.8043044	6	34.0	24-04-24 13:14:34.804356
3.001	0.014	250	250	-5649171.0	-5658706.0	-5663867.0	-5662179.0	-6769958.0	-6762322.0	-6761524.0	-6758074.0	-0.967270895	21.1611543	1713957281.5876205	6	34.0	24-04-24 13:14:41.587671
3.6	0.018	250	250	-5272708.0	-5281498.0	-5286282.0	-5284831.0	-6318700.0	-6311536.0	-6310819.0	-6307558.0	-0.902812438	21.1640291	1713957288.37114	6	34.0	24-04-24 13:14:48.371199
4.2	0.021	250	250	-4895861.0	-4903937.0	-4908395.0	-4907110.0	-5867270.0	-5860578.0	-5859929.0	-5856803.0	-0.838325797	21.1702577	1713957295.153881	6	34.0	24-04-24 13:14:55.153937
4.8	0.024	250	250	-4519287.0	-4526620.0	-4530745.0	-4529655.0	-5415726.0	-5409429.0	-5408826.0	-5405968.0	-0.773808168	21.1540633	1713957301.9353063	6	34.0	24-04-24 13:15:01.935365
5.4	0.027	250	250	-4142244.0	-4148840.0	-4152674.0	-4151723.0	-4963889.0	-4958001.0	-4957525.0	-4954816.0	-0.709265043	21.0496136	1713957308.715752	6	34.0	24-04-24 13:15:08.715803
6.0	0.03	250	250	-3765636.0	-3771493.0	-3774999.0	-3774250.0	-4512700.0	-4507279.0	-4506850.0	-4504346.0	-0.644799911	21.1118043	1713957315.4971647	6	34.0	24-04-24 13:15:15.497215
6.6	0.033	250	250	-3388581.0	-3393691.0	-3396870.0	-3396308.0	-4060900.0	-4055869.0	-4055528.0	-4053199.0	-0.580260031	21.0648499	1713957322.278987	6	34.0	24-04-24 13:15:22.279044
7.199	0.036	250	250	-3011988.0	-3016362.0	-3019214.0	-3018835.0	-3609830.0	-3605250.0	-3605008.0	-3602859.0	-0.515814054	21.1088337	1713957329.0636332	6	34.0	24-04-24 13:15:29.063684
7.8	0.039	250	250	-2634590.0	-2638225.0	-2640757.0	-2640573.0	-3157858.0	-3153683.0	-3153506.0	-3151568.0	-0.451240255	21.120716	1713957335.8443606	6	34.0	24-04-24 13:15:35.844420
8.4	0.042	250	250	-2258152.0	-2261047.0	-2263225.0	-2263249.0	-2706625.0	-2702923.0	-2702825.0	-2701085.0	-0.386784488	21.1412227	1713957342.6288433	6	34.0	24-04-24 13:15:42.628901
8.999	0.045	250	250	-1881713.0	-1883866.0	-1885719.0	-1885930.0	-2255654.0	-2252377.0	-2252334.0	-2250796.0	-0.322354773	21.174474	1713957349.4339695	6	34.0	24-04-24 13:15:49.434028
9.599	0.048	250	250	-1504759.0	-1506167.0	-1507717.0	-1508094.0	-1804058.0	-1801193.0	-1801236.0	-1799886.0	-0.257842479	21.1888478	1713957356.23787	6	34.0	24-04-24 13:15:56.237922
10.199	0.051	250	250	-1127753.0	-1128422.0	-1129647.0	-1130210.0	-1352284.0	-1349854.0	-1349988.0	-1348801.0	-0.19329857	21.1662331	1713957363.015388	6	34.0	24-04-24 13:16:03.015440
10.8	0.054	250	250	-750550.1	-750481.1	-751375.9	-752126.6	-900290.3	-898289.1	-898501.8	-897518.8	-0.128724261	21.2658914	1713957369.7953777	6	34.0	24-04-24 13:16:09.795437
11.4	0.058	250	250	-373849.3	-373039.1	-373618.5	-374553.1	-448858.1	-447278.1	-447579.4	-446773.7	-0.0642288143	21.2814151	1713957376.5759766	6	34.0	24-04-24 13:16:16.576042
12.0	0.061	250	250	3111.044	4658.452	4408.492	3290.268	2828.18	3971.248	3590.744	4195.72	0.000299698051	21.2994303	1713957383.359214	6	34.0	24-04-24 13:16:23.359273
