# 
focus_V	E+P_V	anode_v	focus_I	E+P_I	anode_I	time	Delay	
0	0	0.15645709600000002	3.2320259900000004e-10	4.27387234e-10	0.00025413238562	1713172520.0770974	0.1	15-04-24 11:15:20.077146
0	0	0.014440475099999999	4.2095869e-11	3.9006091099999996e-10	0.00025415195264	1713172520.8539205	0.1	15-04-24 11:15:20.853974
0	0	-0.07171727010000001	2.27169144e-11	5.43098835e-10	0.00025421065238	1713172521.626694	0.1	15-04-24 11:15:21.626709
0	0	0.0489558125	2.13105074e-10	5.46831468e-10	0.00025422705668	1713172522.4017794	0.1	15-04-24 11:15:22.401824
0	0	-0.00444034739	1.02873283e-10	2.93012472e-10	0.00025422824269999997	1713172523.1764376	0.1	15-04-24 11:15:23.176486
0	0	0.000335829039	5.62384417e-11	2.1835982600000002e-10	0.00025424128694	1713172523.954647	0.1	15-04-24 11:15:23.954701
0	0	0.028880945999999998	1.18268997e-10	2.48220884e-10	0.00025431303158	1713172524.7339537	0.1	15-04-24 11:15:24.734002
0	0	0.00238809235	6.46523986e-11	2.81814575e-10	0.00025431915836	1713172525.5089462	0.1	15-04-24 11:15:25.508991
0	0	0.050970762	1.55639497e-10	3.52734588e-10	0.00025437528938	1713172526.287508	0.1	15-04-24 11:15:26.287589
0	0	0.06899336519999999	4.14245068e-11	4.64713557e-10	0.00025437588205999995	1713172527.0637991	0.1	15-04-24 11:15:27.063847
0	0	0.07787406829999999	4.63028769e-11	4.75911454e-10	0.00025440710996	1713172527.8384578	0.1	15-04-24 11:15:27.838509
0	0	0.0299257346	1.38543123e-10	4.75911454e-10	0.00025441560812	1713172528.6183913	0.1	15-04-24 11:15:28.618439
0	0	0.011007598200000001	9.3653765e-11	5.39366203e-10	0.00025438635691999996	1713172529.3926241	0.1	15-04-24 11:15:29.392672
0	0	0.0244779083	1.70901055e-10	2.59418781e-10	0.0002544219329	1713172530.1677089	0.1	15-04-24 11:15:30.167755
0	0	0.022500272800000002	8.61349094e-11	5.505641e-10	0.00025439900648	1713172530.946812	0.1	15-04-24 11:15:30.946862
0	0	-0.00802247971	3.26648778e-10	6.140188489999999e-10	0.00025435038626	1713172531.721763	0.1	15-04-24 11:15:31.721808
0	0	0.013097175400000001	1.56266208e-10	8.00650464e-10	0.00025441896818	1713172532.4970222	0.1	15-04-24 11:15:32.497077
0	0	0.021492798100000002	1.00904155e-10	3.52734588e-10	0.00025438042814000003	1713172533.2729492	0.1	15-04-24 11:15:33.272997
0	0	-0.06720229080000001	4.15593957e-09	2.48220884e-10	5.210026940000021e-07	1713172534.9716027	0.1	15-04-24 11:15:34.971627
0	0	0.0713068257	-3.53303829e-11	4.57248293e-10	5.309541740000014e-07	1713172535.7722383	0.1	15-04-24 11:15:35.772290
0	0	0.0065299328500000005	6.41154362e-11	5.43098835e-10	5.380483160000052e-07	1713172536.5567997	0.1	15-04-24 11:15:36.556852
0	0	-0.00194031754	1.29457874e-10	4.83376719e-10	5.46792854000001e-07	1713172537.3338077	0.1	15-04-24 11:15:37.333856
0	0	-0.0243659584	1.81463293e-10	4.12456705e-10	5.550939380000015e-07	1713172538.1140592	0.1	15-04-24 11:15:38.114106
0	0	-0.00880607116	1.9533737200000003e-10	4.31119867e-10	5.712527840000023e-07	1713172538.8937643	0.1	15-04-24 11:15:38.893813
0	0	-0.0238435641	1.31606059e-10	4.57248293e-10	5.923381340000041e-07	1713172539.6706634	0.1	15-04-24 11:15:39.670710
0	0	-0.166009441	6.02664423e-11	4.87109351e-10	5.84874524000003e-07	1713172540.4501336	0.1	15-04-24 11:15:40.450184
0	0	-0.0021268869300000003	7.0381093e-11	5.05772513e-10	5.901704960000013e-07	1713172541.2272758	0.1	15-04-24 11:15:41.227327
0	0	0.0056343997699999995	3.03700409e-11	5.9908832e-10	5.909587339999987e-07	1713172542.0086288	0.1	15-04-24 11:15:42.008681
0	0	0.00611948018	-3.1929047e-11	4.64713557e-10	6.043340960000071e-07	1713172542.7857072	0.1	15-04-24 11:15:42.785753
0	0	0.0671276713	2.11057369e-11	3.63932485e-10	5.932988300000035e-07	1713172543.5632143	0.1	15-04-24 11:15:43.563259
0	0	-0.0396646486	5.77601214e-11	3.2287353e-10	5.990381240000088e-07	1713172544.3391976	0.1	15-04-24 11:15:44.339245
0	0	-0.0037313837000000002	2.20265855e-10	4.94574616e-10	6.08201431999998e-07	1713172545.1168745	0.1	15-04-24 11:15:45.116924
0	0	-0.053955864	7.05600773e-11	5.05772513e-10	6.099749180000016e-07	1713172545.89188	0.1	15-04-24 11:15:45.891971
0	0	-0.019030073800000002	-1.87263281e-11	5.24435674e-10	6.250499780000048e-07	1713172546.6692991	0.1	15-04-24 11:15:46.669352
0	0	0.017574840799999998	2.01658455e-11	1.9223140000000002e-10	6.112804640000041e-07	1713172547.4480963	0.1	15-04-24 11:15:47.448150
0	0	-0.029888412399999998	8.92676995e-11	2.93012472e-10	6.120440840000005e-07	1713172548.2256303	0.1	15-04-24 11:15:48.225677
0	0	-0.0109329622	1.17060611e-10	3.37804059e-10	6.155172020000049e-07	1713172548.9999418	0.1	15-04-24 11:15:48.999989
0	0	-0.00507468332	1.31382239e-10	5.09505145e-10	6.149999600000007e-07	1713172549.776617	0.1	15-04-24 11:15:49.776665
0	0	-0.00888069892	2.20355359e-10	4.4231776299999996e-10	6.216999499999987e-07	1713172550.552859	0.1	15-04-24 11:15:50.552935
0	0	-0.024552527799999998	1.18448018e-10	5.65494629e-10	6.205422439999972e-07	1713172551.3282406	0.1	15-04-24 11:15:51.328287
0	0	0.0146643583	5.3195096799999995e-11	5.87890423e-10	6.238675880000015e-07	1713172552.1052465	0.1	15-04-24 11:15:52.105294
0	0	-0.0258958274	9.82634362e-11	5.09505145e-10	6.284492419999995e-07	1713172552.8805983	0.1	15-04-24 11:15:52.880648
0	0	0.00820905737	9.36984172e-11	3.8259564700000003e-10	6.314790379999968e-07	1713172553.66017	0.1	15-04-24 11:15:53.660217
0	0	0.00455229729	1.38005955e-10	4.1992197e-10	6.340161440000037e-07	1713172554.438576	0.1	15-04-24 11:15:54.438622
0	0	0.00115673436	1.36484282e-10	6.812062299999999e-10	6.381297919999995e-07	1713172555.222451	0.1	15-04-24 11:15:55.222498
0	0	-0.0336198003	1.46017116e-10	3.26606162e-10	6.37243016000004e-07	1713172555.999815	0.1	15-04-24 11:15:55.999891
0	0	-0.0289928794	5.1852477799999996e-11	1.25044018e-10	6.380312540000014e-07	1713172556.7776632	0.1	15-04-24 11:15:56.777713
0	0	0.0585081654	1.5595282099999998e-10	4.1992197e-10	6.386963359999998e-07	1713172557.5633974	0.1	15-04-24 11:15:57.563446
0	0	-0.030298865100000003	7.69153291e-11	4.64713557e-10	6.445341680000032e-07	1713172558.3415623	0.1	15-04-24 11:15:58.341610
