# 
hvpsu1	hvpsu2	hvpsu3	hvpsu4	VDC	IDC	Delay	a	b	
0.0	-10.0	0.0	-10.0	-0.0429216582	0.00099576464	5.0	0.0	-10.0	18-06-24 15:02:57.738771
0.0	-9.0	0.0	-9.0	-0.0431052621	0.0008959806479999999	5.0	0.0	-9.0	18-06-24 15:03:04.935549
0.0	-8.0	0.0	-8.0	-0.0431037619	0.000795995143	5.0	0.0	-8.0	18-06-24 15:03:12.093619
0.0	-7.0	0.0	-7.0	-0.0431258036	0.000696258149	5.0	0.0	-7.0	18-06-24 15:03:19.264945
0.0	-6.0	0.0	-6.0	-0.0429223506	0.0005962914729999999	5.0	0.0	-6.0	18-06-24 15:03:26.454311
0.0	-5.0	0.0	-5.0	-0.0430260966	0.0004957750250000001	5.0	0.0	-5.0	18-06-24 15:03:33.715520
0.0	-4.0	0.0	-4.0	-0.042961241	0.000395835173	5.0	0.0	-4.0	18-06-24 15:03:40.872217
0.0	-3.0	0.0	-3.0	-0.0431848892	0.000296101167	5.0	0.0	-3.0	18-06-24 15:03:48.144688
0.0	-2.0	0.0	-2.0	-0.0430457149	0.000196133445	5.0	0.0	-2.0	18-06-24 15:03:55.320071
0.0	-1.0	0.0	-1.0	-0.0429315827	9.636671310000001e-05	5.0	0.0	-1.0	18-06-24 15:04:02.592503
0.0	0.0	0.0	0.0	-0.0430657948	-3.57941566e-06	5.0	0.0	0.0	18-06-24 15:04:10.072560
0.0	1.0	0.0	1.0	-0.0428213742	-0.000103420417	5.0	0.0	1.0	18-06-24 15:04:18.840995
0.0	2.0	0.0	2.0	-0.0429271975	-0.000203313571	5.0	0.0	2.0	18-06-24 15:04:26.036540
0.0	3.0	0.0	3.0	-0.0429745121	-0.000304042515	5.0	0.0	3.0	18-06-24 15:04:33.854246
0.0	4.0	0.0	4.0	-0.0431180717	-0.00040377794	5.0	0.0	4.0	18-06-24 15:04:40.993596
0.0	5.0	0.0	5.0	-0.043287135	-0.000503743719	5.0	0.0	5.0	18-06-24 15:04:48.173325
0.0	6.0	0.0	6.0	-0.0430872595	-0.0006035074630000001	5.0	0.0	6.0	18-06-24 15:04:55.445127
0.0	7.0	0.0	7.0	-0.043081374	-0.000703478921	5.0	0.0	7.0	18-06-24 15:05:02.748563
0.0	8.0	0.0	8.0	-0.0430634868	-0.0008031862520000001	5.0	0.0	8.0	18-06-24 15:05:10.176237
0.0	9.0	0.0	9.0	-0.0430754885	-0.00090312065	5.0	0.0	9.0	18-06-24 15:05:17.441976
0.0	10.0	0.0	10.0	-0.0430458303	-0.00100366153	5.0	0.0	10.0	18-06-24 15:05:24.740511
