# 
Voltage 1	Current 1	ch1a avglen	ch1b avglen	ch1a	ch2a	ch3a	ch4a	ch1b	ch2b	ch3b	ch4b	VDC	Delay	a	
0.102	0.0	250	250	-7430527.0	-7444156.0	-7451689.0	-7449449.0	-7444697.0	-7438920.0	-7438068.0	-7435597.0	-11.878222	6	4.0	13-12-23 17:16:42.823027
0.5	0.002	250	250	-7223799.0	-7236617.0	-7243290.0	-7240614.0	-7245479.0	-7239595.0	-7238562.0	-7235897.0	-11.4863161	6	4.0	13-12-23 17:16:49.998798
1.0	0.004	250	250	-6912200.0	-6924371.0	-6930808.0	-6928258.0	-6932908.0	-6927315.0	-6926271.0	-6923725.0	-10.9905621	6	4.0	13-12-23 17:16:57.372782
1.499	0.007	250	250	-6599121.0	-6610699.0	-6616850.0	-6614461.0	-6618931.0	-6613528.0	-6612539.0	-6610082.0	-10.4927258	6	4.0	13-12-23 17:17:04.636010
2.0	0.01	250	250	-6284841.0	-6295781.0	-6301665.0	-6299428.0	-6303707.0	-6298518.0	-6297606.0	-6295245.0	-9.99305539	6	4.0	13-12-23 17:17:11.992092
2.499	0.012	250	250	-5970944.0	-5981222.0	-5986816.0	-5984772.0	-5988912.0	-5983912.0	-5983050.0	-5980773.0	-9.49403708	6	4.0	13-12-23 17:17:19.187628
3.0	0.015	250	250	-5656373.0	-5666040.0	-5671324.0	-5669450.0	-5673384.0	-5668558.0	-5667790.0	-5665589.0	-8.99389434	6	4.0	13-12-23 17:17:26.731269
3.499	0.017	250	250	-5342573.0	-5351657.0	-5356658.0	-5354926.0	-5358670.0	-5354057.0	-5353349.0	-5351259.0	-8.4950451	6	4.0	13-12-23 17:17:33.927754
4.0	0.02	250	250	-5028187.0	-5036611.0	-5041354.0	-5039789.0	-5043346.0	-5038955.0	-5038311.0	-5036280.0	-7.99526819	6	4.0	13-12-23 17:17:41.290767
4.5	0.022	250	250	-4713898.0	-4721697.0	-4726160.0	-4724760.0	-4728151.0	-4723935.0	-4723363.0	-4721440.0	-7.49561165	6	4.0	13-12-23 17:17:48.664367
5.0	0.025	250	250	-4399437.0	-4406638.0	-4410808.0	-4409586.0	-4412785.0	-4408787.0	-4408298.0	-4406471.0	-6.99578099	6	4.0	13-12-23 17:17:55.930688
5.5	0.027	250	250	-4085244.0	-4091813.0	-4095692.0	-4094632.0	-4097691.0	-4093892.0	-4093462.0	-4091720.0	-6.49623389	6	4.0	13-12-23 17:18:03.294457
5.999	0.03	250	250	-3771301.0	-3777245.0	-3780856.0	-3779974.0	-3782814.0	-3779232.0	-3778869.0	-3777221.0	-5.99717128	6	4.0	13-12-23 17:18:10.783374
6.499	0.033	250	250	-3456991.0	-3462302.0	-3465634.0	-3464921.0	-3467585.0	-3464202.0	-3463912.0	-3462357.0	-5.49753937	6	4.0	13-12-23 17:18:17.961796
6.999	0.035	250	250	-3142930.0	-3147626.0	-3150675.0	-3150128.0	-3152620.0	-3149431.0	-3149205.0	-3147743.0	-4.99829911	6	4.0	13-12-23 17:18:25.310077
7.499	0.038	250	250	-2828154.0	-2832207.0	-2834989.0	-2834605.0	-2836935.0	-2833928.0	-2833780.0	-2832408.0	-4.49789488	6	4.0	13-12-23 17:18:32.779345
7.999	0.04	250	250	-2514250.0	-2517702.0	-2520178.0	-2519965.0	-2522119.0	-2519323.0	-2519226.0	-2517960.0	-3.99887702	6	4.0	13-12-23 17:18:40.061911
8.499	0.043	250	250	-2199883.0	-2202701.0	-2204907.0	-2204861.0	-2206806.0	-2204235.0	-2204199.0	-2203018.0	-3.49911762	6	4.0	13-12-23 17:18:47.323089
