# 
Voltage 1	Current 1	ch1a avglen	ch1b avglen	temp_pt100	time	VDC10	ch1a	ch2a	ch3a	ch4a	VDC1	ch1b	ch2b	ch3b	ch4b	Delay	a	
0.022	0.0	250	250	22.8368518	1714464818.62846	-11.9555211	-7453056.0	-7466143.0	-7472676.0	-7470223.0	9.9e+37	-8388608.0	-8388608.0	-8388608.0	-8388608.0	20	401.0039600396004	30-04-24 10:13:45.058444
0.6	0.002	250	250	22.7801232	1714464845.0962987	-11.3808385	-7156298.0	-7168910.0	-7175283.0	-7172835.0	9.9e+37	-8388608.0	-8388608.0	-8388608.0	-8388608.0	20	401.0039600396004	30-04-24 10:14:11.525004
1.2	0.006	250	250	22.7743737	1714464871.5624778	-10.7821	-6779769.0	-6791639.0	-6797740.0	-6795415.0	-1.16071956	-8123945.0	-8114997.0	-8113964.0	-8110052.0	20	401.0039600396004	30-04-24 10:14:38.002905
1.799	0.009	250	250	22.6368644	1714464898.0396109	-10.1835604	-6403372.0	-6414480.0	-6420274.0	-6418126.0	-1.09635248	-7673444.0	-7664915.0	-7663994.0	-7660196.0	20	401.0039600396004	30-04-24 10:15:04.481182
2.4	0.012	250	250	22.3608874	1714464924.5183609	-9.58339784	-6025933.0	-6036305.0	-6041778.0	-6039813.0	-1.03184362	-7221956.0	-7213845.0	-7212979.0	-7209397.0	20	401.0039600396004	30-04-24 10:15:30.961132
3.0	0.015	250	250	21.9762446	1714464950.9981377	-8.9843428	-5649158.0	-5658788.0	-5663934.0	-5662178.0	-0.967433976	-6771116.0	-6763471.0	-6762698.0	-6759258.0	20	401.0039600396004	30-04-24 10:15:57.441217
3.6	0.018	250	250	21.5849898	1714464977.4791667	-8.38560257	-5272581.0	-5281486.0	-5286278.0	-5284739.0	-0.903009495	-6320197.0	-6312988.0	-6312279.0	-6309062.0	20	401.0039600396004	30-04-24 10:16:23.919550
4.2	0.021	250	250	21.2510385	1714465003.9560344	-7.78630324	-4895698.0	-4903864.0	-4908272.0	-4906972.0	-0.838511173	-5868744.0	-5861975.0	-5861309.0	-5858277.0	20	401.0039600396004	30-04-24 10:16:50.397653
4.799	0.024	250	250	21.2929142	1714465030.4355726	-7.18752641	-4519143.0	-4526519.0	-4530650.0	-4529502.0	-0.774091216	-5417744.0	-5411433.0	-5410862.0	-5407992.0	20	401.0039600396004	30-04-24 10:17:16.878246
5.399	0.027	250	250	21.2656998	1714465056.9163275	-6.58781173	-4141987.0	-4148639.0	-4152431.0	-4151489.0	-0.709558315	-4966019.0	-4960115.0	-4959617.0	-4956939.0	20	401.0039600396004	30-04-24 10:17:43.358497
5.999	0.03	250	250	21.3229075	1714465083.3977711	-5.98896435	-3765339.0	-3771248.0	-3774724.0	-3773961.0	-0.645082668	-4514713.0	-4509233.0	-4508853.0	-4506370.0	20	401.0039600396004	30-04-24 10:18:09.837903
