# 
VDC	Voltage 1	Current 1	ch1a	ch2a	ch3a	ch4a	ch1b	ch2b	ch3b	ch4b	Delay	a	
-11.8950379	0.067	0.0	-11.83004	-7465914.0	-7472751.0	-7470093.0	-11.82448	-7443263.0	-7442143.0	-7439390.0	7.0	5.0	11-12-23 15:59:49.954157
-11.4875916	0.5	0.002	-11.46835	-7237737.0	-7244494.0	-7241784.0	-11.50303	-7240986.0	-7239845.0	-7237212.0	7.0	5.0	11-12-23 15:59:57.560120
-10.9918017	1.0	0.004	-10.9733	-6925214.0	-6931664.0	-6929115.0	-11.00646	-6928409.0	-6927349.0	-6924778.0	7.0	5.0	11-12-23 16:00:05.346026
-10.4939194	1.499	0.007	-10.47624	-6611447.0	-6617562.0	-6615188.0	-10.50794	-6614459.0	-6613442.0	-6610950.0	7.0	5.0	11-12-23 16:00:12.959199
-9.99418613	2.0	0.009	-9.97723	-6296428.0	-6302292.0	-6300068.0	-10.00748	-6299344.0	-6298448.0	-6296027.0	7.0	5.0	11-12-23 16:00:20.602702
-9.49511724	2.499	0.012	-9.478986	-5981912.0	-5987506.0	-5985454.0	-9.507721	-5984709.0	-5983860.0	-5981549.0	7.0	5.0	11-12-23 16:00:28.383249
-8.994948	3.0	0.015	-8.979528	-5666688.0	-5671988.0	-5670101.0	-9.006862	-5669366.0	-5668581.0	-5666352.0	7.0	5.0	11-12-23 16:00:36.654820
-8.49600664	3.5	0.017	-8.481431	-5352159.0	-5357207.0	-5355494.0	-8.507241	-5354821.0	-5354132.0	-5351994.0	7.0	5.0	11-12-23 16:00:44.197403
-7.9962111	4.0	0.02	-7.982363	-5037129.0	-5041871.0	-5040319.0	-8.006735	-5039688.0	-5039014.0	-5037007.0	7.0	5.0	11-12-23 16:00:52.025669
-7.49651335	4.5	0.022	-7.483387	-4722177.0	-4726642.0	-4725249.0	-7.506342	-4724614.0	-4724055.0	-4722126.0	7.0	5.0	11-12-23 16:00:59.720372
-6.99667165	5.0	0.025	-6.984438	-4407153.0	-4411336.0	-4410117.0	-7.005822	-4409478.0	-4408992.0	-4407145.0	7.0	5.0	11-12-23 16:01:07.270505
-6.49707176	5.5	0.027	-6.485543	-4092234.0	-4096158.0	-4095148.0	-6.505538	-4094477.0	-4094066.0	-4092312.0	7.0	5.0	11-12-23 16:01:14.824115
-5.99807647	5.999	0.03	-5.987276	-3777736.0	-3781355.0	-3780494.0	-6.005823	-3779886.0	-3779507.0	-3777863.0	7.0	5.0	11-12-23 16:01:22.452644
-5.49831979	6.499	0.032	-5.488354	-3462717.0	-3466054.0	-3465355.0	-5.505336	-3464743.0	-3464448.0	-3462890.0	7.0	5.0	11-12-23 16:01:30.336995
-4.99907478	6.999	0.035	-4.989812	-3148027.0	-3151105.0	-3150564.0	-5.005417	-3149988.0	-3149754.0	-3148300.0	7.0	5.0	11-12-23 16:01:37.958940
-4.49853239	7.5	0.037	-4.49003	-2832537.0	-2835334.0	-2834944.0	-4.504094	-2834382.0	-2834218.0	-2832848.0	7.0	5.0	11-12-23 16:01:45.594246
-3.99949207	8.0	0.04	-3.991767	-2518012.0	-2520512.0	-2520290.0	-4.004374	-2519744.0	-2519636.0	-2518362.0	7.0	5.0	11-12-23 16:01:53.303946
-3.49974428	8.5	0.043	-3.492774	-2202997.0	-2205226.0	-2205178.0	-3.503978	-2204650.0	-2204612.0	-2203420.0	7.0	5.0	11-12-23 16:02:00.854184
-3.00079225	8.999	0.045	-2.99457	-1888480.0	-1890438.0	-1890554.0	-3.004223	-1890049.0	-1890083.0	-1888978.0	7.0	5.0	11-12-23 16:02:08.428692
-2.50069549	9.499	0.048	-2.495148	-1573264.0	-1574930.0	-1575221.0	-2.503409	-1574710.0	-1574810.0	-1573803.0	7.0	5.0	11-12-23 16:02:16.042977
-2.00084994	9.999	0.05	-1.996118	-1258229.0	-1259617.0	-1260070.0	-2.002845	-1259572.0	-1259743.0	-1258821.0	7.0	5.0	11-12-23 16:02:23.572718
-1.5014488	10.5	0.053	-1.497468	-943448.8	-944567.8	-945183.6	-1.502785	-944709.6	-944942.2	-944120.4	7.0	5.0	11-12-23 16:02:31.287417
-1.00180774	11.0	0.055	-0.9986123	-628537.9	-629354.4	-630138.9	-1.00242	-629673.2	-629972.8	-629232.2	7.0	5.0	11-12-23 16:02:38.883167
-0.502752498	11.499	0.058	-0.5003175	-313976.9	-314524.2	-315488.4	-0.5026571	-315040.2	-315413.7	-314755.0	7.0	5.0	11-12-23 16:02:46.412880
-0.0029560202	11.999	0.061	-0.001333646	1033.5	766.7	-353.45	-0.002152672	71.85	-370.9	195.45	7.0	5.0	11-12-23 16:02:53.998683
0.495982667	12.499	0.063	0.4968803	315490.1	315511.9	314222.3	0.4974406	314626.7	314125.1	314611.6	7.0	5.0	11-12-23 16:03:01.683431
0.996126764	13.0	0.066	0.9962403	630747.4	631029.3	629604.0	0.9983323	629979.9	629403.2	629788.2	7.0	5.0	11-12-23 16:03:09.459403
1.49499346	13.498	0.068	1.494367	945189.1	945751.8	944155.2	1.497945	944533.6	943876.2	944174.8	7.0	5.0	11-12-23 16:03:17.039958
1.99515027	13.999	0.071	1.99379	1260466.0	1261304.0	1259541.0	1.998792	1259898.0	1259185.0	1259394.0	7.0	5.0	11-12-23 16:03:24.719159
2.49453931	14.499	0.073	2.49246	1575235.0	1576365.0	1574438.0	2.498931	1574788.0	1574019.0	1574119.0	7.0	5.0	11-12-23 16:03:32.332640
2.99361125	14.998	0.076	2.990801	1889804.0	1891223.0	1889121.0	2.998791	1889452.0	1888600.0	1888620.0	7.0	5.0	11-12-23 16:03:39.861442
3.49440013	15.5	0.079	3.490892	2205472.0	2207174.0	2204900.0	3.500302	2205231.0	2204301.0	2204229.0	7.0	5.0	11-12-23 16:03:47.452831
3.99308836	15.998	0.081	3.988849	2519828.0	2521794.0	2519374.0	3.999642	2519670.0	2518670.0	2518512.0	7.0	5.0	11-12-23 16:03:55.131579
