# 
VDC	Voltage 1	Current 1	ch1a	ch2a	ch3a	ch4a	ch1b	ch2b	ch3b	ch4b	Delay	a	
2.99350183	14.999	0.076	2.990686	1889723.0	1891148.0	1889040.0	2.998636	1889410.0	1888557.0	1888539.0	7.0	1.0	11-12-23 15:38:43.217731
3.49417446	15.5	0.078	3.49058	2205358.0	2207032.0	2204788.0	3.500054	2205110.0	2204210.0	2204109.0	7.0	1.0	11-12-23 15:38:51.030753
3.99297343	15.999	0.081	3.988513	2519689.0	2521668.0	2519258.0	3.999588	2519599.0	2518629.0	2518448.0	7.0	1.0	11-12-23 15:38:58.559368
4.49355578	16.5	0.083	4.488476	2835260.0	2837518.0	2834928.0	4.500875	2835243.0	2834192.0	2833908.0	7.0	1.0	11-12-23 15:39:06.116163
4.99237973	16.999	0.086	4.986529	3149683.0	3152200.0	3149456.0	5.00042	3149756.0	3148634.0	3148270.0	7.0	1.0	11-12-23 15:39:13.644204
5.49233569	17.5	0.089	5.485703	3464804.0	3467611.0	3464688.0	5.501122	3465021.0	3463808.0	3463358.0	7.0	1.0	11-12-23 15:39:21.200261
5.99185112	18.0	0.091	5.984622	3779681.0	3782776.0	3779697.0	6.001482	3779994.0	3778744.0	3778195.0	7.0	1.0	11-12-23 15:39:28.734291
6.49128866	18.5	0.094	6.483249	4094518.0	4097896.0	4094638.0	6.501584	4094929.0	4093606.0	4092948.0	7.0	1.0	11-12-23 15:39:36.326033
6.99126103	19.0	0.096	6.982571	4409638.0	4413278.0	4409882.0	7.002229	4410149.0	4408734.0	4408010.0	7.0	1.0	11-12-23 15:39:43.944933
7.49012032	19.499	0.099	7.480559	4724094.0	4728008.0	4724427.0	7.501887	4724723.0	4723218.0	4722405.0	7.0	1.0	11-12-23 15:39:51.473548
7.98981329	19.999	0.102	7.979549	5039058.0	5043257.0	5039531.0	8.002341	5039818.0	5038254.0	5037355.0	7.0	1.0	11-12-23 15:39:59.008195
8.48874491	20.5	0.104	8.477743	5353555.0	5358044.0	5354119.0	8.501957	5354409.0	5352794.0	5351788.0	7.0	1.0	11-12-23 15:40:06.584825
8.98851569	21.0	0.107	8.976857	5668616.0	5673389.0	5669295.0	9.002558	5669524.0	5667845.0	5666756.0	7.0	1.0	11-12-23 15:40:14.234505
9.48737013	21.5	0.109	9.474988	5983096.0	5988136.0	5983910.0	9.502086	5984117.0	5982352.0	5981174.0	7.0	1.0	11-12-23 15:40:21.995942
9.98635708	22.0	0.112	9.973268	6297583.0	6302925.0	6298537.0	10.00179	6298680.0	6296876.0	6295622.0	7.0	1.0	11-12-23 15:40:29.676086
10.4845107	22.499	0.115	10.47061	6611577.0	6617211.0	6612644.0	10.50074	6612733.0	6610915.0	6609515.0	7.0	1.0	11-12-23 15:40:37.206327
10.9952773	23.0	0.117	10.89584	7485644.0	6885670.0	7487347.0	11.88179	6883709.0	7480142.0	7478574.0	7.0	1.0	11-12-23 15:40:44.933702
11.4809294	23.5	0.12	10.89485	7486721.0	6885429.0	7488461.0	11.88381	6883192.0	7481384.0	7479839.0	7.0	1.0	11-12-23 15:40:52.550072
11.96225	24.0	0.123	10.88208	7486958.0	6877422.0	7488680.0	11.88389	6875120.0	7481473.0	7479896.0	7.0	1.0	11-12-23 15:41:00.193110
