# 
Voltage 1	Current 1	ch1a avglen	ch1b avglen	ch1a	ch2a	ch3a	ch4a	ch1b	ch2b	ch3b	ch4b	VDC	temp	Delay	a	
0.104	0.0	250	250	-7443446.0	-7456999.0	-7463979.0	-7461995.0	-7456133.0	-7450697.0	-7449499.0	-7446797.0	-11.8840315	13.9975777	6.0	4.0	14-12-23 16:17:55.581971
0.5	0.002	250	250	-7224200.0	-7236803.0	-7243095.0	-7240881.0	-7244956.0	-7239591.0	-7238299.0	-7235446.0	-11.4866332	13.9575568	6.0	4.0	14-12-23 16:18:02.737465
1.0	0.004	250	250	-6912519.0	-6924537.0	-6930569.0	-6928466.0	-6932448.0	-6927206.0	-6926029.0	-6923232.0	-10.9908096	13.8427762	6.0	4.0	14-12-23 16:18:09.899279
1.499	0.007	250	250	-6599342.0	-6610759.0	-6616478.0	-6614564.0	-6618392.0	-6613350.0	-6612207.0	-6609541.0	-10.4928228	13.8812378	6.0	4.0	14-12-23 16:18:17.088876
2.0	0.01	250	250	-6284933.0	-6295741.0	-6301191.0	-6299423.0	-6303136.0	-6298263.0	-6297246.0	-6294665.0	-9.99302535	13.7757645	6.0	4.0	14-12-23 16:18:24.252220
2.499	0.012	250	250	-5971037.0	-5981241.0	-5986428.0	-5984811.0	-5988327.0	-5983664.0	-5982719.0	-5980226.0	-9.49398021	13.7459815	6.0	4.0	14-12-23 16:18:31.414945
3.0	0.015	250	250	-5656298.0	-5665884.0	-5670850.0	-5669325.0	-5672712.0	-5668234.0	-5667378.0	-5664994.0	-8.99364436	13.7022377	6.0	4.0	14-12-23 16:18:38.591952
3.499	0.017	250	250	-5342426.0	-5351394.0	-5356110.0	-5354719.0	-5357948.0	-5353646.0	-5352835.0	-5350576.0	-8.49470955	13.7574523	6.0	4.0	14-12-23 16:18:45.759129
4.0	0.02	250	250	-5027959.0	-5036295.0	-5040740.0	-5039524.0	-5042617.0	-5038497.0	-5037794.0	-5035596.0	-7.99485479	13.6808312	6.0	4.0	14-12-23 16:18:52.933126
4.5	0.022	250	250	-4713597.0	-4721324.0	-4725513.0	-4724427.0	-4727345.0	-4723437.0	-4722778.0	-4720707.0	-7.49504222	13.7406993	6.0	4.0	14-12-23 16:19:00.109170
5.0	0.025	250	250	-4399109.0	-4406186.0	-4410134.0	-4409185.0	-4411981.0	-4408252.0	-4407668.0	-4405689.0	-6.99506734	13.7565215	6.0	4.0	14-12-23 16:19:07.382831
5.5	0.027	250	250	-4084790.0	-4091259.0	-4094915.0	-4094151.0	-4096771.0	-4093248.0	-4092730.0	-4090846.0	-6.49547383	13.6544689	6.0	4.0	14-12-23 16:19:14.551207
5.999	0.03	250	250	-3770882.0	-3776736.0	-3780134.0	-3779510.0	-3781994.0	-3778657.0	-3778195.0	-3776432.0	-5.99643442	13.7794874	6.0	4.0	14-12-23 16:19:21.704455
6.499	0.032	250	250	-3456535.0	-3461769.0	-3464899.0	-3464423.0	-3466773.0	-3463609.0	-3463222.0	-3461557.0	-5.49666687	13.8371919	6.0	4.0	14-12-23 16:19:29.124524
6.999	0.035	250	250	-3142380.0	-3147009.0	-3149881.0	-3149530.0	-3151730.0	-3148743.0	-3148445.0	-3146846.0	-4.99728264	13.9482496	6.0	4.0	14-12-23 16:19:36.448367
7.499	0.038	250	250	-2827459.0	-2831474.0	-2834084.0	-2833882.0	-2835912.0	-2833123.0	-2832893.0	-2831428.0	-4.4967284	13.9854783	6.0	4.0	14-12-23 16:19:43.607011
7.999	0.04	250	250	-2513481.0	-2516864.0	-2519222.0	-2519154.0	-2521053.0	-2518448.0	-2518289.0	-2516921.0	-3.99759269	13.9284023	6.0	4.0	14-12-23 16:19:50.838740
8.499	0.043	250	250	-2199059.0	-2201831.0	-2203924.0	-2204004.0	-2205746.0	-2203335.0	-2203252.0	-2201981.0	-3.49778279	13.9293331	6.0	4.0	14-12-23 16:19:58.054205
8.999	0.045	250	250	-1885120.0	-1887278.0	-1889116.0	-1889328.0	-1890924.0	-1888697.0	-1888679.0	-1887513.0	-2.99873705	13.9274716	6.0	4.0	14-12-23 16:20:05.207758
