# 
Amax	Delay	
127	0.1	21-03-24 17:24:31.659934
127	0.1	21-03-24 17:24:32.009558
127	0.1	21-03-24 17:24:32.358784
127	0.1	21-03-24 17:24:32.708590
127	0.1	21-03-24 17:24:33.059790
127	0.1	21-03-24 17:24:33.407549
127	0.1	21-03-24 17:24:33.756691
127	0.1	21-03-24 17:24:34.105580
127	0.1	21-03-24 17:24:34.455949
127	0.1	21-03-24 17:24:34.805138
127	0.1	21-03-24 17:24:35.155336
127	0.1	21-03-24 17:24:35.505623
127	0.1	21-03-24 17:24:35.853043
127	0.1	21-03-24 17:24:36.203702
127	0.1	21-03-24 17:24:36.552382
127	0.1	21-03-24 17:24:36.901361
127	0.1	21-03-24 17:24:37.251330
127	0.1	21-03-24 17:24:37.600778
127	0.1	21-03-24 17:24:37.950354
126	0.1	21-03-24 17:24:38.299849
127	0.1	21-03-24 17:24:38.648978
127	0.1	21-03-24 17:24:38.998373
127	0.1	21-03-24 17:24:39.348032
127	0.1	21-03-24 17:24:39.697116
127	0.1	21-03-24 17:24:40.047969
127	0.1	21-03-24 17:24:40.396568
127	0.1	21-03-24 17:24:40.746240
127	0.1	21-03-24 17:24:41.096160
127	0.1	21-03-24 17:24:41.445879
127	0.1	21-03-24 17:24:41.797660
127	0.1	21-03-24 17:24:42.143378
127	0.1	21-03-24 17:24:42.492892
127	0.1	21-03-24 17:24:42.842774
127	0.1	21-03-24 17:24:43.191751
127	0.1	21-03-24 17:24:43.541590
127	0.1	21-03-24 17:24:43.891132
127	0.1	21-03-24 17:24:44.240381
127	0.1	21-03-24 17:24:44.590875
127	0.1	21-03-24 17:24:44.939407
127	0.1	21-03-24 17:24:45.288332
127	0.1	21-03-24 17:24:45.638403
127	0.1	21-03-24 17:24:45.987560
127	0.1	21-03-24 17:24:46.337018
127	0.1	21-03-24 17:24:46.686929
127	0.1	21-03-24 17:24:47.036126
127	0.1	21-03-24 17:24:47.386596
127	0.1	21-03-24 17:24:47.735526
127	0.1	21-03-24 17:24:48.083973
127	0.1	21-03-24 17:24:48.435042
127	0.1	21-03-24 17:24:48.783381
127	0.1	21-03-24 17:24:49.132851
127	0.1	21-03-24 17:24:49.481967
127	0.1	21-03-24 17:24:49.831406
127	0.1	21-03-24 17:24:50.181087
