# 
A1	f1	A2	f2	Amax	Delay	a	
0	0	5.0	10000000.0	0.01995262314968883	0.1	0	10-04-24 20:14:03.827774
0	0	5.0	10101010.1010101	0.01905460717963249	0.1	0	10-04-24 20:14:10.325009
0	0	5.0	10202020.202020202	0.01995262314968883	0.1	0	10-04-24 20:14:16.822701
0	0	5.0	10303030.303030303	0.017378008287493776	0.1	0	10-04-24 20:14:23.320585
0	0	5.0	10404040.404040404	0.01905460717963249	0.1	0	10-04-24 20:14:29.818040
0	0	5.0	10505050.505050505	0.01819700858609984	0.1	0	10-04-24 20:14:36.315733
0	0	5.0	10606060.606060605	0.017378008287493776	0.1	0	10-04-24 20:14:42.813439
0	0	5.0	10707070.707070706	0.01819700858609984	0.1	0	10-04-24 20:14:49.311158
0	0	5.0	10808080.808080807	0.015135612484362097	0.1	0	10-04-24 20:14:55.808756
0	0	5.0	10909090.909090908	0.017378008287493776	0.1	0	10-04-24 20:15:02.306397
0	0	5.0	11010101.01010101	0.015848931924611134	0.1	0	10-04-24 20:15:08.804171
0	0	5.0	11111111.111111112	0.015848931924611134	0.1	0	10-04-24 20:15:15.302121
0	0	5.0	11212121.212121213	0.016595869074375616	0.1	0	10-04-24 20:15:21.799493
0	0	5.0	11313131.313131314	0.013803842646028866	0.1	0	10-04-24 20:15:28.297500
0	0	5.0	11414141.414141415	0.015848931924611134	0.1	0	10-04-24 20:15:34.794865
0	0	5.0	11515151.515151516	0.013803842646028866	0.1	0	10-04-24 20:15:41.292573
0	0	5.0	11616161.616161617	0.013803842646028866	0.1	0	10-04-24 20:15:47.791076
0	0	5.0	11717171.717171717	0.01445439770745928	0.1	0	10-04-24 20:15:54.288122
0	0	5.0	11818181.818181818	0.011481536214968833	0.1	0	10-04-24 20:16:00.785853
0	0	5.0	11919191.91919192	0.013803842646028866	0.1	0	10-04-24 20:16:07.283304
0	0	5.0	12020202.02020202	0.011481536214968833	0.1	0	10-04-24 20:16:13.780969
0	0	5.0	12121212.121212121	0.011481536214968833	0.1	0	10-04-24 20:16:20.279073
0	0	5.0	12222222.222222222	0.011481536214968833	0.1	0	10-04-24 20:16:26.776322
0	0	5.0	12323232.323232323	0.010471285480509003	0.1	0	10-04-24 20:16:33.274240
0	0	5.0	12424242.424242424	0.011481536214968833	0.1	0	10-04-24 20:16:39.771988
0	0	5.0	12525252.525252525	0.01	0.1	0	10-04-24 20:16:46.269639
0	0	5.0	12626262.626262628	0.010471285480509003	0.1	0	10-04-24 20:16:52.767005
0	0	5.0	12727272.727272727	0.01	0.1	0	10-04-24 20:16:59.264778
0	0	5.0	12828282.828282828	0.008709635899560818	0.1	0	10-04-24 20:17:05.762441
0	0	5.0	12929292.929292928	0.01	0.1	0	10-04-24 20:17:12.260087
0	0	5.0	13030303.030303031	0.008317637711026716	0.1	0	10-04-24 20:17:18.758142
0	0	5.0	13131313.131313132	0.008709635899560818	0.1	0	10-04-24 20:17:25.255489
0	0	5.0	13232323.232323233	0.008317637711026716	0.1	0	10-04-24 20:17:31.753157
0	0	5.0	13333333.333333332	0.007244359600749903	0.1	0	10-04-24 20:17:38.251292
0	0	5.0	13434343.434343435	0.008317637711026716	0.1	0	10-04-24 20:17:44.748541
0	0	5.0	13535353.535353536	0.006606934480075964	0.1	0	10-04-24 20:17:51.246190
0	0	5.0	13636363.636363637	0.007244359600749903	0.1	0	10-04-24 20:17:57.743875
0	0	5.0	13737373.737373738	0.006606934480075964	0.1	0	10-04-24 20:18:04.241602
0	0	5.0	13838383.838383839	0.006309573444801933	0.1	0	10-04-24 20:18:10.739313
0	0	5.0	13939393.93939394	0.006606934480075964	0.1	0	10-04-24 20:18:17.236884
0	0	5.0	14040404.04040404	0.0054954087385762525	0.1	0	10-04-24 20:18:23.734583
0	0	5.0	14141414.141414141	0.006025595860743584	0.1	0	10-04-24 20:18:30.232338
0	0	5.0	14242424.242424242	0.0054954087385762525	0.1	0	10-04-24 20:18:36.729932
0	0	5.0	14343434.343434345	0.00524807460249773	0.1	0	10-04-24 20:18:43.227682
0	0	5.0	14444444.444444444	0.0054954087385762525	0.1	0	10-04-24 20:18:49.725350
0	0	5.0	14545454.545454545	0.004570881896148752	0.1	0	10-04-24 20:18:56.223033
0	0	5.0	14646464.646464646	0.005011872336272722	0.1	0	10-04-24 20:19:02.721078
0	0	5.0	14747474.747474749	0.004570881896148752	0.1	0	10-04-24 20:19:09.218361
0	0	5.0	14848484.848484848	0.004365158322401662	0.1	0	10-04-24 20:19:15.716116
0	0	5.0	14949494.94949495	0.004570881896148752	0.1	0	10-04-24 20:19:22.213836
0	0	5.0	15050505.05050505	0.0038018939632056157	0.1	0	10-04-24 20:19:28.711612
0	0	5.0	15151515.151515152	0.004365158322401662	0.1	0	10-04-24 20:19:35.209220
0	0	5.0	15252525.252525253	0.003981071705534975	0.1	0	10-04-24 20:19:41.706771
0	0	5.0	15353535.353535354	0.0038018939632056157	0.1	0	10-04-24 20:19:48.204602
0	0	5.0	15454545.454545453	0.003981071705534975	0.1	0	10-04-24 20:19:54.702761
0	0	5.0	15555555.555555556	0.003311311214825913	0.1	0	10-04-24 20:20:01.199790
0	0	5.0	15656565.656565655	0.003630780547701015	0.1	0	10-04-24 20:20:07.697462
0	0	5.0	15757575.757575758	0.003311311214825913	0.1	0	10-04-24 20:20:14.195321
0	0	5.0	15858585.858585859	0.003311311214825913	0.1	0	10-04-24 20:20:20.693333
0	0	5.0	15959595.95959596	0.003311311214825913	0.1	0	10-04-24 20:20:27.190683
0	0	5.0	16060606.06060606	0.0027542287033381677	0.1	0	10-04-24 20:20:33.688554
0	0	5.0	16161616.161616161	0.003162277660168382	0.1	0	10-04-24 20:20:40.185852
0	0	5.0	16262626.262626264	0.0027542287033381677	0.1	0	10-04-24 20:20:46.683807
0	0	5.0	16363636.363636363	0.0027542287033381677	0.1	0	10-04-24 20:20:53.181281
0	0	5.0	16464646.464646466	0.0027542287033381677	0.1	0	10-04-24 20:20:59.678933
0	0	5.0	16565656.565656565	0.002398832919019492	0.1	0	10-04-24 20:21:06.176739
0	0	5.0	16666666.666666666	0.0027542287033381677	0.1	0	10-04-24 20:21:12.674273
0	0	5.0	16767676.767676767	0.0022908676527677737	0.1	0	10-04-24 20:21:19.172078
0	0	5.0	16868686.86868687	0.002398832919019492	0.1	0	10-04-24 20:21:25.670094
0	0	5.0	16969696.96969697	0.002398832919019492	0.1	0	10-04-24 20:21:32.167326
0	0	5.0	17070707.07070707	0.0020892961308540407	0.1	0	10-04-24 20:21:38.665140
0	0	5.0	17171717.17171717	0.0022908676527677737	0.1	0	10-04-24 20:21:45.162761
0	0	5.0	17272727.272727273	0.001995262314968881	0.1	0	10-04-24 20:21:51.660477
0	0	5.0	17373737.373737372	0.0020892961308540407	0.1	0	10-04-24 20:21:58.158527
