# 
ch2a	ch2a avglen	Delay	a	
1052604.0	10.0	0.1	38.0	12-12-23 19:22:48.779509
1052604.0	19.166666666666664	0.1	38.0	12-12-23 19:22:48.915907
-1589827.0	28.333333333333332	0.1	38.0	12-12-23 19:22:49.050793
-1589827.0	37.5	0.1	38.0	12-12-23 19:22:49.184797
-1589827.0	46.666666666666664	0.1	38.0	12-12-23 19:22:49.320368
-1589827.0	55.833333333333336	0.1	38.0	12-12-23 19:22:49.456656
-1589827.0	65.0	0.1	38.0	12-12-23 19:22:49.593976
1004069.0	74.16666666666667	0.1	38.0	12-12-23 19:22:49.728677
1004069.0	83.33333333333333	0.1	38.0	12-12-23 19:22:49.863997
1004069.0	92.5	0.1	38.0	12-12-23 19:22:49.999433
1004069.0	101.66666666666667	0.1	38.0	12-12-23 19:22:50.134075
632255.2	110.83333333333333	0.1	38.0	12-12-23 19:22:50.268670
339982.9	120.0	0.1	38.0	12-12-23 19:22:50.406961
