# 
A1	f1	A2	f2	base_freq	Pmax	lin_Pmax	base_P	base_dB	base_V	thd	lin_thd	timestamp	Delay	a	
0.01	0	5.34	3000000.0	3000000.0	0.8000000000000114	0.001202264434617416	0.001202264434617416	0.8000000000000114	0.24517997824225127	-36.52260621200941	0.0002227098260958636	1716201558	0.1	3000000.0	20-05-24 12:39:18.913823
0.01	0	5.34	3435897.435897436	3435897.435897436	0.4000000000000056	0.0010964781961431865	0.0010964781961431865	0.4000000000000057	0.23414506146224678	-35.6080081375807	0.00027491547453252073	1716201565	0.1	3435897.435897436	20-05-24 12:39:25.895424
0.01	0	5.34	3871794.871794872	3871794.871794872	0.4000000000000056	0.0010964781961431865	0.0010964781961431865	0.4000000000000057	0.23414506146224678	-34.85690989227407	0.00032682028981166557	1716201572	0.1	3871794.871794872	20-05-24 12:39:32.876832
0.01	0	5.34	4307692.307692308	4307692.307692308	1.4464911998299284e-14	0.0010000000000000033	0.0010000000000000033	1.4210854715202004e-14	0.22360679774997932	-34.35028161942547	0.00036725848475065105	1716201579	0.1	4307692.307692308	20-05-24 12:39:39.858705
0.01	0	5.34	4743589.743589744	4743589.743589744	1.4464911998299284e-14	0.0010000000000000033	0.0010000000000000033	1.4210854715202004e-14	0.22360679774997932	-34.927826015799546	0.00032152696302709474	1716201586	0.1	4743589.743589744	20-05-24 12:39:46.839666
0.01	0	5.34	5179487.17948718	5179487.17948718	1.4464911998299284e-14	0.0010000000000000033	0.0010000000000000033	1.4210854715202004e-14	0.22360679774997932	-34.23703694810933	0.0003769608995938039	1716201593	0.1	5179487.17948718	20-05-24 12:39:53.821248
0.01	0	5.34	5615384.615384616	5615384.615384616	-0.3999999999999914	0.0009120108393559116	0.0009120108393559116	-0.3999999999999915	0.21354283403522484	-33.81553151009973	0.0004153812118162926	1716201600	0.1	5615384.615384616	20-05-24 12:40:00.802604
0.01	0	5.34	6051282.051282052	6051282.051282052	-0.3999999999999914	0.0009120108393559116	0.0009120108393559116	-0.3999999999999915	0.21354283403522484	-33.69358249444796	0.0004272103350286617	1716201607	0.1	6051282.051282052	20-05-24 12:40:07.784051
0.01	0	5.34	6487179.487179487	6487179.487179487	-0.3999999999999914	0.0009120108393559116	0.0009120108393559116	-0.3999999999999915	0.21354283403522484	-33.38146490505315	0.0004590431483197856	1716201614	0.1	6487179.487179487	20-05-24 12:40:14.765552
0.01	0	5.34	6923076.923076924	6923076.923076924	-0.3999999999999914	0.0009120108393559116	0.0009120108393559116	-0.3999999999999915	0.21354283403522484	-32.54821021612196	0.0005561333998367069	1716201621	0.1	6923076.923076924	20-05-24 12:40:21.746999
0.01	0	5.34	7358974.358974359	7358974.358974359	-0.7999999999999973	0.0008317637711026715	0.0008317637711026715	-0.7999999999999972	0.20393182330164553	-32.64575107456332	0.0005437820812029223	1716201628	0.1	7358974.358974359	20-05-24 12:40:28.728462
0.01	0	5.34	7794871.794871795	7794871.794871795	-0.7999999999999973	0.0008317637711026715	0.0008317637711026715	-0.7999999999999972	0.20393182330164553	-32.11359838140561	0.0006146673741321903	1716201635	0.1	7794871.794871795	20-05-24 12:40:35.709935
0.01	0	5.34	8230769.230769231	8230769.230769231	-0.7999999999999973	0.0008317637711026715	0.0008317637711026715	-0.7999999999999972	0.20393182330164553	-32.11513065863252	0.0006144505455220627	1716201642	0.1	8230769.230769231	20-05-24 12:40:42.691321
0.01	0	5.34	8666666.666666666	8666666.666666666	-1.1999999999999884	0.0007585775750291858	0.0007585775750291858	-1.1999999999999886	0.1947533793069052	-31.66309367157021	0.0006818528072076373	1716201649	0.1	8666666.666666666	20-05-24 12:40:49.672752
0.01	0	5.34	9102564.102564104	9102564.102564104	-1.1999999999999884	0.0007585775750291858	0.0007585775750291858	-1.1999999999999886	0.1947533793069052	-31.387133304805424	0.0007265854043736282	1716201656	0.1	9102564.102564104	20-05-24 12:40:56.654316
0.01	0	5.34	9538461.53846154	9538461.53846154	-1.5999999999999939	0.0006918309709189374	0.0006918309709189374	-1.5999999999999943	0.18598803334071487	-30.939430983053313	0.0008054839695959728	1716201663	0.1	9538461.53846154	20-05-24 12:41:03.635788
0.01	0	5.34	9974358.974358974	9974358.974358974	-1.9999999999999853	0.0006309573444801954	0.0006309573444801954	-1.9999999999999858	0.17761719292909053	-30.47569480847323	0.0008962527869723943	1716201670	0.1	9974358.974358974	20-05-24 12:41:10.617377
0.01	0	5.34	10410256.41025641	10410256.41025641	-2.3999999999999915	0.000575439937337158	0.000575439937337158	-2.3999999999999915	0.16962310239722037	-30.33284697896765	0.0009262224474084597	1716201677	0.1	10410256.41025641	20-05-24 12:41:17.598785
0.01	0	5.34	10846153.846153848	10846153.846153848	-3.1999999999999886	0.0004786300923226397	0.0004786300923226397	-3.1999999999999886	0.15469810799144243	-30.692544493015447	0.0008526004365873943	1716201684	0.1	10846153.846153848	20-05-24 12:41:24.580084
0.01	0	5.34	11282051.282051282	11282051.282051282	-4.3999999999999915	0.00036307805477010205	0.00036307805477010205	-4.3999999999999915	0.13473641949564008	-29.80418351691972	0.0010461203448790314	1716201691	0.1	11282051.282051282	20-05-24 12:41:31.561699
0.01	0	5.34	11717948.717948718	11717948.717948718	-5.199999999999989	0.0003019951720402024	0.0003019951720402024	-5.199999999999989	0.12288107503602871	-29.46679139419947	0.0011306309262427985	1716201698	0.1	11717948.717948718	20-05-24 12:41:38.543181
0.01	0	5.34	12153846.153846154	12153846.153846154	-6.3999999999999915	0.00022908676527677777	0.00022908676527677777	-6.3999999999999915	0.10702494225104206	-28.683263282720098	0.001354171507378226	1716201705	0.1	12153846.153846154	20-05-24 12:41:45.524644
0.01	0	5.34	12589743.58974359	12589743.58974359	-7.599999999999994	0.00017378008287493777	0.00017378008287493777	-7.599999999999994	0.09321482791780977	-27.10477254612701	0.0019477030546928616	1716201712	0.1	12589743.58974359	20-05-24 12:41:52.506067
