# 
A1	f1	A2	f2	base_freq	Pmax	lin_Pmax	base_P	base_dB	base_V	thd	lin_thd	timestamp	Delay	a	
0	0	0.5	3000000.0	3000000.0	-22.39999999999999	5.754399373371578e-06	5.754399373371578e-06	-22.39999999999999	0.01696231023972203	-28.481228048950133	0.0014186563133364797	1712850178	0.1	3000000.0	11-04-24 17:42:58.025463
0	0	0.5	3172151.090747393	3172151.090747393	-22.799999999999997	5.248074602497728e-06	5.248074602497728e-06	-22.799999999999997	0.016198880520730017	-27.485279143203773	0.0017843172976853823	1712850185	0.1	3172151.090747393	11-04-24 17:43:05.007133
0	0	0.5	3354180.8475099592	3354180.8475099592	-22.799999999999997	5.248074602497728e-06	5.248074602497728e-06	-22.799999999999997	0.016198880520730017	-27.990162315871284	0.0015884873783911738	1712850191	0.1	3354180.8475099592	11-04-24 17:43:11.989320
0	0	0.5	3546656.1446642443	3546656.1446642443	-22.799999999999997	5.248074602497728e-06	5.248074602497728e-06	-22.799999999999997	0.016198880520730017	-27.6611435404868	0.0017135060649444399	1712850198	0.1	3546656.1446642443	11-04-24 17:43:18.970360
0	0	0.5	3750176.385934209	3750176.385934209	-22.799999999999997	5.248074602497728e-06	5.248074602497728e-06	-22.799999999999997	0.016198880520730017	-25.346392367141668	0.0029198514929447694	1712850205	0.1	3750176.385934209	11-04-24 17:43:25.952288
0	0	0.5	3965375.37104544	3965375.37104544	-23.19999999999999	4.786300923226395e-06	4.786300923226395e-06	-23.19999999999999	0.015469810799144241	-27.265647323119957	0.0018768746462499697	1712850212	0.1	3965375.37104544	11-04-24 17:43:32.933504
0	0	0.5	4192923.26949488	4192923.26949488	-23.19999999999999	4.786300923226395e-06	4.786300923226395e-06	-23.19999999999999	0.015469810799144241	-27.69858178639265	0.0016987983142522874	1712850219	0.1	4192923.26949488	11-04-24 17:43:39.915000
0	0	0.5	4433528.70758277	4433528.70758277	-23.19999999999999	4.786300923226395e-06	4.786300923226395e-06	-23.19999999999999	0.015469810799144241	-27.7730979639777	0.0016698989960130938	1712850226	0.1	4433528.70758277	11-04-24 17:43:46.896589
0	0	0.5	4687940.975206189	4687940.975206189	-23.19999999999999	4.786300923226395e-06	4.786300923226395e-06	-23.19999999999999	0.015469810799144241	-27.71222685906355	0.0016934692459323795	1712850233	0.1	4687940.975206189	11-04-24 17:43:53.878315
0	0	0.5	4956952.35928657	4956952.35928657	-23.599999999999994	4.365158322401665e-06	4.365158322401665e-06	-23.599999999999994	0.014773554620337085	-27.088846192312673	0.001954858742007813	1712850240	0.1	4956952.35928657	11-04-24 17:44:00.859945
