# 
Voltage 1	Current 1	ch1a avglen	ch1b avglen	ch1a	ch2a	ch3a	ch4a	ch1b	ch2b	ch3b	ch4b	VDC1	temp_pt100	time	Delay	a	
0.103	0.0	250	250	-7444681.0	-7458170.0	-7465112.0	-7463010.0	-8388608.0	-8388608.0	-8388608.0	-8388608.0	9.9e+37	21.2032216	1714083159.4537735	6	134.0	26-04-24 00:12:39.453834
0.6	0.002	250	250	-7153959.0	-7166523.0	-7172950.0	-7170519.0	-8388608.0	-8388608.0	-8388608.0	-8388608.0	9.9e+37	21.164604	1714083166.2267182	6	134.0	26-04-24 00:12:46.226780
1.2	0.005	250	250	-6778944.0	-6790769.0	-6796858.0	-6794614.0	-8123713.0	-8114782.0	-8113769.0	-8109751.0	-1.16070057	21.2788278	1714083173.0084698	6	134.0	26-04-24 00:12:53.008522
1.8	0.008	250	250	-6402987.0	-6414103.0	-6419826.0	-6417783.0	-7673156.0	-7664623.0	-7663723.0	-7659854.0	-1.09632898	21.2792111	1714083179.7907987	6	134.0	26-04-24 00:12:59.790850
2.4	0.011	250	250	-6025802.0	-6036181.0	-6041581.0	-6039719.0	-7221223.0	-7213164.0	-7212334.0	-7208682.0	-1.03176643	21.3677537	1714083186.572512	6	134.0	26-04-24 00:13:06.572564
3.0	0.015	250	250	-5649220.0	-5658843.0	-5663921.0	-5662226.0	-6769969.0	-6762303.0	-6761574.0	-6758101.0	-0.967298434	21.4166247	1714083193.3546445	6	134.0	26-04-24 00:13:13.354697
3.6	0.018	250	250	-5272755.0	-5281630.0	-5286404.0	-5284896.0	-6318913.0	-6311725.0	-6311035.0	-6307738.0	-0.902851555	21.3876854	1714083200.1354167	6	134.0	26-04-24 00:13:20.135469
4.2	0.021	250	250	-4895844.0	-4903994.0	-4908428.0	-4907122.0	-5867106.0	-5860342.0	-5859730.0	-5856649.0	-0.838308779	21.4884937	1714083206.9175432	6	134.0	26-04-24 00:13:26.917596
4.8	0.024	250	250	-4519336.0	-4526734.0	-4530846.0	-4529732.0	-5416020.0	-5409657.0	-5409139.0	-5406244.0	-0.773855507	21.4719159	1714083213.6994476	6	134.0	26-04-24 00:13:33.699498
5.4	0.027	250	250	-4142275.0	-4148907.0	-4152724.0	-4151799.0	-4964195.0	-4958274.0	-4957829.0	-4955143.0	-0.709308233	21.5066046	1714083220.4834838	6	134.0	26-04-24 00:13:40.483539
