# 
A1	f1	A2	f2	Delay	a	
20000000.0	1.0	7.0	10000000.0	0.1	5.002501250625312e-05	10-04-24 18:19:20.977087
20000000.0	1052632.5263157894	7.0	10000000.0	0.1	5.002501250625312e-05	10-04-24 18:19:21.102375
20000000.0	2105264.052631579	7.0	10000000.0	0.1	5.002501250625312e-05	10-04-24 18:19:21.224860
20000000.0	3157895.578947368	7.0	10000000.0	0.1	5.002501250625312e-05	10-04-24 18:19:21.350769
20000000.0	4210527.105263158	7.0	10000000.0	0.1	5.002501250625312e-05	10-04-24 18:19:21.477060
20000000.0	5263158.631578947	7.0	10000000.0	0.1	5.002501250625312e-05	10-04-24 18:19:21.602146
20000000.0	6315790.157894736	7.0	10000000.0	0.1	5.002501250625312e-05	10-04-24 18:19:21.729583
20000000.0	7368421.684210526	7.0	10000000.0	0.1	5.002501250625312e-05	10-04-24 18:19:21.857338
20000000.0	8421053.210526315	7.0	10000000.0	0.1	5.002501250625312e-05	10-04-24 18:19:21.982370
20000000.0	9473684.736842105	7.0	10000000.0	0.1	5.002501250625312e-05	10-04-24 18:19:22.107959
20000000.0	10526316.263157895	7.0	10000000.0	0.1	5.002501250625312e-05	10-04-24 18:19:22.232133
20000000.0	11578947.789473685	7.0	10000000.0	0.1	5.002501250625312e-05	10-04-24 18:19:22.357452
20000000.0	12631579.315789472	7.0	10000000.0	0.1	5.002501250625312e-05	10-04-24 18:19:22.484044
20000000.0	13684210.842105264	7.0	10000000.0	0.1	5.002501250625312e-05	10-04-24 18:19:22.610145
20000000.0	14736842.368421052	7.0	10000000.0	0.1	5.002501250625312e-05	10-04-24 18:19:22.735344
20000000.0	15789473.894736843	7.0	10000000.0	0.1	5.002501250625312e-05	10-04-24 18:19:22.860977
20000000.0	16842105.42105263	7.0	10000000.0	0.1	5.002501250625312e-05	10-04-24 18:19:22.985854
20000000.0	17894736.94736842	7.0	10000000.0	0.1	5.002501250625312e-05	10-04-24 18:19:23.110460
20000000.0	18947368.47368421	7.0	10000000.0	0.1	5.002501250625312e-05	10-04-24 18:19:23.235165
20000000.0	20000000.0	7.0	10000000.0	0.1	5.002501250625312e-05	10-04-24 18:19:23.360666
