# 
base_freq	Pmax	lin_Pmax	base_P	base_dB	thd	lin_thd	timestamp	Delay	a	
0	-0.7999999999999973	0.0008317637711026715	1.7378008287493763e-08	-47.599999999999994	47.10180790869778	51307.49256351161	1712844235	0.1	0	11-04-24 16:03:55.986399
0	-0.7999999999999973	0.0008317637711026715	1.2022644346174132e-08	-49.199999999999996	48.702382395187655	74171.70110214321	1712844242	0.1	0	11-04-24 16:04:02.447384
0	-0.7999999999999973	0.0008317637711026715	2.290867652767775e-08	-46.4	45.90239542074326	38925.97882619397	1712844248	0.1	0	11-04-24 16:04:08.945022
0	-0.7999999999999973	0.0008317637711026715	2.5118864315095824e-08	-45.99999999999999	45.50281213239114	35504.321148015784	1712844255	0.1	0	11-04-24 16:04:15.442674
6000000.0	-0.7999999999999973	0.0008317637711026715	0.0008317637711026715	-0.7999999999999972	-11.400302997334148	0.0724385419596834	1712844266	0.1	6000000.0	11-04-24 16:04:26.571899
6000000.0	-0.7999999999999973	0.0008317637711026715	0.0008317637711026715	-0.7999999999999972	-11.416421189217802	0.07217019538859741	1712844273	0.1	6000000.0	11-04-24 16:04:33.069418
6000000.0	-0.7999999999999973	0.0008317637711026715	0.0008317637711026715	-0.7999999999999972	-11.429481981748758	0.07195347976363682	1712844279	0.1	6000000.0	11-04-24 16:04:39.567119
6000000.0	-0.7999999999999973	0.0008317637711026715	0.0008317637711026715	-0.7999999999999972	-11.40690878343716	0.07232844390423118	1712844286	0.1	6000000.0	11-04-24 16:04:46.065313
6000000.0	-0.7999999999999973	0.0008317637711026715	0.0008317637711026715	-0.7999999999999972	-11.401828266586962	0.07241310555983073	1712844292	0.1	6000000.0	11-04-24 16:04:52.562561
6000000.0	-0.7999999999999973	0.0008317637711026715	0.0008317637711026715	-0.7999999999999972	-11.40684020911743	0.07232958596640385	1712844299	0.1	6000000.0	11-04-24 16:04:59.060373
6000000.0	-0.7999999999999973	0.0008317637711026715	0.0008317637711026715	-0.7999999999999972	-11.395841079704642	0.07251300316339064	1712844305	0.1	6000000.0	11-04-24 16:05:05.558005
6000000.0	-0.7999999999999973	0.0008317637711026715	0.0008317637711026715	-0.7999999999999972	-11.412849984403344	0.07222956536832915	1712844312	0.1	6000000.0	11-04-24 16:05:12.055793
6000000.0	-0.7999999999999973	0.0008317637711026715	0.0008317637711026715	-0.7999999999999972	-11.425954632363284	0.07201194427830003	1712844318	0.1	6000000.0	11-04-24 16:05:18.553325
6000000.0	-0.7999999999999973	0.0008317637711026715	0.0008317637711026715	-0.7999999999999972	-11.4274080164106	0.07198784922189731	1712844325	0.1	6000000.0	11-04-24 16:05:25.050925
6000000.0	-0.7999999999999973	0.0008317637711026715	0.0008317637711026715	-0.7999999999999972	-11.404769318200348	0.07236408384899139	1712844331	0.1	6000000.0	11-04-24 16:05:31.548644
6000000.0	-0.7999999999999973	0.0008317637711026715	0.0008317637711026715	-0.7999999999999972	-11.408583081148551	0.07230056512313833	1712844338	0.1	6000000.0	11-04-24 16:05:38.046496
6000000.0	-0.7999999999999973	0.0008317637711026715	0.0008317637711026715	-0.7999999999999972	-11.426284767320727	0.07200647039880598	1712844344	0.1	6000000.0	11-04-24 16:05:44.544132
6000000.0	-0.7999999999999973	0.0008317637711026715	0.0008317637711026715	-0.7999999999999972	-11.423685964508799	0.0720495717104433	1712844351	0.1	6000000.0	11-04-24 16:05:51.041908
6000000.0	-0.7999999999999973	0.0008317637711026715	0.0008317637711026715	-0.7999999999999972	-11.42380615774009	0.07204757772908596	1712844357	0.1	6000000.0	11-04-24 16:05:57.539283
6000000.0	-0.7999999999999973	0.0008317637711026715	0.0008317637711026715	-0.7999999999999972	-11.407687263885828	0.07231548006618807	1712844364	0.1	6000000.0	11-04-24 16:06:04.037186
6000000.0	-0.7999999999999973	0.0008317637711026715	0.0008317637711026715	-0.7999999999999972	-11.423560375693466	0.07205165526240354	1712844370	0.1	6000000.0	11-04-24 16:06:10.534921
6000000.0	-0.7999999999999973	0.0008317637711026715	0.0008317637711026715	-0.7999999999999972	-11.425772990121892	0.07201495621721628	1712844377	0.1	6000000.0	11-04-24 16:06:17.032645
6000000.0	-0.7999999999999973	0.0008317637711026715	0.0008317637711026715	-0.7999999999999972	-11.417280273982687	0.07215592070030766	1712844383	0.1	6000000.0	11-04-24 16:06:23.530361
6000000.0	-0.7999999999999973	0.0008317637711026715	0.0008317637711026715	-0.7999999999999972	-11.429704562730848	0.07194979215846128	1712844390	0.1	6000000.0	11-04-24 16:06:30.027963
6000000.0	-0.7999999999999973	0.0008317637711026715	0.0008317637711026715	-0.7999999999999972	-11.407955948222934	0.0723110062732645	1712844396	0.1	6000000.0	11-04-24 16:06:36.525709
6000000.0	-0.7999999999999973	0.0008317637711026715	0.0008317637711026715	-0.7999999999999972	-11.405256267709774	0.07235597053390813	1712844403	0.1	6000000.0	11-04-24 16:06:43.023149
6000000.0	-0.7999999999999973	0.0008317637711026715	0.0008317637711026715	-0.7999999999999972	-11.415191435814565	0.07219063408026226	1712844409	0.1	6000000.0	11-04-24 16:06:49.520817
6000000.0	-0.7999999999999973	0.0008317637711026715	0.0008317637711026715	-0.7999999999999972	-11.414582006553145	0.07220076503370973	1712844416	0.1	6000000.0	11-04-24 16:06:56.018824
6000000.0	-0.7999999999999973	0.0008317637711026715	0.0008317637711026715	-0.7999999999999972	-11.427413997411717	0.07198775008199847	1712844422	0.1	6000000.0	11-04-24 16:07:02.516431
