# 
Voltage 1	Current 1	ch1a avglen	ch1b avglen	ch1a	ch2a	ch3a	ch4a	ch1b	ch2b	ch3b	ch4b	VDC10	VDC1	temp	time	Delay	a	
0.094	0.0	250	250	-7437661.0	-7451393.0	-7458273.0	-7456503.0	-8388608.0	-8388608.0	-8388608.0	-8388608.0	-11.8753597	9.9e+37	16.0108433	1711457084.4755957	6	24.0	26-03-24 13:44:44.475660
0.6	0.002	250	250	-7154034.0	-7166543.0	-7172655.0	-7170552.0	-8388608.0	-8388608.0	-8388608.0	-8388608.0	-11.3767882	9.9e+37	15.9531387	1711457092.2641532	6	24.0	26-03-24 13:44:52.264216
1.2	0.005	250	250	-6778975.0	-6790727.0	-6796528.0	-6794626.0	-8126161.0	-8117553.0	-8116484.0	-8112074.0	-10.7801934	-1.16104628	15.9534409	1711457100.2063613	6	24.0	26-03-24 13:45:00.206414
1.8	0.008	250	250	-6403088.0	-6414120.0	-6419644.0	-6417831.0	-7675472.0	-7667276.0	-7666259.0	-7662069.0	-10.1824343	-1.09662231	15.9832239	1711457108.0088992	6	24.0	26-03-24 13:45:08.008952
2.401	0.011	250	250	-6025874.0	-6036140.0	-6041373.0	-6039735.0	-7223171.0	-7215415.0	-7214419.0	-7210484.0	-9.582655	-1.03200994	15.9413415	1711457115.8090088	6	24.0	26-03-24 13:45:15.809057
3.001	0.015	250	250	-5649316.0	-5658880.0	-5663765.0	-5662281.0	-6771896.0	-6764516.0	-6763676.0	-6759919.0	-8.98393412	-0.967520109	15.9245886	1711457123.8636482	6	24.0	26-03-24 13:45:23.863706
3.6	0.018	250	250	-5272762.0	-5281568.0	-5286166.0	-5284888.0	-6320174.0	-6313231.0	-6312427.0	-6308981.0	-8.38529468	-0.90298808	15.9162121	1711457131.8895233	6	24.0	26-03-24 13:45:31.889577
4.2	0.021	250	250	-4895878.0	-4903954.0	-4908223.0	-4907107.0	-5868400.0	-5861913.0	-5861206.0	-5857940.0	-7.78607688	-0.838469444	15.8051545	1711457139.6991148	6	24.0	26-03-24 13:45:39.699172
4.8	0.024	250	250	-4519304.0	-4526628.0	-4530588.0	-4529651.0	-5417185.0	-5411087.0	-5410438.0	-5407413.0	-7.18731835	-0.774005006	15.8854984	1711457147.5027018	6	24.0	26-03-24 13:45:47.502756
5.4	0.027	250	250	-4142237.0	-4148831.0	-4152507.0	-4151710.0	-4965405.0	-4959718.0	-4959185.0	-4956334.0	-6.58780414	-0.709450162	15.8854984	1711457155.5106218	6	24.0	26-03-24 13:45:55.510676
6.0	0.03	250	250	-3765646.0	-3771496.0	-3774845.0	-3774239.0	-4514211.0	-4508937.0	-4508479.0	-4505798.0	-5.98908495	-0.645003631	15.8761912	1711457163.5437517	6	24.0	26-03-24 13:46:03.543803
6.6	0.033	250	250	-3388608.0	-3393718.0	-3396728.0	-3396332.0	-4062337.0	-4057466.0	-4057102.0	-4054646.0	-5.38960234	-0.580455269	15.7660643	1711457171.615013	6	24.0	26-03-24 13:46:11.615067
7.2	0.036	250	250	-3012099.0	-3016470.0	-3019182.0	-3018942.0	-3611137.0	-3606693.0	-3606430.0	-3604149.0	-4.79095985	-0.515980998	15.8529233	1711457179.6402912	6	24.0	26-03-24 13:46:19.640345
7.8	0.039	250	250	-2634700.0	-2638331.0	-2640746.0	-2640654.0	-3158862.0	-3154806.0	-3154614.0	-3152555.0	-4.19089925	-0.451363372	15.853854	1711457187.661045	6	24.0	26-03-24 13:46:27.661101
8.4	0.042	250	250	-2258202.0	-2261083.0	-2263190.0	-2263272.0	-2707557.0	-2703930.0	-2703819.0	-2701985.0	-3.59233655	-0.386893608	15.837101	1711457195.6877143	6	24.0	26-03-24 13:46:35.687768
8.999	0.045	250	250	-1881731.0	-1883873.0	-1885678.0	-1885936.0	-2256368.0	-2253133.0	-2253127.0	-2251454.0	-2.99378137	-0.322437984	15.8119716	1711457203.790693	6	24.0	26-03-24 13:46:43.790746
9.599	0.048	250	250	-1504872.0	-1506277.0	-1507771.0	-1508199.0	-1804666.0	-1801858.0	-1801909.0	-1800474.0	-2.39460827	-0.257907587	15.7747429	1711457211.625008	6	24.0	26-03-24 13:46:51.625062
10.199	0.051	250	250	-1127792.0	-1128455.0	-1129648.0	-1130234.0	-1352752.0	-1350349.0	-1350479.0	-1349243.0	-1.79506772	-0.193331618	15.7840501	1711457219.5717597	6	24.0	26-03-24 13:46:59.571814
10.8	0.055	250	250	-750549.3	-750468.5	-751343.6	-752114.2	-900580.2	-898607.2	-898824.3	-897815.5	-1.19525637	-0.128740575	15.7691586	1711457227.6510618	6	24.0	26-03-24 13:47:07.651123
11.4	0.058	250	250	-373862.0	-373045.2	-373609.1	-374555.0	-449060.1	-447493.5	-447784.2	-446970.4	-0.596441887	-0.0642460182	15.7263455	1711457235.4534159	6	24.0	26-03-24 13:47:15.453471
12.0	0.061	250	250	3016.516	4570.88	4308.832	3203.372	2663.292	3782.768	3417.044	4042.496	0.0028874552	0.000294306004	15.7198305	1711457243.5168343	6	24.0	26-03-24 13:47:23.516893
12.599	0.064	250	250	379666.0	381947.9	381991.8	380729.5	454142.1	454851.4	454390.5	454783.4	0.601671556	0.0647895033	15.7170383	1711457251.317426	6	24.0	26-03-24 13:47:31.317486
13.2	0.067	250	250	756670.9	759690.0	760047.9	758615.9	906043.9	906343.1	905804.8	906006.5	1.201078	0.129355735	15.668641	1711457259.3843722	6	24.0	26-03-24 13:47:39.384433
13.799	0.07	250	250	1133232.0	1136987.0	1137648.0	1136053.0	1357276.0	1357164.0	1356535.0	1356550.0	1.79979285	0.19381485	15.6760867	1711457267.214768	6	24.0	26-03-24 13:47:47.214818
14.399	0.073	250	250	1510091.0	1514587.0	1515555.0	1513789.0	1808873.0	1808342.0	1807632.0	1807435.0	2.39890646	0.258326586	15.7303706	1711457275.013106	6	24.0	26-03-24 13:47:55.013160
14.999	0.076	250	250	1886633.0	1891859.0	1893132.0	1891202.0	2260228.0	2259271.0	2258490.0	2258097.0	2.99756283	0.322808332	15.6633588	1711457282.8159637	6	24.0	26-03-24 13:48:02.816019
15.599	0.079	250	250	2263987.0	2269955.0	2271540.0	2269443.0	2712659.0	2711306.0	2710424.0	2709837.0	3.59748277	0.387436436	15.6652203	1711457290.8299546	6	24.0	26-03-24 13:48:10.830010
16.2	0.082	250	250	2640859.0	2647583.0	2649465.0	2647187.0	3164508.0	3162749.0	3161775.0	3160971.0	4.19662658	0.451983687	15.6345065	1711457298.658482	6	24.0	26-03-24 13:48:18.658535
16.8	0.085	250	250	3017325.0	3024783.0	3026974.0	3024535.0	3615787.0	3613598.0	3612532.0	3611539.0	4.79525443	0.516465358	15.6205458	1711457306.6811728	6	24.0	26-03-24 13:48:26.681225
17.4	0.088	250	250	3394163.0	3402351.0	3404857.0	3402245.0	4067528.0	4064910.0	4063768.0	4062560.0	5.39437011	0.58099454	15.5439247	1711457314.4911203	6	24.0	26-03-24 13:48:34.491169
18.0	0.092	250	250	3770940.0	3779866.0	3782685.0	3779902.0	4519201.0	4516203.0	4514962.0	4513554.0	5.99331818	0.645531692	15.4797051	1711457322.5196981	6	24.0	26-03-24 13:48:42.519747
18.6	0.095	250	250	4147756.0	4157430.0	4160558.0	4157612.0	4970969.0	4967531.0	4966230.0	4964603.0	6.59245339	0.710062714	15.4350306	1711457330.5581348	6	24.0	26-03-24 13:48:50.558191
19.199	0.098	250	250	4524202.0	4534611.0	4538052.0	4534931.0	5422238.0	5418415.0	5417007.0	5415228.0	7.19098051	0.774534873	15.4725615	1711457338.5812168	6	24.0	26-03-24 13:48:58.581270
19.8	0.101	250	250	4901221.0	4912369.0	4916121.0	4912830.0	5874057.0	5869808.0	5868335.0	5866298.0	7.79037559	0.839074609	15.3680189	1711457346.4121182	6	24.0	26-03-24 13:49:06.412173
20.4	0.104	250	250	5277998.0	5289880.0	5293955.0	5290501.0	6325781.0	6321108.0	6319571.0	6317324.0	8.38928762	0.903593434	15.3419587	1711457354.4400232	6	24.0	26-03-24 13:49:14.440076
21.0	0.107	250	250	5654559.0	5667183.0	5671551.0	5667926.0	6777100.0	6772024.0	6770410.0	6767894.0	8.98799439	0.968072244	15.3466123	1711457362.2750933	6	24.0	26-03-24 13:49:22.275151
21.6	0.11	250	250	6030863.0	6044241.0	6048928.0	6045128.0	7228266.0	7222807.0	7221104.0	7218436.0	9.58629498	1.03253209	15.2935614	1711457370.286686	6	24.0	26-03-24 13:49:30.286743
22.199	0.113	250	250	6406743.0	6420837.0	6425830.0	6421865.0	7678839.0	7672997.0	7671182.0	7668354.0	10.1839103	1.0968849	15.3376073	1711457378.310522	6	24.0	26-03-24 13:49:38.310577
22.799	0.117	250	250	6783077.0	6797976.0	6803146.0	6799087.0	8129889.0	8123641.0	8121742.0	8118676.0	10.7821601	1.16131832	15.2312032	1711457386.1112325	6	24.0	26-03-24 13:49:46.111288
23.399	0.12	250	250	6840354.0	7487622.0	6861295.0	7489237.0	8388607.0	8388607.0	8388607.0	8388607.0	11.3792428	9.9e+37	15.1651222	1711457394.1441104	6	24.0	26-03-24 13:49:54.144176
23.999	0.123	250	250	6831543.0	7487781.0	6852640.0	7489416.0	8388607.0	8388607.0	8388607.0	8388607.0	11.9646026	9.9e+37	15.1446464	1711457401.9730632	6	24.0	26-03-24 13:50:01.973125
