# 
Voltage 1	Current 1	ch1a avglen	ch1b avglen	ch1a	ch2a	ch3a	ch4a	ch1b	ch2b	ch3b	ch4b	VDC10	VDC1	temp	Delay	a	
0.104	0.0	250	250	-7435873.0	-7449440.0	-7456505.0	-7454593.0	-8388608.0	-8388608.0	-8388608.0	-8388608.0	-11.8764832	9.9e+37	23.1568941	6	7.0	19-03-24 15:13:26.096188
0.601	0.002	250	250	-7154260.0	-7166789.0	-7173157.0	-7170870.0	-8388608.0	-8388608.0	-8388608.0	-8388608.0	-11.3775373	9.9e+37	23.1598225	6	7.0	19-03-24 15:13:34.284176
1.201	0.005	250	250	-6779313.0	-6791107.0	-6797139.0	-6795039.0	-8125317.0	-8116336.0	-8115326.0	-8111391.0	-10.7810531	-1.16087279	23.2794571	6	7.0	19-03-24 15:13:42.420181
1.801	0.008	250	250	-6403340.0	-6414389.0	-6420101.0	-6418162.0	-7674728.0	-7666196.0	-7665273.0	-7661549.0	-10.183145	-1.0964732	23.2746857	6	7.0	19-03-24 15:13:50.777860
2.401	0.011	250	250	-6026131.0	-6036442.0	-6041850.0	-6040086.0	-7222661.0	-7214603.0	-7213695.0	-7210180.0	-9.58342832	-1.03189738	23.1799323	6	7.0	19-03-24 15:13:59.069640
3.001	0.014	250	250	-5649500.0	-5659065.0	-5664143.0	-5662581.0	-6771401.0	-6763707.0	-6762949.0	-6759625.0	-8.98463542	-0.967429341	23.1264837	6	7.0	19-03-24 15:14:06.954044
3.601	0.017	250	250	-5273008.0	-5281822.0	-5286530.0	-5285196.0	-6320229.0	-6313027.0	-6312326.0	-6309164.0	-8.38589172	-0.902966297	22.9449431	6	7.0	19-03-24 15:14:15.043809
4.201	0.02	250	250	-4896096.0	-4904161.0	-4908604.0	-4907396.0	-5868505.0	-5861741.0	-5861100.0	-5858129.0	-7.78664414	-0.83844695	22.9226626	6	7.0	19-03-24 15:14:22.928805
4.801	0.024	250	250	-4519520.0	-4526864.0	-4530980.0	-4529948.0	-5417360.0	-5410991.0	-5410443.0	-5407674.0	-7.18789574	-0.773988595	22.7375996	6	7.0	19-03-24 15:14:30.810979
5.401	0.027	250	250	-4142379.0	-4148983.0	-4152766.0	-4151927.0	-4965409.0	-4959454.0	-4958975.0	-4956366.0	-6.58825406	-0.709425735	22.7521803	6	7.0	19-03-24 15:14:38.696041
6.0	0.03	250	250	-3765837.0	-3771701.0	-3775144.0	-3774497.0	-4514275.0	-4508763.0	-4508393.0	-4505960.0	-5.98948857	-0.644977917	22.8340323	6	7.0	19-03-24 15:14:46.627843
6.601	0.033	250	250	-3388740.0	-3393868.0	-3396984.0	-3396530.0	-4062420.0	-4057330.0	-4057028.0	-4054785.0	-5.38996778	-0.580418784	22.8653642	6	7.0	19-03-24 15:14:54.977696
