# 
Kithley V	Keysight V	hvpsu1	hvpsu2	hvpsu3	hvpsu4	Delay	
249.964045	249.962511	-250.0	0	0	0	4.0	18-12-23 14:55:13.192909
-240.241011	-240.237246	-240.0	0	0	0	4.0	18-12-23 14:55:18.415179
-230.23494	-230.231448	-230.0	0	0	0	4.0	18-12-23 14:55:23.637636
-220.220795	-220.217269	-220.0	0	0	0	4.0	18-12-23 14:55:28.757690
-210.211747	-210.208513	-210.0	0	0	0	4.0	18-12-23 14:55:33.980129
-200.203484	-200.199905	-200.0	0	0	0	4.0	18-12-23 14:55:39.202424
-190.187561	-190.184568	-190.0	0	0	0	4.0	18-12-23 14:55:44.322077
-180.17822	-180.17538	-180.0	0	0	0	4.0	18-12-23 14:55:49.544857
-170.17	-170.16723	-170.0	0	0	0	4.0	18-12-23 14:55:54.767116
-160.157584	-160.155227	-160.0	0	0	0	4.0	18-12-23 14:55:59.989323
-150.14867	-150.146088	-150.0	0	0	0	4.0	18-12-23 14:56:05.212034
-140.140947	-140.138591	-140.0	0	0	0	4.0	18-12-23 14:56:10.352220
-130.125052	-130.122946	-130.0	0	0	0	4.0	18-12-23 14:56:15.554262
-120.116259	-120.114237	-120.0	0	0	0	4.0	18-12-23 14:56:20.776775
-110.110499	-110.108635	-110.0	0	0	0	4.0	18-12-23 14:56:25.896929
-100.095527	-100.093843	-100.0	0	0	0	4.0	18-12-23 14:56:31.119092
-90.0877098	-90.0861757	-90.0	0	0	0	4.0	18-12-23 14:56:36.341775
-80.0835205	-80.0819923	-80.0	0	0	0	4.0	18-12-23 14:56:41.564234
-70.0689666	-70.067465	-70.0	0	0	0	4.0	18-12-23 14:56:46.786116
-60.0602201	-60.0590883	-60.0	0	0	0	4.0	18-12-23 14:56:52.008885
-50.0468818	-50.0458921	-50.0	0	0	0	4.0	18-12-23 14:56:57.231081
-40.04056	-40.0395594	-40.0	0	0	0	4.0	18-12-23 14:57:02.453280
-30.0326804	-30.0320014	-30.0	0	0	0	4.0	18-12-23 14:57:07.675994
-20.0185482	-20.0177692	-20.0	0	0	0	4.0	18-12-23 14:57:12.898044
-10.0121421	-10.0112295	-10.0	0	0	0	4.0	18-12-23 14:57:18.120622
-0.00623642219	-0.00553027482	0.0	0	0	0	4.0	18-12-23 14:57:23.312138
10.0074769	10.0078553	10.0	0	0	0	4.0	18-12-23 14:57:28.565418
20.0135981	20.0140614	20.0	0	0	0	4.0	18-12-23 14:57:33.787740
30.0178041	30.0179995	30.0	0	0	0	4.0	18-12-23 14:57:39.010046
40.0337167	40.0338266	40.0	0	0	0	4.0	18-12-23 14:57:44.233515
50.0395204	50.0395848	50.0	0	0	0	4.0	18-12-23 14:57:49.455089
60.0456019	60.0455606	60.0	0	0	0	4.0	18-12-23 14:57:54.677482
70.0622877	70.0621551	70.0	0	0	0	4.0	18-12-23 14:57:59.899930
80.0694219	80.0692489	80.0	0	0	0	4.0	18-12-23 14:58:05.122289
90.074517	90.0741544	90.0	0	0	0	4.0	18-12-23 14:58:10.344425
100.090465	100.090146	100.0	0	0	0	4.0	18-12-23 14:58:15.567238
110.097394	110.09672	110.0	0	0	0	4.0	18-12-23 14:58:20.789469
120.10365	120.102961	120.0	0	0	0	4.0	18-12-23 14:58:26.011726
130.12058	130.119935	130.0	0	0	0	4.0	18-12-23 14:58:31.234437
140.126031	140.125371	140.0	0	0	0	4.0	18-12-23 14:58:36.456749
150.132949	150.131957	150.0	0	0	0	4.0	18-12-23 14:58:41.679105
160.149414	160.148551	160.0	0	0	0	4.0	18-12-23 14:58:46.797886
170.155363	170.154147	170.0	0	0	0	4.0	18-12-23 14:58:51.918991
180.161567	180.160115	180.0	0	0	0	4.0	18-12-23 14:58:57.140209
190.178929	190.177434	190.0	0	0	0	4.0	18-12-23 14:59:02.363711
200.185471	200.183883	200.0	0	0	0	4.0	18-12-23 14:59:07.586009
210.192378	210.19073	210.0	0	0	0	4.0	18-12-23 14:59:12.813338
220.208901	220.207365	220.0	0	0	0	4.0	18-12-23 14:59:18.031064
230.216712	230.215113	230.0	0	0	0	4.0	18-12-23 14:59:23.206110
240.222271	240.220452	240.0	0	0	0	4.0	18-12-23 14:59:28.372035
-248.711256	-248.707209	250.0	0	0	0	4.0	18-12-23 14:59:33.596043
