# 
Voltage 1	Current 1	ch1a avglen	ch1b avglen	ch1a	ch2a	ch3a	ch4a	ch1b	ch2b	ch3b	ch4b	VDC10	VDC1	temp	Delay	a	
0.104	0.0	250	250	-7422810.0	-7436470.0	-7443582.0	-7441823.0	-8388608.0	-8388608.0	-8388608.0	-8388608.0	-11.8613654	9.9e+37	21.3293915	6	21.0	25-03-24 15:43:09.079475
0.601	0.002	250	250	-7153599.0	-7166176.0	-7172467.0	-7170244.0	-8388608.0	-8388608.0	-8388608.0	-8388608.0	-11.3766871	9.9e+37	21.2974373	6	21.0	25-03-24 15:43:17.103012
1.201	0.005	250	250	-6778885.0	-6790726.0	-6796663.0	-6794631.0	-8125730.0	-8116899.0	-8115812.0	-8111885.0	-10.7804407	-1.16096323	21.2154214	6	21.0	25-03-24 15:43:24.906343
1.8	0.008	250	250	-6402910.0	-6413949.0	-6419635.0	-6417768.0	-7675095.0	-7666672.0	-7665733.0	-7661874.0	-10.1826563	-1.09656237	21.1889963	6	21.0	25-03-24 15:43:32.921450
2.401	0.011	250	250	-6025773.0	-6036079.0	-6041415.0	-6039733.0	-7222717.0	-7214739.0	-7213871.0	-7210228.0	-9.58289991	-1.03193252	21.1963685	6	21.0	25-03-24 15:43:40.753502
3.001	0.015	250	250	-5649149.0	-5658725.0	-5663736.0	-5662226.0	-6771234.0	-6763703.0	-6762907.0	-6759455.0	-8.98405122	-0.967436173	21.177938	6	21.0	25-03-24 15:43:48.773854
3.601	0.018	250	250	-5272656.0	-5281505.0	-5286165.0	-5284850.0	-6320144.0	-6313037.0	-6312272.0	-6309005.0	-8.38544855	-0.903003438	21.1103674	6	21.0	25-03-24 15:43:56.843980
4.201	0.021	250	250	-4895772.0	-4903870.0	-4908200.0	-4907065.0	-5868333.0	-5861644.0	-5860989.0	-5857923.0	-7.78614555	-0.838435004	21.0937799	6	21.0	25-03-24 15:44:04.892367
4.8	0.024	250	250	-4519243.0	-4526587.0	-4530633.0	-4529657.0	-5416986.0	-5410739.0	-5410171.0	-5407262.0	-7.18752355	-0.773982411	21.1641151	6	21.0	25-03-24 15:44:12.940507
5.4	0.027	250	250	-4142160.0	-4148761.0	-4152486.0	-4151675.0	-4965220.0	-4959360.0	-4958847.0	-4956173.0	-6.58797912	-0.709430503	21.1186612	6	21.0	25-03-24 15:44:20.773300
6.0	0.03	250	250	-3765580.0	-3771430.0	-3774845.0	-3774210.0	-4513889.0	-4508487.0	-4508043.0	-4505556.0	-5.98911577	-0.64494167	21.1370917	6	21.0	25-03-24 15:44:28.804810
6.6	0.033	250	250	-3388522.0	-3393652.0	-3396732.0	-3396291.0	-4062008.0	-4057030.0	-4056698.0	-4054396.0	-5.3896322	-0.580396205	21.2341511	6	21.0	25-03-24 15:44:36.639269
7.2	0.036	250	250	-3012001.0	-3016389.0	-3019177.0	-3018883.0	-3610848.0	-3606293.0	-3606029.0	-3603927.0	-4.79104114	-0.515938593	21.2052846	6	21.0	25-03-24 15:44:44.669431
7.801	0.039	250	250	-2634648.0	-2638280.0	-2640742.0	-2640635.0	-3158562.0	-3154439.0	-3154250.0	-3152309.0	-4.19096397	-0.451322859	21.15338	6	21.0	25-03-24 15:44:52.488745
8.4	0.042	250	250	-2258129.0	-2261029.0	-2263162.0	-2263245.0	-2707411.0	-2703706.0	-2703589.0	-2701878.0	-3.59238369	-0.386873507	21.2098923	6	21.0	25-03-24 15:45:00.521665
9.0	0.045	250	250	-1881608.0	-1883778.0	-1885592.0	-1885843.0	-2256175.0	-2252901.0	-2252871.0	-2251329.0	-2.99376544	-0.322415351	21.2617969	6	21.0	25-03-24 15:45:08.353535
9.6	0.048	250	250	-1504722.0	-1506143.0	-1507658.0	-1508084.0	-1804461.0	-1801619.0	-1801690.0	-1800311.0	-2.39446159	-0.257878562	21.2350726	6	21.0	25-03-24 15:45:16.364183
10.2	0.051	250	250	-1127688.0	-1128353.0	-1129555.0	-1130157.0	-1352593.0	-1350167.0	-1350306.0	-1349148.0	-1.79501027	-0.193324478	21.2018977	6	21.0	25-03-24 15:45:24.458921
10.801	0.054	250	250	-750487.3	-750417.0	-751291.1	-752074.1	-900526.3	-898514.4	-898753.3	-897781.5	-1.19525309	-0.128735319	21.1076028	6	21.0	25-03-24 15:45:32.503351
11.401	0.058	250	250	-373757.6	-372940.1	-373499.3	-374455.8	-448971.9	-447400.7	-447712.4	-446908.6	-0.596292727	-0.0642319934	21.095623	6	21.0	25-03-24 15:45:40.321547
12.001	0.061	250	250	3042.364	4599.008	4347.264	3225.988	2644.748	3808.472	3414.284	4011.18	0.00290317975	0.000297011082	21.0569189	6	21.0	25-03-24 15:45:48.352963
12.6	0.064	250	250	379610.6	381897.8	381959.3	380673.0	453987.2	454712.1	454249.1	454683.6	0.601651209	0.0647797129	21.0311162	6	21.0	25-03-24 15:45:56.186259
13.2	0.067	250	250	756489.1	759518.7	759892.8	758435.8	905684.1	905994.8	905437.9	905682.1	1.20088441	0.129317051	21.0172933	6	21.0	25-03-24 15:46:04.215412
13.799	0.07	250	250	1132824.0	1136594.0	1137289.0	1135658.0	1356786.0	1356657.0	1356034.0	1356093.0	1.79924846	0.193760406	20.9371205	6	21.0	25-03-24 15:46:12.271580
14.399	0.073	250	250	1509526.0	1514038.0	1515048.0	1513242.0	1808331.0	1807781.0	1807053.0	1806908.0	2.39824022	0.258265698	20.9632224	6	21.0	25-03-24 15:46:20.069517
14.999	0.076	250	250	1886130.0	1891393.0	1892716.0	1890743.0	2259710.0	2258753.0	2257959.0	2257608.0	2.99701375	0.322759837	20.9060878	6	21.0	25-03-24 15:46:28.082021
15.6	0.079	250	250	2263522.0	2269523.0	2271151.0	2269005.0	2712082.0	2710694.0	2709829.0	2709321.0	3.59704953	0.387374372	20.843424	6	21.0	25-03-24 15:46:35.915239
16.2	0.082	250	250	2640475.0	2647214.0	2649164.0	2646842.0	3163801.0	3161979.0	3161036.0	3160325.0	4.19633962	0.45191247	20.729777	6	21.0	25-03-24 15:46:43.947296
16.8	0.085	250	250	3017129.0	3024602.0	3026883.0	3024381.0	3615304.0	3613074.0	3612074.0	3611142.0	4.79514313	0.516413536	20.7153318	6	21.0	25-03-24 15:46:52.006368
17.4	0.088	250	250	3393973.0	3402187.0	3404782.0	3402114.0	4067036.0	4064362.0	4063284.0	4062155.0	5.39433654	0.580940615	20.6873868	6	21.0	25-03-24 15:46:59.820317
18.0	0.091	250	250	3770887.0	3779844.0	3782755.0	3779916.0	4518927.0	4515839.0	4514687.0	4513388.0	5.99355735	0.64549568	20.659741	6	21.0	25-03-24 15:47:07.898012
18.6	0.095	250	250	4147806.0	4157499.0	4160735.0	4157719.0	4970687.0	4967178.0	4965934.0	4964431.0	6.59280748	0.710024315	20.6864653	6	21.0	25-03-24 15:47:15.983376
19.2	0.098	250	250	4524186.0	4534617.0	4538135.0	4534962.0	5421763.0	5417832.0	5416494.0	5414835.0	7.19121815	0.774462588	20.7448206	6	21.0	25-03-24 15:47:23.814074
19.8	0.101	250	250	4901145.0	4912332.0	4916158.0	4912810.0	5873694.0	5869372.0	5867953.0	5866088.0	7.79063233	0.839040978	20.7881324	6	21.0	25-03-24 15:47:31.845866
20.4	0.104	250	250	5278073.0	5289996.0	5294133.0	5290619.0	6325541.0	6320780.0	6319292.0	6317207.0	8.38985182	0.903567027	20.7408354	6	21.0	25-03-24 15:47:39.679830
21.0	0.107	250	250	5654503.0	5667177.0	5671623.0	5667956.0	6776636.0	6771462.0	6769887.0	6767648.0	8.98833921	0.968013151	20.7601874	6	21.0	25-03-24 15:47:47.697979
21.6	0.11	250	250	6030795.0	6044188.0	6049004.0	6045116.0	7227667.0	7222093.0	7220411.0	7217969.0	9.58663076	1.03245615	20.7546583	6	21.0	25-03-24 15:47:55.532063
22.199	0.113	250	250	6406653.0	6420804.0	6425855.0	6421852.0	7678282.0	7672269.0	7670512.0	7667893.0	10.184242	1.09682365	20.7973476	6	21.0	25-03-24 15:48:03.538191
22.799	0.117	250	250	6782840.0	6797775.0	6803113.0	6798930.0	8128638.0	8122196.0	8120374.0	8117551.0	10.7823482	1.16116504	20.7095035	6	21.0	25-03-24 15:48:11.562330
23.4	0.12	250	250	6849709.0	7487788.0	6870854.0	7489499.0	8388607.0	8388607.0	8388607.0	8388607.0	11.3795131	9.9e+37	20.6302522	6	21.0	25-03-24 15:48:19.592690
24.0	0.123	250	250	6841137.0	7487970.0	6862400.0	7489672.0	8388607.0	8388607.0	8388607.0	8388607.0	11.9648355	9.9e+37	20.6167285	6	21.0	25-03-24 15:48:27.381077
