# 
Voltage 1	Current 1	ch1a avglen	ch1b avglen	ch1a	ch2a	ch3a	ch4a	ch1b	ch2b	ch3b	ch4b	VDC10	VDC1	temp	Delay	a	
0.136	0.0	250	250	-7415476.0	-7429316.0	-7436804.0	-7434712.0	-8388608.0	-8388608.0	-8388608.0	-8388608.0	-11.8562038	9.9e+37	32.8229522	6	60.00000000000001	25-03-24 19:14:35.915333
0.601	0.002	250	250	-7152928.0	-7165564.0	-7172164.0	-7169542.0	-8388608.0	-8388608.0	-8388608.0	-8388608.0	-11.3757398	9.9e+37	32.8449062	6	60.00000000000001	25-03-24 19:14:43.731152
1.201	0.005	250	250	-6778284.0	-6790178.0	-6796453.0	-6794049.0	-8123442.0	-8114045.0	-8113290.0	-8109478.0	-10.7797173	-1.16056044	32.798254	6	60.00000000000001	25-03-24 19:14:51.537883
1.8	0.008	250	250	-6402407.0	-6413549.0	-6419467.0	-6417259.0	-7672528.0	-7663591.0	-7662902.0	-7659326.0	-10.1819529	-1.09614667	32.6985462	6	60.00000000000001	25-03-24 19:14:59.565692
2.401	0.011	250	250	-6025271.0	-6035669.0	-6041271.0	-6039259.0	-7220475.0	-7212015.0	-7211341.0	-7207995.0	-9.58227379	-1.03157473	32.6866544	6	60.00000000000001	25-03-24 19:15:07.385208
3.001	0.014	250	250	-5648694.0	-5658335.0	-5663599.0	-5661747.0	-6769686.0	-6761647.0	-6761066.0	-6757841.0	-8.98339636	-0.967171565	32.6308547	6	60.00000000000001	25-03-24 19:15:15.418133
3.601	0.018	250	250	-5272181.0	-5281082.0	-5286025.0	-5284381.0	-6318238.0	-6310697.0	-6310151.0	-6307104.0	-8.38478267	-0.902668835	32.6125596	6	60.00000000000001	25-03-24 19:15:23.299273
4.201	0.021	250	250	-4895315.0	-4903474.0	-4908076.0	-4906627.0	-5866424.0	-5859328.0	-5858840.0	-5856009.0	-7.7855251	-0.83813108	32.5537186	6	60.00000000000001	25-03-24 19:15:31.120052
4.8	0.024	250	250	-4518712.0	-4526134.0	-4530406.0	-4529164.0	-5415191.0	-5408565.0	-5408171.0	-5405511.0	-7.18675708	-0.773674702	32.6162186	6	60.00000000000001	25-03-24 19:15:38.965162
5.401	0.027	250	250	-4141684.0	-4148357.0	-4152287.0	-4151239.0	-4963480.0	-4957265.0	-4956958.0	-4954453.0	-6.58722459	-0.709144033	32.6796334	6	60.00000000000001	25-03-24 19:15:47.042444
