# 
Voltage 1	Current 1	Voltmeter 1	Delay	
12.0	0.0	4.387004	1.0	04-12-23 12:19:25.663263
12.0	0.0	1.09359	1.0	04-12-23 12:19:26.773004
0.344	0.0	0.3074868	1.0	04-12-23 12:19:27.825495
0.147	0.0	0.08688831	1.0	04-12-23 12:19:28.929627
0.031	0.0	0.02225431	1.0	04-12-23 12:19:30.172673
0.014	0.0	0.00544316	1.0	04-12-23 12:19:31.298461
0.001	0.0	-0.0009735759	1.0	04-12-23 12:19:32.425164
0.001	0.0	-0.001466579	1.0	04-12-23 12:19:33.643661
0.001	0.0	-0.001391025	1.0	04-12-23 12:19:34.780330
0.001	0.0	-0.001487531	1.0	04-12-23 12:19:35.906922
0.001	0.0	-0.001384835	1.0	04-12-23 12:19:37.054359
0.001	0.0	-0.001420152	1.0	04-12-23 12:19:38.159525
0.001	0.0	-0.001493007	1.0	04-12-23 12:19:39.375440
1.0	0.0	1.000139	1.0	04-12-23 12:19:40.526628
1.997	0.0	2.000783	1.0	04-12-23 12:19:41.641400
2.996	0.0	3.001778	1.0	04-12-23 12:19:42.767472
4.0	0.0	4.002316	1.0	04-12-23 12:19:43.894203
4.994	0.0	5.003247	1.0	04-12-23 12:19:45.019702
6.0	0.0	6.003489	1.0	04-12-23 12:19:46.082297
6.992	0.0	7.003766	1.0	04-12-23 12:19:47.171516
8.0	0.0	8.004952	1.0	04-12-23 12:19:48.320552
8.989	0.001	9.005172	1.0	04-12-23 12:19:49.423713
9.988	0.001	10.00658	1.0	04-12-23 12:19:50.641862
11.0	0.001	10.93273	1.0	04-12-23 12:19:51.789261
11.984	0.001	10.91965	1.0	04-12-23 12:19:52.905188
