# 
Voltage 1	Current 1	ch1a avglen	ch1b avglen	ch1a	ch2a	ch3a	ch4a	ch1b	ch2b	ch3b	ch4b	VDC10	VDC1	temp	time	Delay	a	
0.125	0.0	250	250	-7428861.0	-7442480.0	-7449594.0	-7447852.0	-8388608.0	-8388608.0	-8388608.0	-8388608.0	-11.8687494	9.9e+37	18.6044539	1711456109.0850995	6	21.0	26-03-24 13:28:29.085164
0.6	0.002	250	250	-7153850.0	-7166330.0	-7172632.0	-7170409.0	-8388608.0	-8388608.0	-8388608.0	-8388608.0	-11.3765727	9.9e+37	18.6165532	1711456117.0969074	6	21.0	26-03-24 13:28:37.096965
1.2	0.005	250	250	-6779037.0	-6790775.0	-6796752.0	-6794711.0	-8126251.0	-8117541.0	-8116455.0	-8112220.0	-10.7802814	-1.16102089	18.5662944	1711456124.8959982	6	21.0	26-03-24 13:28:44.896051
1.8	0.008	250	250	-6403127.0	-6414126.0	-6419745.0	-6417916.0	-7675712.0	-7667418.0	-7666468.0	-7662399.0	-10.1824945	-1.09665124	18.5383729	1711456132.6951702	6	21.0	26-03-24 13:28:52.695223
2.401	0.011	250	250	-6025912.0	-6036196.0	-6041488.0	-6039829.0	-7223483.0	-7215594.0	-7214692.0	-7210846.0	-9.58276676	-1.03203336	18.4713611	1711456140.5376184	6	21.0	26-03-24 13:29:00.537672
3.001	0.015	250	250	-5649342.0	-5658885.0	-5663852.0	-5662353.0	-6771964.0	-6764538.0	-6763713.0	-6760087.0	-8.9839456	-0.967529471	18.3903886	1711456148.553573	6	21.0	26-03-24 13:29:08.553624
3.6	0.018	250	250	-5272810.0	-5281587.0	-5286299.0	-5284970.0	-6320641.0	-6313583.0	-6312901.0	-6309430.0	-8.38531611	-0.903045602	18.3512984	1711456156.5785503	6	21.0	26-03-24 13:29:16.578605
4.2	0.021	250	250	-4895920.0	-4903974.0	-4908345.0	-4907181.0	-5868687.0	-5862094.0	-5861428.0	-5858210.0	-7.78609308	-0.838485148	18.2526422	1711456164.6142504	6	21.0	26-03-24 13:29:24.614304
4.8	0.024	250	250	-4519356.0	-4526683.0	-4530743.0	-4529738.0	-5417357.0	-5411125.0	-5410563.0	-5407541.0	-7.18741424	-0.774015087	18.2693952	1711456172.465716	6	21.0	26-03-24 13:29:32.465763
5.4	0.027	250	250	-4142319.0	-4148893.0	-4152639.0	-4151827.0	-4965570.0	-4959776.0	-4959272.0	-4956433.0	-6.58787811	-0.709459397	18.3069261	1711456180.2713315	6	21.0	26-03-24 13:29:40.271384
6.0	0.03	250	250	-3765719.0	-3771560.0	-3774986.0	-3774347.0	-4514276.0	-4508875.0	-4508474.0	-4505832.0	-5.98914852	-0.644984905	18.2396122	1711456188.097674	6	21.0	26-03-24 13:29:48.097728
6.6	0.033	250	250	-3388587.0	-3393695.0	-3396800.0	-3396321.0	-4062264.0	-4057303.0	-4056977.0	-4054558.0	-5.38952531	-0.58041768	18.2386815	1711456195.9002516	6	21.0	26-03-24 13:29:55.900305
7.2	0.036	250	250	-3012099.0	-3016461.0	-3019241.0	-3018948.0	-3611146.0	-3606606.0	-3606361.0	-3604159.0	-4.79096138	-0.515978873	18.2805638	1711456203.9476702	6	21.0	26-03-24 13:30:03.947717
