# 
Voltage 1	Current 1	Voltmeter 1	Delay	
12.0	0.0	-6.092763	1.0	04-12-23 12:21:18.612273
12.0	0.0	-9.780474	1.0	04-12-23 12:21:19.739256
2.0	0.0	-10.00592	1.0	04-12-23 12:21:20.865362
2.999	0.0	-9.004977	1.0	04-12-23 12:21:21.990785
3.999	0.0	-8.004921	1.0	04-12-23 12:21:23.118315
4.998	0.0	-7.003759	1.0	04-12-23 12:21:24.244563
5.997	0.0	-6.003761	1.0	04-12-23 12:21:25.371282
6.997	0.0	-5.003291	1.0	04-12-23 12:21:26.497003
7.996	0.0	-4.00234	1.0	04-12-23 12:21:27.729561
8.999	0.0	-3.002085	1.0	04-12-23 12:21:28.864453
9.996	0.0	-2.000644	1.0	04-12-23 12:21:29.980028
11.0	0.0	-0.9998714	1.0	04-12-23 12:21:32.437270
12.0	0.0	0.0006128111	1.0	04-12-23 12:21:33.561686
12.993	0.0	1.001154	1.0	04-12-23 12:21:34.688745
14.0	0.0	2.00176	1.0	04-12-23 12:21:35.729508
14.99	0.0	3.001542	1.0	04-12-23 12:21:36.952199
15.988	0.0	4.002412	1.0	04-12-23 12:21:38.069993
16.987	0.001	5.003497	1.0	04-12-23 12:21:39.195455
17.986	0.001	6.00447	1.0	04-12-23 12:21:40.321731
19.0	0.001	7.005447	1.0	04-12-23 12:21:41.550254
19.998	0.001	8.005517	1.0	04-12-23 12:21:42.676237
20.998	0.001	9.006155	1.0	04-12-23 12:21:43.995777
21.998	0.001	10.00635	1.0	04-12-23 12:21:45.132443
22.999	0.001	10.93363	3.0	04-12-23 12:21:48.307958
23.999	0.001	10.92025	3.0	04-12-23 12:21:51.483916
