# 
Voltage 1	Current 1	ch1a avglen	ch1b avglen	ch1a	ch2a	ch3a	ch4a	ch1b	ch2b	ch3b	ch4b	VDC	Delay	a	
0.091	0.0	250	250	-7445078.0	-7458583.0	-7465793.0	-7463321.0	-7448375.0	-7442240.0	-7441206.0	-7438536.0	-11.8924479	6	1.0	13-12-23 16:58:19.852711
0.5	0.002	250	250	-7224327.0	-7237123.0	-7243816.0	-7241133.0	-7245908.0	-7240041.0	-7238977.0	-7236325.0	-11.4870387	6	1.0	13-12-23 16:58:27.019578
1.0	0.004	250	250	-6912361.0	-6924542.0	-6930940.0	-6928414.0	-6933013.0	-6927324.0	-6926336.0	-6923805.0	-10.9907188	6	1.0	13-12-23 16:58:34.176001
1.499	0.007	250	250	-6599181.0	-6610746.0	-6616888.0	-6614531.0	-6618990.0	-6613489.0	-6612563.0	-6610121.0	-10.4928224	6	1.0	13-12-23 16:58:41.355362
2.0	0.01	250	250	-6284885.0	-6295795.0	-6301661.0	-6299468.0	-6303718.0	-6298452.0	-6297575.0	-6295229.0	-9.99310264	6	1.0	13-12-23 16:58:48.626354
2.499	0.012	250	250	-5970984.0	-5981269.0	-5986848.0	-5984820.0	-5988884.0	-5983832.0	-5983020.0	-5980758.0	-9.49407169	6	1.0	13-12-23 16:58:55.896733
3.0	0.015	250	250	-5656393.0	-5666070.0	-5671353.0	-5669502.0	-5673433.0	-5668565.0	-5667825.0	-5665625.0	-8.99397254	6	1.0	13-12-23 16:59:03.168140
3.5	0.017	250	250	-5342513.0	-5351575.0	-5356577.0	-5354899.0	-5358628.0	-5353982.0	-5353295.0	-5351226.0	-8.49500263	6	1.0	13-12-23 16:59:10.436267
4.0	0.02	250	250	-5028158.0	-5036583.0	-5041323.0	-5039804.0	-5043346.0	-5038903.0	-5038285.0	-5036285.0	-7.99526153	6	1.0	13-12-23 16:59:17.709571
4.5	0.022	250	250	-4713824.0	-4721649.0	-4726062.0	-4724737.0	-4728074.0	-4723841.0	-4723287.0	-4721383.0	-7.49551378	6	1.0	13-12-23 16:59:24.875823
5.0	0.025	250	250	-4399381.0	-4406552.0	-4410717.0	-4409540.0	-4412708.0	-4408665.0	-4408181.0	-4406369.0	-6.99563275	6	1.0	13-12-23 16:59:32.050395
5.5	0.027	250	250	-4085140.0	-4091690.0	-4095593.0	-4094562.0	-4097554.0	-4093739.0	-4093314.0	-4091600.0	-6.49609904	6	1.0	13-12-23 16:59:39.417141
5.999	0.03	250	250	-3771238.0	-3777193.0	-3780793.0	-3779944.0	-3782755.0	-3779127.0	-3778783.0	-3777160.0	-5.99710144	6	1.0	13-12-23 16:59:46.687852
6.499	0.032	250	250	-3456943.0	-3462259.0	-3465585.0	-3464899.0	-3467550.0	-3464129.0	-3463834.0	-3462305.0	-5.49746713	6	1.0	13-12-23 16:59:53.845791
6.999	0.035	250	250	-3142883.0	-3147570.0	-3150618.0	-3150113.0	-3152555.0	-3149366.0	-3149130.0	-3147680.0	-4.99818145	6	1.0	13-12-23 17:00:01.224628
7.499	0.038	250	250	-2828070.0	-2832163.0	-2834900.0	-2834553.0	-2836837.0	-2833834.0	-2833679.0	-2832322.0	-4.49776223	6	1.0	13-12-23 17:00:08.396972
7.999	0.04	250	250	-2514158.0	-2517615.0	-2520102.0	-2519901.0	-2522013.0	-2519210.0	-2519116.0	-2517857.0	-3.99870977	6	1.0	13-12-23 17:00:15.667655
8.499	0.043	250	250	-2199776.0	-2202602.0	-2204808.0	-2204777.0	-2206726.0	-2204125.0	-2204094.0	-2202920.0	-3.49895495	6	1.0	13-12-23 17:00:22.843242
8.999	0.045	250	250	-1885883.0	-1888078.0	-1889998.0	-1890143.0	-1891902.0	-1889521.0	-1889558.0	-1888468.0	-2.99996507	6	1.0	13-12-23 17:00:30.105581
9.499	0.048	250	250	-1571272.0	-1572837.0	-1574484.0	-1574785.0	-1576375.0	-1574196.0	-1574303.0	-1573300.0	-2.49985102	6	1.0	13-12-23 17:00:37.273169
9.999	0.05	250	250	-1256728.0	-1257670.0	-1259044.0	-1259514.0	-1260928.0	-1258947.0	-1259126.0	-1258225.0	-1.99987818	6	1.0	13-12-23 17:00:44.441402
10.499	0.053	250	250	-942533.1	-942853.3	-943952.1	-944581.9	-945803.5	-944031.1	-944279.1	-943457.3	-1.50034553	6	1.0	13-12-23 17:00:51.672478
10.999	0.056	250	250	-628179.9	-627874.2	-628690.7	-629488.5	-630540.4	-628975.5	-629292.8	-628551.9	-1.00069877	6	1.0	13-12-23 17:00:58.845325
11.499	0.058	250	250	-314111.9	-313185.6	-313729.5	-314688.5	-315554.1	-314196.7	-314580.4	-313923.6	-0.501346685	6	1.0	13-12-23 17:01:06.049478
11.999	0.061	250	250	262.184	1812.288	1551.152	439.944	-256.148	892.06	447.8	1008.644	-0.00153221509	6	1.0	13-12-23 17:01:13.207214
12.498	0.063	250	250	314081.7	316243.7	316261.9	314999.9	314481.3	315422.8	314914.2	315383.3	0.497336563	6	1.0	13-12-23 17:01:20.409348
12.999	0.066	250	250	628664.5	631458.0	631747.0	630320.6	629979.3	630712.3	630143.2	630516.6	0.997423744	6	1.0	13-12-23 17:01:27.570419
13.498	0.068	250	250	942451.4	945869.4	946431.6	944843.8	944678.3	945214.1	944568.4	944854.7	1.49623257	6	1.0	13-12-23 17:01:34.845631
13.999	0.071	250	250	1256984.0	1261016.0	1261872.0	1260111.0	1260135.0	1260459.0	1259749.0	1259951.0	1.99626687	6	1.0	13-12-23 17:01:42.138897
14.499	0.073	250	250	1571018.0	1575673.0	1576811.0	1574893.0	1575094.0	1575211.0	1574438.0	1574547.0	2.49545811	6	1.0	13-12-23 17:01:49.593042
14.998	0.076	250	250	1884896.0	1890177.0	1891591.0	1889516.0	1889894.0	1889792.0	1888957.0	1888973.0	2.99439482	6	1.0	13-12-23 17:01:56.838185
15.499	0.079	250	250	2199804.0	2205681.0	2207386.0	2205145.0	2205698.0	2205394.0	2204498.0	2204430.0	3.4949974	6	1.0	13-12-23 17:02:04.015923
15.998	0.081	250	250	2513488.0	2520000.0	2521970.0	2519557.0	2520303.0	2519801.0	2518842.0	2518678.0	3.9936637	6	1.0	13-12-23 17:02:11.378551
16.499	0.084	250	250	2828359.0	2835505.0	2837750.0	2835172.0	2836110.0	2835402.0	2834373.0	2834131.0	4.49419472	6	1.0	13-12-23 17:02:18.752231
16.998	0.086	250	250	3142131.0	3149890.0	3152411.0	3149672.0	3150769.0	3149840.0	3148753.0	3148419.0	4.99295804	6	1.0	13-12-23 17:02:26.226876
17.499	0.089	250	250	3456674.0	3465051.0	3467865.0	3464955.0	3466216.0	3465090.0	3463947.0	3463511.0	5.49287089	6	1.0	13-12-23 17:02:33.395504
17.999	0.091	250	250	3770891.0	3779898.0	3782972.0	3779921.0	3781350.0	3780040.0	3778820.0	3778307.0	5.99238383	6	1.0	13-12-23 17:02:40.566145
18.498	0.094	250	250	4085024.0	4094680.0	4098015.0	4094795.0	4096432.0	4094889.0	4093602.0	4092997.0	6.49175081	6	1.0	13-12-23 17:02:47.740934
18.999	0.097	250	250	4399470.0	4409722.0	4413370.0	4409966.0	4411764.0	4410026.0	4408671.0	4407966.0	6.99158355	6	1.0	13-12-23 17:02:54.901338
19.498	0.099	250	250	4713328.0	4724186.0	4728105.0	4724530.0	4726533.0	4724579.0	4723174.0	4722364.0	7.49046716	6	1.0	13-12-23 17:03:02.062686
19.998	0.102	250	250	5027609.0	5039118.0	5043295.0	5039565.0	5041732.0	5039578.0	5038095.0	5037219.0	7.99008672	6	1.0	13-12-23 17:03:09.234601
20.498	0.105	250	250	5341423.0	5353572.0	5358045.0	5354124.0	5356470.0	5354107.0	5352570.0	5351585.0	8.48889876	6	1.0	13-12-23 17:03:16.627936
20.998	0.107	250	250	5655689.0	5668497.0	5673264.0	5669184.0	5671703.0	5669132.0	5667523.0	5666461.0	8.98857953	6	1.0	13-12-23 17:03:23.885299
21.498	0.11	250	250	5969482.0	5982944.0	5987960.0	5983723.0	5986442.0	5983662.0	5981994.0	5980841.0	9.48734396	6	1.0	13-12-23 17:03:31.058037
21.998	0.112	250	250	6283335.0	6297386.0	6302665.0	6298291.0	6301186.0	6298214.0	6296472.0	6295216.0	9.9862463	6	1.0	13-12-23 17:03:38.317006
22.498	0.115	250	250	6596622.0	6611280.0	6616870.0	6612316.0	6615358.0	6612233.0	6610392.0	6609054.0	10.4841749	6	1.0	13-12-23 17:03:45.586989
22.998	0.118	250	250	6864655.0	7485619.0	6886073.0	7487276.0	7485570.0	6886713.0	7479623.0	7478154.0	10.9949161	6	1.0	13-12-23 17:03:52.981892
23.498	0.12	250	250	6864141.0	7486736.0	6885805.0	7488384.0	7486785.0	6886030.0	7480920.0	7479427.0	11.4803786	6	1.0	13-12-23 17:04:00.342881
23.998	0.123	250	250	6856068.0	7486928.0	6877838.0	7488588.0	7486924.0	6878072.0	7481042.0	7479548.0	11.9615509	6	1.0	13-12-23 17:04:07.807138
