# 
VDC	Voltage 1	Current 1	ch1a	ch2a	ch3a	ch4a	ch1b	ch2b	ch3b	ch4b	Delay	a	
-11.9027452	0.056	0.0	-11.82984	-7465716.0	-7472550.0	-7469906.0	-11.82423	-7443079.0	-7441998.0	-7439285.0	7.0	8.0	11-12-23 16:18:59.649780
-11.4876015	0.5	0.002	-11.46845	-7237750.0	-7244461.0	-7241742.0	-11.5031	-7240968.0	-7239880.0	-7237178.0	7.0	8.0	11-12-23 16:19:07.327586
-10.9913927	1.0	0.004	-10.97303	-6924966.0	-6931456.0	-6928888.0	-11.00625	-6928132.0	-6927114.0	-6924502.0	7.0	8.0	11-12-23 16:19:14.883801
-10.4935482	1.499	0.007	-10.47584	-6611122.0	-6617313.0	-6614932.0	-10.50753	-6614162.0	-6613214.0	-6610770.0	7.0	8.0	11-12-23 16:19:22.577000
-9.99374583	2.0	0.01	-9.976847	-6296141.0	-6302062.0	-6299841.0	-10.00708	-6299052.0	-6298182.0	-6295798.0	7.0	8.0	11-12-23 16:19:30.361729
-9.49468222	2.499	0.012	-9.478541	-5981608.0	-5987237.0	-5985186.0	-9.507307	-5984416.0	-5983604.0	-5981301.0	7.0	8.0	11-12-23 16:19:37.978258
-8.99456787	3.0	0.015	-8.979322	-5666399.0	-5671754.0	-5669866.0	-9.006485	-5669164.0	-5668400.0	-5666178.0	7.0	8.0	11-12-23 16:19:45.537972
-8.49573883	3.5	0.017	-8.481123	-5351976.0	-5357053.0	-5355314.0	-8.506969	-5354634.0	-5353895.0	-5351762.0	7.0	8.0	11-12-23 16:19:53.465896
-7.99584431	4.0	0.02	-7.982083	-5036920.0	-5041670.0	-5040143.0	-8.006394	-5039487.0	-5038835.0	-5036783.0	7.0	8.0	11-12-23 16:20:01.149475
-7.49614409	4.5	0.022	-7.483087	-4721934.0	-4726413.0	-4725062.0	-7.50595	-4724406.0	-4723815.0	-4721854.0	7.0	8.0	11-12-23 16:20:09.043000
-6.9962017	5.0	0.025	-6.983935	-4406837.0	-4411055.0	-4409838.0	-7.005364	-4409208.0	-4408680.0	-4406820.0	7.0	8.0	11-12-23 16:20:16.583652
-6.49666421	5.5	0.027	-6.485155	-4091963.0	-4095878.0	-4094849.0	-6.505098	-4094216.0	-4093794.0	-4092034.0	7.0	8.0	11-12-23 16:20:24.113030
-5.99768633	5.999	0.03	-5.986876	-3777458.0	-3781115.0	-3780241.0	-6.005313	-3779599.0	-3779216.0	-3777546.0	7.0	8.0	11-12-23 16:20:31.698260
-5.49799743	6.499	0.032	-5.488016	-3462539.0	-3465887.0	-3465174.0	-5.504942	-3464551.0	-3464254.0	-3462668.0	7.0	8.0	11-12-23 16:20:39.277804
-4.99873053	6.999	0.035	-4.989548	-3147849.0	-3150902.0	-3150382.0	-5.005085	-3149783.0	-3149554.0	-3148074.0	7.0	8.0	11-12-23 16:20:46.961871
-4.49824071	7.499	0.038	-4.48982	-2832378.0	-2835165.0	-2834786.0	-4.503884	-2834232.0	-2834042.0	-2832635.0	7.0	8.0	11-12-23 16:20:54.490284
-3.99916076	7.999	0.04	-3.991416	-2517802.0	-2520319.0	-2520106.0	-4.004062	-2519556.0	-2519446.0	-2518146.0	7.0	8.0	11-12-23 16:21:02.110932
-3.49944487	8.499	0.043	-3.49246	-2202824.0	-2205049.0	-2204997.0	-3.503591	-2204466.0	-2204436.0	-2203221.0	7.0	8.0	11-12-23 16:21:09.642264
-3.00046546	8.999	0.045	-2.994281	-1888318.0	-1890267.0	-1890376.0	-3.003914	-1889866.0	-1889899.0	-1888778.0	7.0	8.0	11-12-23 16:21:17.174162
-2.50051646	9.499	0.048	-2.495024	-1573174.0	-1574841.0	-1575125.0	-2.503263	-1574627.0	-1574722.0	-1573698.0	7.0	8.0	11-12-23 16:21:24.742252
-2.00069908	9.999	0.05	-1.995996	-1258131.0	-1259514.0	-1259973.0	-2.002703	-1259492.0	-1259652.0	-1258716.0	7.0	8.0	11-12-23 16:21:32.422940
