# 
Voltage 1	Current 1	ch1a avglen	ch1b avglen	temp_pt100	time	VDC10	ch1a	ch2a	ch3a	ch4a	VDC1	ch1b	ch2b	ch3b	ch4b	Delay	a	
0.022	0.0	250	250	21.3854814	1714473505.3488417	-11.9544487	-7453923.0	-7466992.0	-7473499.0	-7471080.0	9.9e+37	-8388608.0	-8388608.0	-8388608.0	-8388608.0	20	1201.0118801188012	30-04-24 12:38:31.779603
0.6	0.003	250	250	21.3996636	1714473531.8177624	-11.3801686	-7155931.0	-7168542.0	-7174933.0	-7172438.0	9.9e+37	-8388608.0	-8388608.0	-8388608.0	-8388608.0	20	1201.0118801188012	30-04-24 12:38:58.249077
1.2	0.006	250	250	21.3541465	1714473558.2873092	-10.7815131	-6779406.0	-6791256.0	-6797349.0	-6795054.0	-1.16097815	-8125713.0	-8116767.0	-8115767.0	-8111748.0	20	1201.0118801188012	30-04-24 12:39:24.729231
1.799	0.009	250	250	21.5291236	1714473584.7750037	-10.1830213	-6403044.0	-6414101.0	-6419917.0	-6417786.0	-1.09659016	-7674998.0	-7666494.0	-7665591.0	-7661757.0	20	1201.0118801188012	30-04-24 12:39:51.216247
2.4	0.012	250	250	21.7290152	1714473611.2551365	-9.58287379	-6025595.0	-6035925.0	-6041417.0	-6039462.0	-1.03201781	-7223079.0	-7215012.0	-7214179.0	-7210532.0	20	1201.0118801188012	30-04-24 12:40:17.696785
3.0	0.015	250	250	21.8984344	1714473637.7346559	-8.9838969	-5648878.0	-5658493.0	-5663635.0	-5661883.0	-0.967550151	-6771871.0	-6764241.0	-6763460.0	-6760052.0	20	1201.0118801188012	30-04-24 12:40:44.177468
3.599	0.018	250	250	22.0154371	1714473664.2180235	-8.38509214	-5272261.0	-5281120.0	-5285967.0	-5284395.0	-0.903144647	-6320988.0	-6313773.0	-6313106.0	-6309876.0	20	1201.0118801188012	30-04-24 12:41:10.660877
4.199	0.021	250	250	22.152659	1714473690.6997032	-7.78581922	-4895415.0	-4903537.0	-4908024.0	-4906649.0	-0.838654257	-5869593.0	-5862822.0	-5862183.0	-5859188.0	20	1201.0118801188012	30-04-24 12:41:37.141200
4.799	0.024	250	250	22.3311816	1714473717.1988451	-7.18700654	-4518793.0	-4526160.0	-4530351.0	-4529169.0	-0.774208839	-5418522.0	-5412146.0	-5411611.0	-5408816.0	20	1201.0118801188012	30-04-24 12:42:03.641586
5.399	0.027	250	250	22.5760153	1714473743.6986217	-6.58749816	-4141739.0	-4148389.0	-4152239.0	-4151240.0	-0.709648738	-4966661.0	-4960713.0	-4960249.0	-4957646.0	20	1201.0118801188012	30-04-24 12:42:30.141186
5.998	0.03	250	250	22.7246404	1714473770.197315	-5.98873318	-3765159.0	-3771054.0	-3774582.0	-3773791.0	-0.645159534	-4515220.0	-4509733.0	-4509357.0	-4506906.0	20	1201.0118801188012	30-04-24 12:42:56.639510
6.599	0.033	250	250	22.7944012	1714473796.69631	-5.38916252	-3388074.0	-3393242.0	-3396431.0	-3395819.0	-0.580574623	-4063187.0	-4058124.0	-4057804.0	-4055564.0	20	1201.0118801188012	30-04-24 12:43:23.139091
7.199	0.036	250	250	22.8156744	1714473823.1942477	-4.79039866	-3011493.0	-3015917.0	-3018784.0	-3018365.0	-0.51610766	-3611947.0	-3607331.0	-3607081.0	-3605030.0	20	1201.0118801188012	30-04-24 12:43:49.636219
7.799	0.04	250	250	22.7438055	1714473849.6962607	-4.19036941	-2634129.0	-2637786.0	-2640316.0	-2640104.0	-0.451463817	-3159504.0	-3155291.0	-3155150.0	-3153272.0	20	1201.0118801188012	30-04-24 12:44:16.139171
8.399	0.043	250	250	22.5752487	1714473876.1932569	-3.59177403	-2257652.0	-2260581.0	-2262768.0	-2262742.0	-0.386973726	-2708061.0	-2704288.0	-2704249.0	-2702513.0	20	1201.0118801188012	30-04-24 12:44:42.635245
8.998	0.046	250	250	22.2772319	1714473902.697089	-2.99320543	-1881193.0	-1883368.0	-1885233.0	-1885409.0	-0.322488547	-2256713.0	-2253378.0	-2253395.0	-2251871.0	20	1201.0118801188012	30-04-24 12:45:09.134527
9.598	0.049	250	250	22.0197493	1714473929.1947663	-2.3939864	-1504320.0	-1505757.0	-1507285.0	-1507662.0	-0.257930003	-1804838.0	-1801973.0	-1802043.0	-1800671.0	20	1201.0118801188012	30-04-24 12:45:35.637126
10.198	0.052	250	250	21.5168579	1714473955.6733122	-1.79444832	-1127256.0	-1127932.0	-1129150.0	-1129709.0	-0.193325402	-1352597.0	-1350145.0	-1350321.0	-1349149.0	20	1201.0118801188012	30-04-24 12:46:02.113220
10.799	0.055	250	250	21.3929558	1714473982.1495836	-1.19470089	-750055.2	-749993.5	-750886.5	-751640.7	-0.128713374	-900304.0	-898285.0	-898546.7	-897544.5	20	1201.0118801188012	30-04-24 12:46:28.592267
11.399	0.058	250	250	21.272695	1714474008.6307926	-0.595684738	-373336.6	-372526.2	-373089.0	-374038.8	-0.0641783937	-448615.8	-447026.0	-447354.3	-446552.2	20	1201.0118801188012	30-04-24 12:46:55.073298
11.998	0.061	250	250	21.2410727	1714474035.1113384	0.00347089441	3498.224	5042.592	4795.484	3667.392	0.00038673418	3355.536	4496.024	4108.784	4718.944	20	1201.0118801188012	30-04-24 12:47:21.553955
12.598	0.064	250	250	21.3500261	1714474061.593763	0.602317262	380133.1	382411.0	382488.4	381180.8	0.0649073996	454995.9	455703.8	455237.8	455665.7	20	1201.0118801188012	30-04-24 12:47:48.035433
13.198	0.067	250	250	21.5175287	1714474088.0729961	1.20189467	757226.4	760239.9	760636.8	759148.0	0.129494383	907088.5	907348.6	906816.5	907042.8	20	1201.0118801188012	30-04-24 12:48:14.515038
13.798	0.07	250	250	21.7037173	1714474114.5562742	1.80046391	1133696.0	1137458.0	1138174.0	1136497.0	0.19398921	1358531.0	1358358.0	1357740.0	1357771.0	20	1201.0118801188012	30-04-24 12:48:40.997649
