# 
A2	f2	Scope_Frequency	gain	gain_log	phase	Scope_Amplitude_RMS	Scope_Amplitude_pkpk	THD	Delay	a	
1	100.0	100.0	0.7132786304297148	-2.934815741806358	-85.9557681804431	0.001462234941951922	0.004135824972568487	0.0	0.5	100.0	20-05-24 15:03:48.409691
1	202119.19191919194	202119.19191919194	10.504815787187871	20.42776882011451	0.888551855353737	0.0014684249829704425	0.0041533330524885625	0.0	0.5	202119.19191919194	20-05-24 15:03:57.197738
1	404138.3838383839	404138.3838383839	10.526665006715355	20.44581604937319	5.1287157744964835	0.00148834149320664	0.004209665450270909	0.0	0.5	404138.3838383839	20-05-24 15:03:59.792374
1	606157.5757575758	606157.5757575758	10.524926184747589	20.444381172967955	7.917394247905604	0.0014921620981204673	0.004220471752842116	0.0	0.5	606157.5757575758	20-05-24 15:04:02.525817
1	808176.7676767678	808176.7676767678	10.531264017704203	20.44961001244355	10.590742122507471	0.0014790576049716058	0.004183406648963826	0.0	0.5	808176.7676767678	20-05-24 15:04:05.173544
1	1010195.9595959596	1010195.9595959596	10.545000594862262	20.460932171496623	13.097161698164063	0.0014861914314009057	0.004203584157139688	0.0	0.5	1010195.9595959596	20-05-24 15:04:07.844354
1	1212215.1515151516	1212215.1515151516	10.52546180697611	20.44482319385303	15.948442657823259	0.0014912247065365506	0.004217820409059657	0.0	0.5	1212215.1515151516	20-05-24 15:04:10.726550
1	1414234.3434343433	1414234.3434343433	10.533222630712856	20.45122527103208	18.454725510310535	0.0014806183099589309	0.004187820989283703	0.0	0.5	1414234.3434343433	20-05-24 15:04:13.809740
1	1616253.5353535356	1616253.5353535356	10.546639471682102	20.462282005191035	21.144470786906606	0.0014797676957212418	0.004185415088901127	0.0	0.5	1616253.5353535356	20-05-24 15:04:16.547768
1	1818272.7272727273	1818272.7272727273	10.513952495648905	20.43532020897597	24.016931292167314	0.0014827794878684315	0.004193933723504336	0.0	0.5	1818272.7272727273	20-05-24 15:04:19.192077
1	2020291.9191919193	2020291.9191919193	10.532784225507484	20.45086374649094	26.384144305432773	0.0014759626608881052	0.00417465282516848	0.0	0.5	2020291.9191919193	20-05-24 15:04:22.073069
1	2222311.111111111	2222311.111111111	10.529943062521916	20.448520457519038	29.327541120597452	0.0014743911534391768	0.00417020793087319	0.0	0.5	2222311.111111111	20-05-24 15:04:24.742870
1	2424330.303030303	2424330.303030303	10.515255463132604	20.436396562569698	32.120444419144654	0.0014734553071389814	0.004167560957813124	0.0	0.5	2424330.303030303	20-05-24 15:04:27.398940
1	2626349.4949494954	2626349.4949494954	10.484412275376146	20.410881804820704	34.93274340329179	0.001464029905611821	0.004140901896472079	0.0	0.5	2626349.4949494954	20-05-24 15:04:30.163912
1	2828368.6868686867	2828368.6868686867	10.51977664185866	20.440130377650867	36.858249721190745	0.0014597438668195193	0.004128779148094218	0.0	0.5	2828368.6868686867	20-05-24 15:04:32.824785
1	3030387.878787879	3030387.878787879	10.594122047032485	20.50129943626839	40.27080586441664	0.0014436108615664355	0.004083148118432724	0.0	0.5	3030387.878787879	20-05-24 15:04:35.490204
1	3232407.070707071	3232407.070707071	10.54805453015832	20.463447325889522	42.587110482626905	0.0014518813613887977	0.0041065406244655015	0.0	0.5	3232407.070707071	20-05-24 15:04:38.256116
1	3434426.2626262624	3434426.2626262624	10.537231756140265	20.45453064079663	45.60529006323545	0.0014498118126285734	0.0041006870566160985	0.0	0.5	3434426.2626262624	20-05-24 15:04:40.915721
1	3636445.4545454546	3636445.4545454546	10.502273573424747	20.42566654045914	48.16450205784966	0.0014498094195773484	0.004100680288045102	0.0	0.5	3636445.4545454546	20-05-24 15:04:43.580122
1	3838464.6464646463	3838464.6464646463	10.543358576772246	20.459579540139543	50.864762054296335	0.0014406603972040553	0.0040748029449995705	0.0	0.5	3838464.6464646463	20-05-24 15:04:46.239967
1	4040483.8383838385	4040483.8383838385	10.549811263118329	20.464893802874347	54.280803873417184	0.0014220240803884173	0.0040220914810128565	0.0	0.5	4040483.8383838385	20-05-24 15:04:48.907481
1	4242503.03030303	4242503.03030303	10.477788290582355	20.405392380881928	56.81645648702899	0.0014259182854968406	0.004033105956370846	0.0	0.5	4242503.03030303	20-05-24 15:04:51.565428
1	4444522.222222222	4444522.222222222	10.508340820791325	20.430682999426878	59.385908794723946	0.0014234702352294772	0.004026181824591893	0.0	0.5	4444522.222222222	20-05-24 15:04:54.226567
1	4646541.414141414	4646541.414141414	10.548504951348624	20.46381822131952	62.11751870199565	0.0014224957955585133	0.004023425692995111	0.0	0.5	4646541.414141414	20-05-24 15:04:56.997114
1	4848560.606060606	4848560.606060606	10.571900626668365	20.483061444296723	64.98883118007885	0.0014114138344769743	0.003992081173676704	0.0	0.5	4848560.606060606	20-05-24 15:04:59.655214
1	5050579.797979798	5050579.797979798	10.653431796275195	20.549790597009114	68.20574555741733	0.0013924314174403188	0.003938390790436983	0.0	0.5	5050579.797979798	20-05-24 15:05:02.417279
1	5252598.989898991	5252598.989898991	10.68032449316603	20.57168895544359	69.41484269273862	0.0013867362156988246	0.003922282327350439	0.0	0.5	5252598.989898991	20-05-24 15:05:05.079741
1	5454618.181818182	5454618.181818182	10.391039846947997	20.333180204646247	72.96359610289416	0.0014009803942806067	0.00396257094842088	0.0	0.5	5454618.181818182	20-05-24 15:05:07.742569
1	5656637.373737373	5656637.373737373	10.734334863311588	20.615502784215074	76.82143623064098	0.0013727433261847112	0.003882704459095144	0.0	0.5	5656637.373737373	20-05-24 15:05:10.404039
